DyadID,Org,SideA,SideAID,SideAComponents,SideB,SideBID,SideBComponents,StartDate,StartPrec,StartDate2,StartPrec2,EpEnd,EpEndDate,EpEndPrec,Year,BestFatalityEstimate,LowFatalityEstimate,HighFatalityEstimate,Location,GWNOLocation,Region,Version
2-1,1,1920 Revolution Brigades,1644,,IS,1076,,2007-02-09,1,2007-12-07,1,1,2007-12-07,1,2007,25,25,25,Iraq,645,2,2.5-2015
2-10,1,Ahlu Sunna Waljamaca,1761,,Al-Shabaab,1578,,2008-12-02,1,2008-12-27,1,0,,0,2008,64,54,66,Somalia,520,4,2.5-2015
2-10,1,Ahlu Sunna Waljamaca,1761,,Al-Shabaab,1578,,2008-12-02,1,2008-12-27,1,0,,0,2009,548,500,633,Somalia,520,4,2.5-2015
2-10,1,Ahlu Sunna Waljamaca,1761,,Al-Shabaab,1578,,2008-12-02,1,2008-12-27,1,1,2010-12-05,1,2010,202,196,223,Somalia,520,4,2.5-2015
2-100,3,Kalenjin,1903,,Kikuyu,1795,,1991-12-27,1,1992-12-13,2,0,,0,1992,42,42,90,Kenya,501,4,2.5-2015
2-100,3,Kalenjin,1903,,Kikuyu,1795,,1991-12-27,1,1992-12-13,2,0,,0,1993,35,12,35,Kenya,501,4,2.5-2015
2-100,3,Kalenjin,1903,,Kikuyu,1795,,1991-12-27,1,1992-12-13,2,1,1994-03-31,3,1994,28,28,46,Kenya,501,4,2.5-2015
2-100,3,Kalenjin,1903,,Kikuyu,1795,,1991-12-27,1,1998-01-24,3,1,1998-01-25,1,1998,127,127,127,Kenya,501,4,2.5-2015
2-100,3,Kalenjin,1903,,Kikuyu,1795,,1991-12-27,1,2008-01-21,3,1,2008-12-31,5,2008,78,78,95,Kenya,501,4,2.5-2015
2-102,3,Kalenjin,1903,,Kisii,1796,,2008-02-03,1,2008-02-05,1,1,2008-02-05,1,2008,81,81,81,Kenya,501,4,2.5-2015
2-10247,3,Konianke,2130,,Kpelle,2026,,2013-07-15,1,2013-07-17,2,1,2013-07-17,2,2013,98,98,98,Guinea,438,4,2.5-2015
2-103,3,Kusasi,1941,,Mamprusi,1942,,2000-12-09,2,2000-12-09,2,0,,0,2000,30,7,68,Ghana,452,4,2.5-2015
2-103,3,Kusasi,1941,,Mamprusi,1942,,2000-12-09,2,2000-12-09,2,1,2001-12-04,2,2001,50,50,50,Ghana,452,4,2.5-2015
2-103,3,Kusasi,1941,,Mamprusi,1942,,2000-12-09,2,2008-06-21,1,1,2008-06-27,2,2008,55,54,57,Ghana,452,4,2.5-2015
2-104,1,Lashkar of Salarzai tribe,1657,,TTP,1199,,2008-08-28,1,2008-10-01,1,1,2008-10-04,1,2008,34,34,40,Pakistan,770,3,2.5-2015
2-105,3,Lou Nuer,1567,,Murle,1514,,2006-05-31,5,2011-04-24,2,0,,0,2012,424,424,424,"Ethiopia, South Sudan","530, 626",4,2.5-2015
2-105,3,Lou Nuer,1567,,Murle,1514,,2006-05-31,5,2011-04-24,2,1,8/3/2013,1,2013,118,118,488,South Sudan,626,4,2.5-2015
2-105,3,Lou Nuer,1567,,Murle,1514,,2006-05-31,5,2006-05-31,5,0,,0,2006,150,150,150,Sudan,625,4,2.5-2015
2-105,3,Lou Nuer,1567,,Murle,1514,,2006-05-31,5,2006-05-31,5,1,2007-08-15,3,2007,60,60,80,Sudan,625,4,2.5-2015
2-105,3,Lou Nuer,1567,,Murle,1514,,2006-05-31,5,2009-03-13,3,1,2009-08-02,1,2009,1195,1195,1195,Sudan,625,4,2.5-2015
2-105,3,Lou Nuer,1567,,Murle,1514,,2006-05-31,5,2011-04-24,2,0,,0,2011,1415,1415,1425,"South Sudan, Sudan","626, 625",4,2.5-2015
2-106,3,Hol Dinka,1767,,Lou Nuer,1567,,2008-05-17,1,2008-05-17,1,0,,0,2008,31,31,36,Sudan,625,4,2.5-2015
2-106,3,Hol Dinka,1767,,Lou Nuer,1567,,2008-05-17,1,2008-05-17,1,1,2009-10-16,1,2009,237,237,244,Sudan,625,4,2.5-2015
2-10676,1,Hizb-i Wahdat,1142,,Junbish-i Milli-yi Islami,1144,,1998-03-15,2,1998-03-15,2,1,1998-03-19,1,1998,101,101,101,Afghanistan,700,3,2.5-2015
2-10682,1,Forces of Sayed Mansur Naderi,2518,,Hizb-i Islami-yi Afghanistan,1141,,1995-09-30,3,1995-10-29,1,1,1995-10-29,1,1995,40,40,40,Afghanistan,700,3,2.5-2015
2-107,1,LRA,1336,,SPLM/A,1312,,1995-10-30,3,1995-10-30,3,0,,0,1995,36,36,36,Sudan,625,4,2.5-2015
2-107,1,LRA,1336,,SPLM/A,1312,,1995-10-30,3,1995-10-30,3,0,,0,1996,152,152,152,Sudan,625,4,2.5-2015
2-107,1,LRA,1336,,SPLM/A,1312,,1995-10-30,3,1995-10-30,3,0,,0,1997,100,100,100,Sudan,625,4,2.5-2015
2-107,1,LRA,1336,,SPLM/A,1312,,1995-10-30,3,1995-10-30,3,1,1998-09-14,1,1998,58,58,58,Sudan,625,4,2.5-2015
2-107,1,LRA,1336,,SPLM/A,1312,,1995-10-30,3,2004-03-05,2,1,2004-12-22,1,2004,142,142,142,Sudan,625,4,2.5-2015
2-108,1,LTTE,1163,,LTTE - K,1233,,2004-03-30,1,2004-05-21,1,0,,0,2004,60,60,80,Sri Lanka,780,3,2.5-2015
2-108,1,LTTE,1163,,LTTE - K,1233,,2004-03-30,1,2004-05-21,1,0,,0,2005,30,30,58,Sri Lanka,780,3,2.5-2015
2-108,1,LTTE,1163,,LTTE - K,1233,,2004-03-30,1,2004-05-21,1,1,2006-12-30,1,2006,97,97,136,Sri Lanka,780,3,2.5-2015
