obsid	ucdpid	dyadid	side_a	acr	side_b	startdate	enddate	oldid	oldconfid	olddyadid	extraterritorial	rebpolwing	rebpolwinglegal	rebestimate	rebestlow	rebesthigh	rebstrength	centcontrol	strengthcent	mobcap	armsproc	fightcap	terrcont	terrname	effterrcont	conflicttype	transconstsupp	rebextpart	rebpresosts	presname	rebel.support	rtypesup	rsupname	gov.support	gtypesup	gsupname	govextpart	type.of.termination	victory.side	prevactive	prevact.ref	oldobsid
NSA.3.4-1	1	462	Bolivia	BOL	Popular Revolutionary Movement	1946-06-01	1946-07-21	1010	1010.1	1010.1-1	0	acknowledged link	yes	NA	NA	NA	parity	yes	moderate	moderate	NA	moderate	no	NA	NA	coup d'etat	no	no	no		no	NA		no	NA		no	4	2	0		NSA.3.3-1
NSA.3.4-4	1	463	Bolivia	BOL	MNR	1952-04-09	1952-04-12	1010	1010.2	1010.2-1	0	explicit link	yes	NA	NA	NA	weaker	yes	moderate	moderate	NA	moderate	no	NA	NA	coup d'etat	no	no	no		no	NA		no	NA		no	4	2	0		NSA.3.3-4
NSA.3.4-7	1	464	Bolivia	BOL	ELN	1967-03-01	1967-10-16	1010	1010.3	1010.3-1	0	alleged link	no	100	50	200	much weaker	yes	high	low	moderate	low	no	NA	NA	communist rebellion	no	no	no		explicit	military	Cuba	explicit	military	USA	no	4	1	0		NSA.3.3-7
NSA.3.4-10	2	654	France	FRN	Khmer Issarak	1946-08-01	1953-11-09	1020	1020	1020-1	1	alleged link	yes	6000	5000	7000	weaker	yes	moderate	low	low	low	yes	parts of Cambodia bordering Vietnam	moderate	anti-colonial	no	major	extensive	Thailand; Vietnam	explicit	military	Thailand	explicit	military	USA	no	7	NA	0		NSA.3.3-10
NSA.3.4-13	3	466	China	CHN	Peoples Liberation Army	1946-01-01	1949-10-1	1030	1030	1030-1	0	NA	no	1e+06	8e+05	1200000	weaker	yes	high	high	moderate	moderate	yes	parts of Northwest China	high	communist rebellion	no	no	no		explicit	military	USSR	explicit	military	USA	no	4	2	0		NSA.3.3-13
NSA.3.4-16	4	467	Greece	GRC	DSE	1946-03-01	1949-10-16	1040	1040	1040-1	0	NA	no	23000	4000	28000	weaker	yes	high	moderate	low	moderate	yes	northwestern Greece	moderate	communist rebellion	no	no	no		explicit	military	Albania; Yugoslavia	explicit	military	UK; USA	no	4	1	0		NSA.3.3-16
NSA.3.4-19	5	657	Netherlands	NTH	Indonesian Peoples Army	1945-10-13	1949-06-30	1050	1050	1050-1	1	explicit link	no	2e+05	2e+05	2e+05	weaker	yes	moderate	high	low	moderate	yes	parts of Indonesia	moderate	anti-colonial	no	no	no		no	NA		explicit	troops	UK; Japan 	no	7	NA	0		NSA.3.3-19
NSA.3.4-22	6	260	Iran	IRN	Republic of Kurdistan/KDPI	1946-01-01	1946-12-15	1060	1060.1	1060.1-1	0	explicit link	NA	10000	10000	10000	much weaker	yes	moderate	low	moderate	low	yes	Kurdistan	high	secessionist conflict	tacit	no	no		explicit	troops	USSR	explicit	non-military	USA; UK	no	4	1	0		NSA.3.3-22
NSA.3.4-25	6	260	Iran	IRN	KDPI	1966-01-01	1968-12-31	1060	1060.2	1060.2-1	0	explicit link	no	10000	8000	10500	much weaker	yes	moderate	low	low	low	no	NA	NA	secessionist conflict	explicit	major	extensive	Iraq; Turkey	no	NA		no	NA		no	5	NA	1		NSA.3.3-25
NSA.3.4-28	6	260	Iran	IRN	KDPI	1979-03-15	1996-12-31	1060	1060.2	1060.2-1	0	explicit link	no	10000	8000	10500	much weaker	yes	moderate	low	low	low	no	NA	NA	secessionist conflict	explicit	major	extensive	Iraq; Turkey	no	NA		no	NA		no	5	NA	1	NSA.3.4-22,NSA.3.4-25	NSA.3.3-28
NSA.3.4-31	7	468	Iran	IRN	Republic of Azerbaijan	1945-11-19	1946-12-15	1070	1070	1070-1	0	explicit link	yes	NA	NA	NA	much weaker	yes	high	low	moderate	low	yes	Azerbaijan	high	secessionist conflict	tacit	no	no		explicit	troops	USSR	explicit	non-military	USA; UK 	no	4	1	0		NSA.3.3-31
NSA.3.4-34	8	665	United Kingdom	UKG	IZL [Etzel]	1946-01-01	1946-12-31	1080	1080	1080-1	1	no	NA	1500	1500	5000	weaker	yes	high	moderate	low	low	no	NA	NA	anti-colonial	explicit	minor	no		explicit	military	Poland	no	NA		no	5	NA	0		NSA.3.3-34
NSA.3.4-37	9	666	France	FRN	Lao Issara	1946-03-01	1953-10-30	1090	1090	1090-1	1	explicit link	no	NA	NA	NA	much weaker	yes	moderate	low	low	low	no	NA	NA	anti-colonial	no	major	extensive	Thailand	explicit	military	Thailand	no	NA		no	7	NA	0		NSA.3.3-37
NSA.3.4-40	10	217	Philippines	PHI	Communist Party of the Philippines	1969-09-01	2011-12-31	1100	1100.2	1100.2-1	0	explicit link	no	20000	6000	23000	weaker	yes	moderate	moderate	low	low	yes	Remote regions of the Philippines	moderate	communist rebellion	no	no	no		no	NA		explicit	military	USA	no	NA	NA	0		NSA.3.3-40
