"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"Glendora International","","","Nigeria;Interview With Lagbaja (bisade Ologunde)","6791 words"," Africa News","","",
"","","","Education","2334 words"," Africa News","","",
"","","","Employment","1534 words"," Africa News","","",
"","","","Announcements","3654 words"," Africa News","","",
"","","","OPPORTUNITIES","414 words"," Africa News","","",
"","","","New Releases - Music and Videos","187 words"," Africa News","","",
"","","","Exhibitions & Programs","334 words"," Africa News","","",
"","","","Calls for Papers","1334 words"," Africa News","","",
"","","","Planning Ahead","760 words"," Africa News","","",
"","","","Upcoming Events","467 words"," Africa News","","",
"","","","SOUTH AFRICA: Document: Has Mandela's Call Been Answered? Investment in Post-Apartheid South Africa","1920 words"," Africa News","","",
"","","","NIGERIA: Pandora's Box","3507 words"," Africa News","","",
"","","","NIGERIA: Gains and Losses","3560 words"," Africa News","","",
"","","","USA: "Crowning Achievements: African Arts of Dressing the Head"","1294 words"," Africa News","","",
"","","","THE GAMBIA: What is African Arts?","1627 words"," Africa News","","",
"","","","SUDAN: The Logical Alternative","1067 words"," Africa News","","",
"","","","SUDAN: SPLA And UMMA Give Unity, Democracy and Freedom a Chance","907 words"," Africa News","","",
"","","","UGANDA: Museveni Moves To Speed Up Privatisation","720 words"," Africa News","","",
"","","","KENYA: First Round in Goldenburg Case","680 words"," Africa News","","",
"","","","NIGERIA: The Terminal Date","1200 words"," Africa News","","",
"","","","NIGERIA: Abiola, a Tragic Hero","1120 words"," Africa News","","",
"","","","ERITREA: Document: Address by H.E. Mr. Isalas Afwerki to International Development Conference January 16, 1995","4254 words"," Africa News","","",
"","","","THE GAMBIA: Foreign Aid: Poor People in Rich Countries Helping Rich People in Poor Countries","1614 words"," Africa News","","",
"","","","ZIMBABWE: Church's Africa University Graduates 27 in First Class","654 words"," Africa News","","",
"","","","SOUTH AFRICA: The Poet With A Politician's Instincts","1854 words"," Africa News","","",
"","","","SOUTH AFRICA: Squaring Up For The Supreme Law","987 words"," Africa News","","",
