"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"Musengwa Kayaya, PANA Staff Correspondent, Panafrican News Agency","","","Zambia;Zambian Civil Servants Call Off Strike","325 words"," Africa News","","",
"John Mwaura, PANA Correspondent, Panafrican News Agency","","","Kenya;Kenyan Primary Teachers Down Tools","401 words"," Africa News","","",
"Sheikh Chifuwe, Post of Zambia (Lusaka)","","","Sports - Soccer;Zambian Coaches Are Fake, Says Fired Mumba","321 words"," Africa News","","",
"Goodson Machona, Post of Zambia (Lusaka)","","","Sports - Soccer;Harrington Advises Would-Be National Soccer Trainer","358 words"," Africa News","","",
"D Jere, R Phiri, M Nampito and J Kaunda, Post of Zambia (Lusaka)","","","Zambia;SADC Urges President Chiluba to Honour Deals","1076 words"," Africa News","","",
"Masautso Phiri (Column), Post of Zambia (Lusaka)","","","Zambia;Little education","901 words"," Africa News","","",
"Chilombo Mwondela, Post of Zambia (Lusaka)","","","Business and Finance;Sold Zambia Copper Mines Formally Handed Over","435 words"," Africa News","","",
"Mukalya Nampito, Post of Zambia (Lusaka)","","","Zambia;Zambia Is Not Party To UN Human Rights Conventions","351 words"," Africa News","","",
"Mukalya Nampito, Post of Zambia (Lusaka)","","","Zambia;Government Fails To Explain Electrification Fund","642 words"," Africa News","","",
"Reuben Phiri and Mukalya Nampito, Post of Zambia (Lusaka)","","","Central Africa;Kabila Cuts Short His Zambia Visit","1136 words"," Africa News","","",
"Joe Kaunda, Post of Zambia (Lusaka)","","","Zambia;Bank of Zambia Retrenchees Win Pay at Supreme Court","186 words"," Africa News","","",
"Mukalya Nampito, Post of Zambia (Lusaka)","","","Zambia;417 Rape Cases Reported Between Jan-Dec 1996","332 words"," Africa News","","",
"Nathan Etengu, New Vision (Kampala)","","","Uganda;Mbale Women Get 5M/= Boost","674 words"," Africa News","","",
"John Odyek, New Vision (Kampala)","","","Uganda;Government Vows On Poverty War","375 words"," Africa News","","",
"Karyeija Kagambire, New Vision (Kampala)","","","Business and Finance;Uganda: Tip Top Bread Hires Experts","193 words"," Africa News","","",
