actorid,name data,name orig,name orig full,name orig fulleng,namechange,newname,newname full mt,newname fulleng,org,conflictid,dyadid,primary party,osid,osvcoalition,osvcoalitionid,nsid,nscoalition,nscoalitionid,splinter,name prev,actorid prev,split temp,name split temp,actorid split temp,alliance,name alliance,actorid alliance,join group,group name,actorid group,location,gwno loc,region
2,Government of United States of America,Government of United States of America,,Government of United States of America,0,,,,4,"1-103, 1-137, 1-155, 1-173, 1-176, 1-218, 1-224, 1-226, 1-274, 1-33, 1-35, 1-38, 1-41, 1-45, 1-52, 1-62, 1-63, 1-65, 1-96","12582, 233, 295, 320, 327, 332, 360, 364, 412, 423, 442, 443, 448, 573, 578, 602, 608, 614, 618, 698, 722, 724, 734, 784, 803, 835, 862, 863, 865, 442",1,,0,,,0,,0,,,0,,,0,,,0,,,"United States of America, China, Taiwan, North Korea, South Korea, Cuba, South Vietnam, Iraq, Lebanon, Laos, Vietnam (North Vietnam), Cambodia (Kampuchea), Afghanistan, Grenada, Panama, Kuwait, Serbia (Yugoslavia), Australia, United Kingdom, Yemen (North Yemen), Mali","2, 40, 55, 95, 200, 345, 432, 645, 660, 678, 690, 700, 710, 713, 731, 732, 811, 812, 816, 817, 900","1, 2, 3, 4, 5"
20,Government of Canada,Government of Canada,,Government of Canada,0,,,,4,"1-137, 1-176, 1-218, 1-224, 1-38, 1-62","295, 320, 327, 360, 412, 423, 448, 618",0,,0,,,0,,0,,,0,,,0,,,0,,,"North Korea, South Korea, Afghanistan, Iraq, Kuwait, Serbia (Yugoslavia), United States of America","731, 732, 700, 645, 690, 345, 2","3, 2, 1, 5"
40,Government of Cuba,Government of Cuba,,Government of Cuba,0,,,,4,"1-131, 1-133, 1-219, 1-261, 1-45, 1-71","522, 55, 568, 589, 600, 602, 7, 796",1,,0,,,0,,0,,,0,,,0,,,0,,,"Cuba, Ethiopia, Somalia, Angola","40, 520, 530, 540","5, 4"
41,Government of Haiti,Government of Haiti,,Government of Haiti,0,,,,4,1-186,"244, 251, 440, 441",1,41,0,,,0,,0,,,0,,,0,,,0,,,Haiti,41,5
42,Government of Dominican Republic,Government of Dominican Republic,,Government of Dominican Republic,0,,,,4,"1-62, 1-93","442, 443, 448, 493",1,,0,,,0,,0,,,0,,,0,,,0,s,,"Dominican Republic, Iraq","42, 645","5, 2"
52,Government of Trinidad and Tobago,Government of Trinidad and Tobago,,Government of Trinidad and Tobago,0,,,,4,1-183,219,1,,0,,,0,,0,,,0,,,0,,,0,,,Trinidad and Tobago,52,5
55,Government of Grenada,Government of Grenada,,Government of Grenada,0,,,,4,1-155,573,1,,0,,,0,,0,,,0,,,0,,,0,,,"Grenada, United States of America","55, 2",5
70,Government of Mexico,Government of Mexico,,Government of Mexico,0,,,,4,1-205,"230, 299",1,70,0,,,0,,0,,,0,,,0,,,0,,,Mexico,70,5
90,Government of Guatemala,Government of Guatemala,,Government of Guatemala,0,,,,4,1-36,"228, 621, 622, 624, 625, 627, 694",1,90,0,,,0,,0,,,0,,,0,,,0,,,Guatemala,90,5
91,Government of Honduras,Government of Honduras,,Government of Honduras,0,,,,4,"1-110, 1-176, 1-58, 1-62","320, 442, 443, 448, 534, 591",1,,0,,,0,,0,,,0,,,0,,,0,,,"Honduras, Nicaragua, El Salvador, Iraq, Kuwait","91, 93, 92, 645, 690","5, 2"
92,Government of El Salvador,Government of El Salvador,,Government of El Salvador,0,,,,4,"1-110, 1-120, 1-137, 1-62","225, 327, 412, 442, 443, 448, 508, 510, 514, 534, 578",1,,0,,,0,,0,,,0,,,0,,,0,,,"El Salvador, Honduras, Afghanistan, Iraq","91, 92, 700, 645","5, 3, 2"
93,Government of Nicaragua,Government of Nicaragua,,Government of Nicaragua,0,,,,4,"1-140, 1-58, 1-62","231, 442, 443, 448, 567, 591",1,,0,,,0,,0,,,0,,,0,,,0,,,"Honduras, Nicaragua, Iraq","91, 93, 645","5, 2"
94,Government of Costa Rica,Government of Costa Rica,,Government of Costa Rica,0,,,,4,1-27,581,1,,0,,,0,,0,,,0,,,0,,,0,,,Costa Rica,94,5
95,Government of Panama,Government of Panama,,Government of Panama,0,,,,4,"1-172, 1-173","233, 461",1,,0,,,0,,0,,,0,,,0,,,0,,,"Panama, United States of America","95, 2",5
100,Government of Colombia,Government of Colombia,,Government of Colombia,0,,,,4,"1-38, 1-92","237, 342, 343, 495, 618",1,100,0,,,0,,0,,,0,,,0,,,0,,,"North Korea, South Korea, Colombia","731, 732, 100","3, 5"
101,Government of Venezuela,Government of Venezuela,,Government of Venezuela,0,,,,4,1-80,"475, 672, 778",1,101,0,,,0,,0,,,0,,,0,,,0,,,Venezuela,101,5
115,Government of Surinam,Government of Surinam,,Government of Surinam,0,,,,4,1-162,559,1,,0,,,0,,0,,,0,,,0,,,0,,,Surinam,115,5
130,Government of Ecuador,Government of Ecuador,,Government of Ecuador,0,,,,4,1-208,227,1,,0,,,0,,0,,,0,,,0,,,0,,,"Ecuador, Peru","130, 135",5
135,Government of Peru,Government of Peru,,Government of Peru,0,,,,4,"1-208, 1-95","227, 235, 319, 499, 500",1,,0,,,0,,0,,,0,,,0,,,0,,,"Peru, Ecuador","135, 130",5
140,Government of Brazil,Government of Brazil,,Government of Brazil,0,,,,4,,,0,140,0,,,0,,0,,,0,,,0,,,0,,,Brazil,140,5
145,Government of Bolivia,Government of Bolivia,,Government of Bolivia,0,,,,4,1-1,"462, 463, 464",1,,0,,,0,,0,,,0,,,0,,,0,,,Bolivia,145,5
150,Government of Paraguay,Government of Paraguay,,Government of Paraguay,0,,,,4,1-22,"474, 671, 673",1,,0,,,0,,0,,,0,,,0,,,0,,,Paraguay,150,5
155,Government of Chile,Government of Chile,,Government of Chile,0,,,,4,1-125,490,1,,0,,,0,,0,,,0,,,0,,,0,,,Chile,155,5
160,Government of Argentina,Government of Argentina,,Government of Argentina,0,,,,4,"1-151, 1-176, 1-50","320, 489, 590, 592, 593, 594, 810",1,,0,,,0,,0,,,0,,,0,,,0,,,"Argentina, United Kingdom, Iraq, Kuwait","160, 200, 645, 690","5, 1, 2"
165,Government of Uruguay,Government of Uruguay,,Government of Uruguay,0,,,,4,1-123,491,1,,0,,,0,,0,,,0,,,0,,,0,,,Uruguay,165,5
200,Government of United Kingdom,Government of United Kingdom,,Government of United Kingdom,0,,,,4,"1-119, 1-121, 1-137, 1-151, 1-16, 1-176, 1-187, 1-218, 1-224, 1-226, 1-274, 1-31, 1-38, 1-42, 1-44, 1-51, 1-55, 1-61, 1-62, 1-64, 1-76, 1-8, 1-83, 1-84, 1-89","12582, 130, 216, 248, 295, 320, 327, 332, 360, 412, 423, 442, 443, 448, 489, 561, 578, 579, 585, 586, 604, 607, 610, 618, 620, 655, 665, 686, 693, 699, 710, 714, 835, 862, 863, 865",1,,0,,,0,,0,,,0,,,0,,,0,,,"Israel, Albania, United Kingdom, Malaysia, North Korea, South Korea, Egypt, Kenya, Cyprus, France, Oman, Indonesia, Brunei, South Yemen, Afghanistan, Argentina, Iraq, Kuwait, Sierra Leone, Serbia (Yugoslavia), United States of America, Mali","666, 200, 339, 820, 731, 732, 651, 501, 352, 220, 698, 850, 835, 680, 700, 160, 645, 690, 451, 345, 2, 432","2, 1, 3, 4, 5"
205,Government of Ireland,Government of Ireland,,Government of Ireland,0,,,,4,1-137,"327, 412",0,,0,,,0,,0,,,0,,,0,,,0,,,Afghanistan,700,3
210,Government of Netherlands,Government of Netherlands,,Government of Netherlands,0,,,,4,"1-137, 1-176, 1-218, 1-224, 1-38, 1-5, 1-62, 1-79","295, 320, 327, 360, 412, 423, 442, 443, 448, 578, 612, 618, 657",1,,0,,,0,,0,,,0,,,0,,,0,,,"Indonesia, North Korea, South Korea, Netherlands, Afghanistan, Iraq, Kuwait, Serbia (Yugoslavia), United States of America","850, 731, 732, 210, 700, 645, 690, 345, 2","3, 1, 2, 5"
211,Government of Belgium,Government of Belgium,,Government of Belgium,0,,,,4,"1-137, 1-176, 1-218, 1-224, 1-274, 1-38, 1-62","12582, 295, 320, 327, 360, 412, 448, 618, 835, 862, 863, 865",0,,0,,,0,,0,,,0,,,0,,,0,,,"North Korea, South Korea, Afghanistan, Iraq, Kuwait, Serbia (Yugoslavia), United States of America, Mali","731, 732, 700, 645, 690, 345, 2, 432","3, 2, 1, 5, 4"
212,Government of Luxembourg,Government of Luxembourg,,Government of Luxembourg,0,,,,4,"1-137, 1-218, 1-38","295, 327, 412, 618",0,,0,,,0,,0,,,0,,,0,,,0,,,"North Korea, South Korea, Afghanistan, Serbia (Yugoslavia)","731, 732, 700, 345","3, 1"
220,Government of France,Government of France,,Government of France,0,,,,4,"1-137, 1-15, 1-158, 1-17, 1-176, 1-2, 1-21, 1-218, 1-222, 1-224, 1-267, 1-274, 1-38, 1-47, 1-48, 1-49, 1-55, 1-57, 1-59, 1-60, 1-62, 1-63, 1-73, 1-75, 1-87, 1-9, 1-91","12582, 295, 320, 327, 360, 412, 423, 448, 484, 583, 584, 609, 618, 620, 628, 654, 656, 658, 659, 661, 663, 664, 666, 668, 669, 692, 702, 705, 707, 709, 713, 715, 716, 722, 724, 806, 835, 862, 863, 865",1,,0,,,0,,0,,,0,,,0,,,0,,,"Laos, France, Thailand, Cambodia (Kampuchea), Vietnam (North Vietnam), Madagascar (Malagasy), North Korea, South Korea, Tunisia, Morocco, Algeria, Mauritania, Cameroon, Gabon, Chad, Lebanon, Afghanistan, Iraq, Kuwait, Serbia (Yugoslavia), United States of America, Central African Republic, Mali","812, 220, 800, 811, 816, 580, 731, 732, 616, 600, 615, 435, 471, 481, 483, 660, 700, 645, 690, 345, 2, 482, 432","3, 1, 4, 2, 5"
225,Government of Switzerland,Government of Switzerland,,Government of Switzerland,0,,,,4,1-137,327,0,,0,,,0,,0,,,0,,,0,,,0,,,Afghanistan,700,3
230,Government of Spain,Government of Spain,,Government of Spain,0,,,,4,"1-137, 1-147, 1-176, 1-218, 1-224, 1-59, 1-60, 1-62","295, 320, 327, 360, 366, 412, 442, 443, 448, 715, 716",1,,0,,,0,,0,,,0,,,0,,,0,,,"Mauritania, Morocco, Spain, Afghanistan, Iraq, Kuwait, Serbia (Yugoslavia), United States of America","435, 600, 230, 700, 645, 690, 345, 2","4, 1, 3, 2, 5"
235,Government of Portugal,Government of Portugal,,Government of Portugal,0,,,,4,"1-137, 1-176, 1-218, 1-224, 1-62, 1-66, 1-82, 1-88","295, 320, 327, 360, 412, 442, 443, 448, 578, 675, 685, 738, 739, 740",1,,0,,,0,,0,,,0,,,0,,,0,,,"Angola, Guinea-Bissau, Mozambique, Afghanistan, Iraq, Kuwait, Serbia (Yugoslavia), United States of America","540, 404, 541, 700, 645, 690, 345, 2","4, 3, 2, 1, 5"
260,Government of Germany,Government of Germany,,Government of Germany,0,,,,4,"1-137, 1-218, 1-224, 1-274","12582, 295, 327, 360, 412, 423, 835, 862, 863, 865",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Serbia (Yugoslavia), United States of America, Mali","700, 345, 2, 432","3, 1, 5, 4"
290,Government of Poland,Government of Poland,,Government of Poland,0,,,,4,"1-137, 1-218, 1-224, 1-62","295, 327, 360, 412, 423, 442, 443, 448, 578",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Serbia (Yugoslavia), United States of America, Iraq","700, 345, 2, 645","1, 2, 3, 5"
305,Government of Austria,Government of Austria,,Government of Austria,0,,,,4,1-137,"327, 412",0,,0,,,0,,0,,,0,,,0,,,0,,,Afghanistan,700,3
310,Government of Hungary,Government of Hungary,,Government of Hungary,0,,,,4,"1-137, 1-218, 1-53","295, 327, 412, 603",1,,0,,,0,,0,,,0,,,0,,,0,,,"Hungary, Russia (Soviet Union), Afghanistan, Serbia (Yugoslavia)","310, 365, 700, 345","1, 3"
