Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.6191177,97.21595001,94.33551025,94.75524139,90.15509033,90.55989838,88.19796753,93.12735748,95.58824158,95.13303375,96.30606842,94.78610229,,,96.5044632,101.1103363,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,,,,,16.80868912,,,17.43479919,19.12657928,,26.71748924,33.22000885,13.50133991,,18.40089035,19.15854073,,,,,,,,29.55384064,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,,,,,,,,,,,,45.05036926,39.69403839,,,,,,,,,31.45512009,,,,,,,,,,,,,,,,,42.18664169,41.63848877,42.7725296,49.72512817,,,,,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,92.02439117,,,,97.1042099,96.88066101,,94.0810318,92.96962738,,,97.80805969,95.13124084,94.08692932,92.8441391,98.04717255,103.6188431,94.52274323,107.8213196,,
Arab World,ARB,49.17886,49.12797,48.68694,50.15386,51.58578,54.47894,56.06783,58.15404,57.5786,53.51157,56.59742,60.05518,60.85817,62.07697,64.44559,68.51157,67.6217,67.52203,68.08568,68.38336,69.78389,69.8326,70.61948,70.87066,71.73515,72.81998,74.00294,75.05397,76.2881,77.47421,77.1933,78.44048,79.37553,81.9162,83.84551,84.77124,82.75221,84.38408,86.3569,84.66442,86.3904,86.65067,88.75965,86.96304,,,
United Arab Emirates,ARE,,,,,40.34386826,42.87657166,50.54531097,57.3526001,60.86544037,65.51125336,67.73314667,72.01895905,82.15113068,82.37197876,80.16432953,76.80509949,78.70556641,78.62644196,76.55155945,83.97956085,92.96806335,99.67151642,97.86244965,95.07714844,93.4615097,91.31307983,87.80299377,91.17881775,89.5359726,88.68135834,,,,87.84590149,92.76075745,96.31754303,96.70868683,95.75705719,,86.36058044,87.41023254,89.49369812,94.09414673,96.54083252,102.7079468,,
Argentina,ARG,70.72267151,71.5741272,,,75.31321716,78.72013855,78.63903809,,,,,,,,,,,,,,,,,,98.68029785,,93.61728668,92.17890167,100.0850296,98.21705627,98.49373627,98.08421326,102.0276337,99.92209625,98.56243896,96.68479156,99.13020325,101.8495026,105.0619736,104.9862518,104.8092194,104.4178619,103.2247696,100.8773727,,,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,105.9922409,,,95.49756622,,,,,93.72377777,89.42333984,100.0672607,92.07588959,92.21211243,98.62464142,100.1311035,,,,,,,,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,82.93412781,82.25235748,,,,,,,,,,,,,,,,96.68756104,,,,,,,,,,,,,,,,102.509407,95.54579926,102.3884277,99.74732208,,,102.272728,,
Australia,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
