measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),214,Nigeria,3,Both,22,All Ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,1990,79419906.070209,84902361.83174,73845109.011115
2,DALYs (Disability-Adjusted Life Years),214,Nigeria,3,Both,22,All Ages,295,"Communicable, maternal, neonatal, and nutritional diseases",2,Percent,1990,0.77964768738608,0.81962065254209,0.73248433698845
2,DALYs (Disability-Adjusted Life Years),214,Nigeria,3,Both,22,All Ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1990,82942.003011703,88667.589426041,77119.97628212
2,DALYs (Disability-Adjusted Life Years),214,Nigeria,3,Both,22,All Ages,409,Non-communicable diseases,1,Number,1990,17848407.341282,22706183.997872,13967499.560921
2,DALYs (Disability-Adjusted Life Years),214,Nigeria,3,Both,22,All Ages,409,Non-communicable diseases,2,Percent,1990,0.17484539160474,0.21506160014795,0.14427292872995
2,DALYs (Disability-Adjusted Life Years),214,Nigeria,3,Both,22,All Ages,409,Non-communicable diseases,3,Rate,1990,18639.944493771,23713.152110576997,14586.926996708
2,DALYs (Disability-Adjusted Life Years),216,Senegal,3,Both,22,All Ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,1990,4519955.2534556,4733403.1655403,4269626.0460891
2,DALYs (Disability-Adjusted Life Years),216,Senegal,3,Both,22,All Ages,295,"Communicable, maternal, neonatal, and nutritional diseases",2,Percent,1990,0.74408678514323,0.77717778790352,0.7077983339689
2,DALYs (Disability-Adjusted Life Years),216,Senegal,3,Both,22,All Ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1990,60194.790363312,63037.395477295,56861.019134521
2,DALYs (Disability-Adjusted Life Years),216,Senegal,3,Both,22,All Ages,409,Non-communicable diseases,1,Number,1990,1210901.7892531,1440817.1591225,1020159.2146005
2,DALYs (Disability-Adjusted Life Years),216,Senegal,3,Both,22,All Ages,409,Non-communicable diseases,2,Percent,1990,0.19910697794604,0.23095846982065,0.1734789358653
2,DALYs (Disability-Adjusted Life Years),216,Senegal,3,Both,22,All Ages,409,Non-communicable diseases,3,Rate,1990,16126.261651515999,19188.17460537,13586.035370827
2,DALYs (Disability-Adjusted Life Years),213,Niger,3,Both,22,All Ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,1990,10979900.939996,11557160.20572,10350021.020576
2,DALYs (Disability-Adjusted Life Years),213,Niger,3,Both,22,All Ages,295,"Communicable, maternal, neonatal, and nutritional diseases",2,Percent,1990,0.84298376856747,0.87889885919178,0.80182193169975
2,DALYs (Disability-Adjusted Life Years),213,Niger,3,Both,22,All Ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1990,138673.91347885,145964.57481384,130718.66035461
2,DALYs (Disability-Adjusted Life Years),213,Niger,3,Both,22,All Ages,409,Non-communicable diseases,1,Number,1990,1442780.4381279,1889914.0848706,1136851.7559401
2,DALYs (Disability-Adjusted Life Years),213,Niger,3,Both,22,All Ages,409,Non-communicable diseases,2,Percent,1990,0.11071614645171,0.14403832197169,0.08834449470578
2,DALYs (Disability-Adjusted Life Years),213,Niger,3,Both,22,All Ages,409,Non-communicable diseases,3,Rate,1990,18222.023546696,23869.229853153,14358.206093310999
2,DALYs (Disability-Adjusted Life Years),154,Tunisia,3,Both,22,All Ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,1990,834661.65049757,936817.61885461,722508.2846649
2,DALYs (Disability-Adjusted Life Years),154,Tunisia,3,Both,22,All Ages,295,"Communicable, maternal, neonatal, and nutritional diseases",2,Percent,1990,0.32592837744041,0.36701309531023,0.2848103759452
2,DALYs (Disability-Adjusted Life Years),154,Tunisia,3,Both,22,All Ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1990,10136.791318655,11377.453804015999,8774.711936712
2,DALYs (Disability-Adjusted Life Years),154,Tunisia,3,Both,22,All Ages,409,Non-communicable diseases,1,Number,1990,1450982.5821462,1647207.5619207,1263487.1734122
2,DALYs (Disability-Adjusted Life Years),154,Tunisia,3,Both,22,All Ages,409,Non-communicable diseases,2,Percent,1990,0.5655809199429,0.60337674034968,0.53072155617418
2,DALYs (Disability-Adjusted Life Years),154,Tunisia,3,Both,22,All Ages,409,Non-communicable diseases,3,Rate,1990,17621.879279613,20004.990696907,15344.786643982
2,DALYs (Disability-Adjusted Life Years),185,Rwanda,3,Both,22,All Ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,1990,4983293.6738858,5339961.7928552,4642578.1474245
