"Data Source","World Development Indicators",

"Last Updated Date","2016-11-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.57237268","69.50140527","69.92880432","73.97672962","68.6671435","68.78294511","68.75","68.80733945","68.68855021","68.65955253","66.23540006","67.10940946","72.3913649","73.46993484","74.5232018","78.03248812","73.48512127","76.1465874","84.44256502","78.02805697","","",
"Afghanistan","AFG","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.09414092","6.8953803","11.03324341","9.93937535","14.29141914","7.76027831","16.63747023","27.45657541","31.04438552","26.42396854","34.28331897","32.58067229","35.84374939","","",
"Angola","AGO","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.13510223","61.80985347","57.98090619","42.41229447","63.1111938","60.17387064","52.2309081","46.37463659","46.40720468","51.15098356","49.33396938","66.53774217","65.43573672","70.64710311","60.93447057","60.78342274","63.76805852","64.67320992","72.25863227","64.25531186","","",
"Albania","ALB","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.96610481","23.49574237","26.75056386","30.17481594","36.54778707","36.10012132","38.20281748","35.81405161","35.93587926","42.00000471","44.24980269","43.93458345","43.07337795","45.89721323","48.92781303","46.42083932","49.85717851","48.94649304","50.14879378","49.91196079","","",
"Arab World","ARB","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.7390767774967","54.4173288395244","53.6034728002792","52.113068460234","54.5147640471779","56.8153089947812","59.2274168342848","57.6248473098279","58.4447527986353","58.512799376026","59.3448423345491","60.2441905878554","59.4783663813605","59.2200899623842","61.6233973780618","59.7584783288498","62.0183500246755","62.1881524225897","62.821435875462","63.1670055671609","","",
"United Arab Emirates","ARE","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.96942865","79.25115439","78.34120589","71.05833275","70.66247221","70.46493274","78.27202407","63.07012358","63.16262526","59.13676163","58.99863144","59.45387715","60.62331809","65.61759339","74.91809852","72.12623309","73.77408975","73.99959995","73.36740161","72.34253479","","",
"Argentina","ARG","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.75751924","57.71520147","54.45338343","54.17352457","55.07464937","53.9013864","54.03149917","53.55999173","51.74039339","51.49280584","53.52669561","54.69829016","58.24968638","61.84381018","66.02416905","63.56310053","63.55941071","58.9544227","54.84443335","55.42666668","","",
"Armenia","ARM","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.10071116","27.99544199","24.40354458","28.57651116","28.37863989","18.19037346","26.79062365","25.2079035","27.25741899","25.52998216","36.27210902","44.84477594","48.72052502","46.44959963","44.22139406","42.14386708","52.21171792","41.84773131","42.78228507","42.98239827","","",
"American Samoa","ASM","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
