Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.1993332,110.8014374,109.4029007,110.9983063,109.2143021,110.8390503,111.3767166,114.2385864,115.224411,113.0788269,113.7757416,113.7417831,105.2193985,104.0627594,116.108017,117.3180389,,
Andorra,AND,,,,,,88.60502625,,,,,,,,114.375618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,31.34174919,32.21033859,32.50746918,32.87379837,33.43759918,33.31623077,34.29225922,35.12284088,36.62601089,,44.77437973,48.54335022,17.6810894,,22.65113068,24.69518089,26.69475937,,33.49937057,31.18457031,30.09115028,28.6841507,,31.15373039,43.12926865,46.24322891,,,33.31254959,27.04071999,22.33481026,22.20237923,73.3095932,99.24848938,111.2605591,104.1713715,107.817421,104.6908188,106.4537735,102.2252884,105.5209274,102.8096313,108.9285202,110.0654373,111.744133,,
Angola,AGO,,58.72721863,63.89730835,66.09954071,72.10684967,,,,,,149.0358276,130.8056946,121.1766281,108.7552032,94.67823029,75.02474213,81.07156372,81.66928101,81.05615997,82.01186371,78.25849915,71.9317627,69.36856079,,,,,,78.36840057,,,,,,,,,105.2104034,111.9137573,111.1583405,113.5078735,128.7041473,,,,,
Albania,ALB,,,,,,,119.3476791,,114.998848,112.2156525,107.5305405,105.0638504,103.6651382,102.7332687,103.6929016,103.9178391,103.8384628,101.7586594,99.90882111,99.78552246,99.82147217,101.6307907,99.96878052,98.94786072,101.9895782,104.5339584,106.8230972,108.5679626,107.7334671,106.3054581,104.7495193,103.473999,101.5591965,100.0177994,98.38082123,101.4723587,99.59384155,99.09313202,99.51950073,97.52532959,99.01331329,101.8157425,104.7843933,107.7845612,112.4866409,,
Arab World,ARB,66.02224,66.13047,67.65423,68.90083,69.29002,70.70862,72.57125,73.55261,73.97741,75.8807,77.21329,77.51631,78.45702,79.35874,80.30549,80.22191,81.02707,82.1492,82.80285,82.64587,83.44613,83.99825,81.53323,82.24524,84.96542,83.95037,86.49328,87.36892,88.20046,89.53817,90.40905,91.44573,92.85076,93.99827,94.4253,95.15062,95.97906,96.45493,97.51658,98.26476,99.27141,99.02281,100.74746,99.76297,,,
United Arab Emirates,ARE,,79.06099701,85.75647736,88.22763824,86.66716766,85.68295288,95.01338196,99.57541656,98.01508331,93.91462708,91.58992767,88.58776855,93.35183716,94.60973358,95.88395691,95.8346405,96.65725708,97.91000366,100.8531723,105.4362183,109.3887787,110.0881271,104.9328995,102.3832397,103.2430191,104.9605103,103.158989,99.66165924,96.42817688,94.19611359,,,,99.10974121,103.4887466,105.5068436,104.0567169,103.0905304,,97.32917023,99.69960785,99.0844574,101.4232025,100.9739532,106.7116699,,
Argentina,ARG,105.6495438,106.3789597,105.9416809,105.5295715,106.310791,106.1638184,105.8600769,106.779953,106.3813095,106.8267288,106.8851013,107.6234665,107.7754974,,105.5620728,105.4701004,106.0780563,106.3605804,107.0244217,,106.5615692,109.0856934,,,111.943512,,111.3675079,108.2667999,112.9470673,116.052948,117.3634872,118.064621,118.758522,116.5013123,117.8136368,117.1332932,118.8351974,119.3486862,119.4411621,118.2114105,116.7181625,114.7684708,112.9782562,110.5659866,,,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,102.4689636,99.21221161,102.5770187,94.72537231,90.9055481,92.001297,94.52603149,95.88912201,98.60610962,98.52625275,102.2236099,95.57846069,94.32559204,94.62056732,94.29905701,97.71125793,108.466713,107.5535812,102.4492416,,,,,,,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,80.7281189,98.71730804,,91.78395844,88.40309906,90.61126709,86.98285675,81.12272644,76.91751099,,,,,112.8007126,,,,,,,,100.140007,,,109.1473312,,,,,124.1303711,,,,,,,104.3192062,104.7472382,102.7987976,103.408989,100.6770477,97.89286041,,97.10739899,,
Australia,AUS,,110.8062363,110.2184372,109.5266113,104.7148819,107.5582504,108.4452667,110.4316711,111.4916763,111.0503769,110.2314606,108.8779068,107.7867126,106.4705429,105.7478714,104.2709808,104.8561707,105.3053284,105.945282,106.1370926,105.8115234,105.5315781,105.4117508,105.3247833,105.2922363,100.7926331,101.0991287,100.7295609,100.5014725,100.2563095,100.3372879,100.2517776,101.150238,101.274971,101.8791199,102.3891525,103.0109634,104.9848633,105.0581284,105.3190613,105.7040863,105.9915009,106.4533234,106.5677719,,,
