"Data Source","World Development Indicators",

"Last Updated Date","2016-10-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Net enrolment rate, primary, both sexes (%)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.8167037963867","98.0980911254883","94.5285797119141","95.3073883056641","93.9307022094727","94.6348876953125","97.805061340332","98.6275482177734","98.8724517822266","99.0692977905273","95.8695678710938","98.9204635620117","","","","99.2499389648438","","",
"Andorra","AND","Net enrolment rate, primary, both sexes (%)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Net enrolment rate, primary, both sexes (%)","SE.PRM.NENR","","","","","","","","","","","","","","","27.0889892578125","","","","","","","","","","","","","","","","","","","28.6519107818604","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Net enrolment rate, primary, both sexes (%)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","","","","","47.8443717956543","44.5082092285156","","","","","","","","","","","","","","","49.6805686950684","","","","","","","","","","80.1990966796875","79.6908416748047","81.3394393920898","84.0123062133789","","","","","",
"Albania","ALB","Net enrolment rate, primary, both sexes (%)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.3142471313477","95.8898773193359","94.3273468017578","","91.7103118896484","91.1112899780273","","","","90.2672882080078","89.3933334350586","91.0338668823242","93.2256622314453","96.137092590332","95.5457382202148","95.5173110961914","","",
"Arab World","ARB","Net enrolment rate, primary, both sexes (%)","SE.PRM.NENR","","","","","","","","","","","54.28884","54.37529","55.6771","56.71255","57.40288","58.73204","60.32387","61.22037","62.03657","63.69364","64.97849","65.46103","66.0134","66.68919","67.90546","68.51455","69.53874","70.77622","71.51067","71.61078","72.04212","72.73428","70.24869","70.79406","73.12736","72.45133","74.75859","75.43522","75.69741","76.6482","77.48516","78.90716","79.88124","80.15878","80.56415","80.69811","81.39598","81.62717","82.49669","82.93303","84.18991","84.36479","85.58516","84.5148","","","",
"United Arab Emirates","ARE","Net enrolment rate, primary, both sexes (%)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","79.8643569946289","","76.1982269287109","73.272819519043","78.8385009765625","74.7829971313477","75.0737686157227","74.9563293457031","75.7093963623047","86.7345199584961","90.0047607421875","94.7449493408203","98.4077682495117","98.5292205810547","95.8841934204102","92.5016479492188","90.9713363647461","92.3178405761719","90.5151214599609","87.5164184570313","84.7020034790039","82.7199478149414","","","","85.0152206420898","87.997673034668","89.3371887207031","88.2077407836914","87.9463806152344","","82.8185577392578","85.4520492553711","85.5894470214844","87.8147430419922","87.5570983886719","90.7382431030273","","",
"Argentina","ARG","Net enrolment rate, primary, both sexes (%)","SE.PRM.NENR","","","","","","","","","","","94.9729385375977","","","","96.6124801635742","96.3858032226563","","","","","","","","","","","","94.5409088134766","","","","96.2538223266602","","","","","","100","99.5189590454102","99.2891006469727","99.1193771362305","","","98.9905166625977","98.6387176513672","98.8115615844727","98.8024215698242","99.0615386962891","99.0486526489258","99.0204391479492","98.6672592163086","98.8425674438477","98.9680709838867","99.0224380493164","","","",
"Armenia","ARM","Net enrolment rate, primary, both sexes (%)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.6697387695313","82.7872314453125","","80.0821304321289","81.4126510620117","84.1355590820313","","","","","","","","","",
"American Samoa","ASM","Net enrolment rate, primary, both sexes (%)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Net enrolment rate, primary, both sexes (%)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.8214569091797","91.9822387695313","90.9836807250977","88.3396072387695","87.1452407836914","85.2781372070313","","84.1432037353516","","",
"Australia","AUS","Net enrolment rate, primary, both sexes (%)","SE.PRM.NENR","","","","","","","","","","","","96.2010879516602","","94.744499206543","94.0536193847656","96.7161712646484","97.662712097168","99.9626693725586","99.9718017578125","99.984260559082","99.9532012939453","99.4390106201172","98.3717727661133","97.4330673217773","95.6805801391602","95.7782516479492","96.4858703613281","97.0616073608398","97.7472686767578","97.8603134155273","97.4584884643555","96.8699111938477","96.6406173706055","96.2342681884766","95.9444274902344","94.5284423828125","94.9486770629883","94.5570526123047","94.3550262451172","94.0574417114258","94.0375213623047","93.9052810668945","93.9084701538086","94.4801483154297","94.8669891357422","95.3214416503906","95.6783218383789","96.4619064331055","96.5811614990234","96.7083892822266","96.9901580810547","97.6583709716797","97.5498962402344","97.3556289672852","","","",
"Austria","AUT","Net enrolment rate, primary, both sexes (%)","SE.PRM.NENR","","","","","","","","","","","","91.0732727050781","90.2837829589844","88.9248275756836","88.0207366943359","87.7150802612305","87.1222763061523","","","","","","","","","","","","","94.4545288085938","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Net enrolment rate, primary, both sexes (%)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.0349578857422","92.4270477294922","88.4142913818359","81.3800277709961","83.5742034912109","93.2537536621094","90.1027221679688","88.7723999023438","92.1410980224609","88.239616394043","85.3830337524414","84.8256530761719","83.284538269043","84.2122802734375","83.8686218261719","83.1537704467773","83.3748016357422","83.8899688720703","85.1739120483398","84.4464492797852","86.6126098632813","89.1050720214844","93.5072937011719","95.1784973144531","","",
"Burundi","BDI","Net enrolment rate, primary, both sexes (%)","SE.PRM.NENR","","","","","","","","","","","","","","18.8023109436035","","","","","17.4657497406006","","19.170129776001","21.130350112915","24.5110607147217","30.7645893096924","35.4884300231934","39.6543998718262","41.9530181884766","46.7022399902344","48.8998985290527","","","","","47.7694816589355","","","","","","","40.5145988464355","49.1609115600586","48.5026092529297","51.8467903137207","53.3056983947754","56.2934303283691","72.2936172485352","78.994499206543","88.7469711303711","86.7384719848633","91.4017791748047","","","91.0474624633789","95.3593826293945","","",
"Belgium","BEL","Net enrolment rate, primary, both sexes (%)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","97.6126327514648","","99.2348098754883","99.6944198608398","98.355827331543","98.1996536254883","94.8311614990234","93.9449920654297","93.2914810180664","94.442008972168","95.5682907104492","96.5768814086914","","","95.9473876953125","94.4374618530273","96.9353485107422","96.2888793945313","96.3357315063477","96.8424987792969","","","99.0390701293945","99.0560913085938","99.111442565918","98.873908996582","98.0543518066406","96.601448059082","96.4721221923828","97.1139602661133","98.1838912963867","98.7998428344727","98.814208984375","98.5346221923828","98.5668411254883","98.9202117919922","98.8751220703125","98.7804870605469","","",
"Benin","BEN","Net enrolment rate, primary, both sexes (%)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","","","","","","","49.651439666748","50.4160118103027","48.5337905883789","","48.1682395935059","48.6548805236816","39.2619514465332","","48.8130416870117","52.7194404602051","53.9042510986328","56.2385215759277","58.424560546875","61.6597290039063","","","","","","81.7814331054688","84.874137878418","80.0611419677734","82.5792999267578","","87.6232986450195","93.3121795654297","94.120849609375","94.0614471435547","94.8630981445313","","95.8666229248047","","",
"Burkina Faso","BFA","Net enrolment rate, primary, both sexes (%)","SE.PRM.NENR","","","","","","","","","","","","10.0545997619629","10.4877901077271","","","","","12.5579700469971","13.0268201828003","13.5188999176025","14.3084201812744","15.3243799209595","16.8141002655029","18.0799999237061","19.4290599822998","21.48464012146","23.4854602813721","25.1381893157959","25.6219692230225","25.9147205352783","","27.1822700500488","27.703519821167","28.6870594024658","29.9130306243896","31.5351696014404","","","34.9796981811523","35.4888610839844","36.333080291748","37.2634391784668","36.7238502502441","38.6573715209961","41.1556816101074","45.7524490356445","48.7473487854004","54.0310516357422","59.9531898498535","62.7471313476563","59.7718505859375","64.6422500610352","65.3623199462891","66.2365112304688","67.4506607055664","","",
"Bangladesh","BGD","Net enrolment rate, primary, both sexes (%)","SE.PRM.NENR","","","","","","","","","","","50.8469390869141","","","70.3747634887695","","","76.2395095825195","71.383659362793","70.6610717773438","","","67.6230926513672","","64.4550399780273","63.0598907470703","61.2331809997559","60.2325286865234","59.2413787841797","69.5445709228516","69.515266418457","72.464599609375","","","","","","","","","","","","","","","91.8871765136719","92.5763778686523","","89.7798080444336","90.5465621948242","89.9645233154297","","","","","","",
"Bulgaria","BGR","Net enrolment rate, primary, both sexes (%)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.2692337036133","95.259162902832","95.4400634765625","96.0850601196289","96.0738220214844","96.7462921142578","95.4127578735352","95.4399185180664","95.4571304321289","92.2152481079102","90.7919387817383","93.9568481445313","96.0637893676758","97.5043106079102","97.7806015014648","97.0889129638672","95.5349578857422","95.1706390380859","94.9296798706055","","",
