Country Name,Country Code,Indicator Name,Indicator Code,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,17342.47194,16441.38126,16586.1923,17927.41203,19081.57029,19356.42087,20619.56585,20671.54574,20433.65411,20834.93971,22566.68216,23302.83199,24015.42061,25921.53823,27549.88942,24640.42124,24289.14152,25353.78754,,,
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,15166.91384,18876.72935,19530.8435,20541.7739,16508.87522,16226.97108,18460.00743,19038.79883,18405.3201,18969.97799,19323.89255,21432.96007,21897.66294,24175.37275,31742.99258,37235.45003,39990.33041,42417.22915,47253.5298,46735.99957,42701.44714,39639.38602,41630.05258,39666.36921,42806.52245,
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,119.8990371,192.1535283,203.6510409,224.9147122,257.1757947,280.2456441,380.4009552,384.1316813,458.9557816,569.9407288,622.3796544,690.842629,653.3474881,633.9478643
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,926.6006266,901.1076018,1265.627309,872.767664,825.6981351,823.8855437,380.8719231,560.6755166,554.2522329,454.2965495,421.3767773,606.2722922,574.1941611,775.7655185,850.0756941,1135.604564,1576.162801,2253.83885,3151.022431,4242.363062,3678.947654,3886.479354,4744.987629,5086.848426,5327.148892,5232.690501
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,723.4096102,639.4638993,348.7113178,218.4921659,380.5273711,619.0651634,760.5593758,1046.358511,749.584649,865.3021618,1098.425463,1175.788981,1326.970339,1453.642777,1890.681557,2416.588235,2709.142931,3005.012903,3603.013685,4370.539647,4114.136545,4094.358832,4437.811999,4247.839852,4412.345578,4588.64944
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,1503.805273,2008.029448,1923.468913,2023.838335,1993.437094,1987.282182,2070.01971,2233.963163,2317.980393,2188.7491,2334.397881,2608.885949,2513.648254,2481.211638,2742.017174,3146.075761,3779.891078,4375.693704,4993.410744,6178.172278,5213.321665,5957.949586,6918.904726,7519.659216,7561.652304,7478.997517
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,24218.55275,27989.30127,26945.65915,26864.18811,26141.33065,26495.82156,27973.74282,29813.37231,30378.54534,27681.31053,29278.76862,34207.53895,32105.64787,32355.4096,34294.894,37179.68189,40298.52422,42950.10058,42913.78403,45720.0179,32905.05385,34341.91129,39901.22092,41712.12421,42831.08913,43962.71369
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,2375.33925,4318.774568,5715.504052,6798.027167,6940.351375,7449.480605,7373.427403,7683.573848,8172.665235,8248.76472,7736.372578,7669.273709,7170.689698,2579.188199,3330.42866,4251.565347,5096.258332,5904.678132,7226.270295,8992.589619,8198.566111,10332.03237,12800.20186,13040.3064,13027.20482,12324.93879
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,,636.68069,589.0029482,368.9168368,356.5073514,399.7512025,455.5502761,503.2319696,522.522072,608.3366487,596.5059963,621.4248263,692.3016309,779.8296261,924.4640098,1181.968445,1625.407769,2126.618661,3080.970959,3919.975474,2915.583906,3124.784018,3417.171836,3565.517575,3716.828923,3873.533566
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,6025.847582,6325.240905,6575.480499,6680.37587,7037.939154,7514.48368,7230.320637,7702.670284,8027.631131,8355.618643,8572.373481,10094.75906,9797.968713,10027.85622,10382.6309,10993.36925,12079.8657,13599.90886,15276.06826,15786.17284,13979.26269,13017.31039,12817.84157,13525.61622,13342.085,13432.07921
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,17810.95361,18221.69121,18836.78058,18591.22052,17657.24424,18079.26394,20360.18221,21917.71922,23522.77877,21340.06211,20536.41231,21665.11545,19495.14593,20059.45207,23440.00532,30440.85488,33982.95043,36084.85898,40957.83044,49628.11513,42715.13226,51845.65486,62216.54713,67646.10385,67652.68321,61995.8297
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,17426.86354,21628.76023,22356.92392,24820.22783,24023.51547,25584.91782,30252.79469,29742.42881,26646.88394,27289.63071,27116.67608,24517.26745,24489.73553,26351.37568,32102.93055,36693.40262,38242.04252,40430.99361,46586.65025,51386.37665,47654.18721,46659.84082,51123.56133,48324.25404,50557.80381,51148.35888
