DyadId,ConflictId,Location,SideA,SideA2nd,SideB,SideBID,SideB2nd,Incompatibility,TerritoryName,Year,IntensityLevel,TypeOfConflict,StartDate,StartPrec,StartDate2,StartPrec2,GWNoA,GWNoA2nd,GWNoB,GWNoB2nd,GWNoLoc,Region,Version
1,1-191,Algeria,Government of Algeria,,AIS,1389,,2,,1992,1,3,1985-08-27,1,1992-03-10,5,615,,,,615,4,1.0-2016
1,1-191,Algeria,Government of Algeria,,AIS,1389,,2,,1993,1,3,1985-08-27,1,1992-03-10,5,615,,,,615,4,1.0-2016
1,1-191,Algeria,Government of Algeria,,AIS,1389,,2,,1994,2,3,1985-08-27,1,1992-03-10,5,615,,,,615,4,1.0-2016
1,1-191,Algeria,Government of Algeria,,AIS,1389,,2,,1995,1,3,1985-08-27,1,1992-03-10,5,615,,,,615,4,1.0-2016
1,1-191,Algeria,Government of Algeria,,AIS,1389,,2,,1996,1,3,1985-08-27,1,1992-03-10,5,615,,,,615,4,1.0-2016
1,1-191,Algeria,Government of Algeria,,AIS,1389,,2,,1997,1,3,1985-08-27,1,1992-03-10,5,615,,,,615,4,1.0-2016
2,1-191,Algeria,Government of Algeria,,Takfir wa'l Hijra,1388,,2,,1991,1,3,1990-12-20,1,1991-12-09,1,615,,,,615,4,1.0-2016
3,1-191,Algeria,Government of Algeria,,GIA,1390,,2,,1993,1,3,1992-02-10,1,1993-12-31,5,615,,,,615,4,1.0-2016
3,1-191,Algeria,Government of Algeria,,GIA,1390,,2,,1994,1,3,1992-02-10,1,1993-12-31,5,615,,,,615,4,1.0-2016
3,1-191,Algeria,Government of Algeria,,GIA,1390,,2,,1995,2,3,1992-02-10,1,1993-12-31,5,615,,,,615,4,1.0-2016
3,1-191,Algeria,Government of Algeria,,GIA,1390,,2,,1996,2,3,1992-02-10,1,1993-12-31,5,615,,,,615,4,1.0-2016
3,1-191,Algeria,Government of Algeria,,GIA,1390,,2,,1997,2,3,1992-02-10,1,1993-12-31,5,615,,,,615,4,1.0-2016
3,1-191,Algeria,Government of Algeria,,GIA,1390,,2,,1998,2,3,1992-02-10,1,1993-12-31,5,615,,,,615,4,1.0-2016
3,1-191,Algeria,Government of Algeria,,GIA,1390,,2,,1999,1,3,1992-02-10,1,1993-12-31,5,615,,,,615,4,1.0-2016
