Country_Name,Country_Code,Indicator_Name,Indicator_Code,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,5.37777811911111E+08,5.48888894577778E+08,5.46666678044444E+08,7.51111190755556E+08,8.00000045511111E+08,1.00666663822222E+09,1.39999996586667E+09,1.67333341866667E+09,1.37333336746667E+09,1.40888892302222E+09,1.74888659626667E+09,1.83110897208889E+09,1.59555547591111E+09,1.73333326506667E+09,2.15555549866667E+09,2.36666661546667E+09,2.55555556693333E+09,2.95333341866667E+09,3.30000010808889E+09,3.69794034514177E+09,3.64172344718433E+09,3.47878790981818E+09,,,,,,,,,,,,,,,,,,,,2.46166631478366E+09,4.12881804225508E+09,4.58364892164112E+09,5.28546199933739E+09,6.27507601647174E+09,7.05759840661553E+09,9.84384245548323E+09,1.01905298824878E+10,1.24869435057381E+10,1.59368006362487E+10,1.79302393998149E+10,2.05365427367297E+10,2.00463343039661E+10,2.00501898816659E+10,1.91994379888023E+10
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1.92424245300793E+09,1.96538458624090E+09,2.17375001250000E+09,2.15662490000000E+09,2.12600000000000E+09,2.33512498750000E+09,2.10162496250000E+09,1.13916664583333E+09,7.09452583880319E+08,1.22807103784446E+09,1.98567379810258E+09,2.42449900914264E+09,3.31489829137753E+09,2.35990310825164E+09,2.70712377239715E+09,3.41476091522464E+09,3.63204390778974E+09,4.06075880410640E+09,4.43507864786039E+09,5.74694591288569E+09,7.31486517567485E+09,8.15854871652941E+09,8.99264234895796E+09,1.07010118967708E+10,1.28813526877773E+10,1.20442129038168E+10,1.19269532589160E+10,1.28908675385302E+10,1.23197847872987E+10,1.27810296435936E+10,1.32779638070823E+10,1.14555957091413E+10
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2.72363761473246E+09,2.43476686870395E+09,2.00146083068173E+09,2.70300401316486E+09,2.90934010986137E+09,3.13628438352788E+09,3.03985926176752E+09,3.37087045870498E+09,3.85214712094702E+09,4.25725336816603E+09,4.86348755804370E+09,5.07722232518392E+09,6.76178648549438E+09,8.71510613873716E+09,1.32097137662621E+10,1.55579344728677E+10,1.77283483852440E+10,2.09719010649137E+10,2.63644916836933E+10,3.32434213414536E+10,4.23452762896781E+10,4.43486707157417E+10,4.52070906608991E+10,4.88013722183647E+10,5.36982803282010E+10,5.79378677118946E+10,6.36962999807874E+10,6.67422690855750E+10,5.90890655182217E+10,5.56314882954747E+10,6.20450983745482E+10,4.57153670871001E+10,4.80032982231178E+10,4.99464552109660E+10,4.25425713055136E+10,4.17640524578814E+10,4.69414967798499E+10,4.81778625019495E+10,4.81877475288990E+10,4.86406116862439E+10,5.47900605128887E+10,5.47447141099527E+10,5.67602883963756E+10,6.78638297047613E+10,8.53249989593018E+10,1.03198229168230E+11,1.17027304787836E+11,1.34977088396419E+11,1.71000692134748E+11,1.37211039899570E+11,1.61207268840911E+11,2.00013050828170E+11,2.09047389599670E+11,2.09703529364331E+11,2.13518488688120E+11,1.66838617796555E+11
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,7.86176226156681E+07,8.94065876603222E+07,1.13414399179807E+08,1.50841573450390E+08,1.86557164008677E+08,2.20112879759613E+08,2.27284061472147E+08,2.53998001243161E+08,3.08020288906308E+08,4.11548365741102E+08,4.46377571457780E+08,3.88982990468389E+08,3.75914806528782E+08,3.27849981484634E+08,3.30073057021977E+08,3.46742876302710E+08,4.81996191303733E+08,6.11300147254444E+08,7.21425971769055E+08,7.95489464025027E+08,1.02898939370295E+09,1.10689102478653E+09,1.20999264956688E+09,1.00709091505999E+09,1.01754467549713E+09,1.17874531432635E+09,1.22402341565326E+09,1.18064606829262E+09,1.21195395356347E+09,1.23984026971814E+09,1.40169415569730E+09,1.48400461740835E+09,1.71756353269860E+09,2.37383621446563E+09,2.91691344918143E+09,3.24813460677511E+09,3.53645164556431E+09,4.01078510205129E+09,4.00134933957053E+09,3.64986349252426E+09,3.34631732852461E+09,3.42723570864326E+09,3.14617774063670E+09,3.24910066687102E+09,,
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,6.68449197860963E+09,6.68449197860963E+09,6.68449197860963E+09,6.68449197860963E+09,1.00267379679144E+10,1.00274082492145E+10,1.45194954475332E+10,1.03413987404707E+10,1.01121483616315E+10,1.04209022935394E+10,4.96758528189541E+09,7.52696396396396E+09,7.64971615720524E+09,6.44542769857434E+09,6.15293653921955E+09,9.12963497833773E+09,8.93606372320121E+09,1.24973466696684E+10,1.41889491906180E+10,1.96408487288937E+10,2.82337128309035E+10,4.17894786613096E+10,6.04489212722326E+10,8.41780327160971E+10,7.54923848013695E+10,8.24709131207314E+10,1.04115923082737E+11,1.15398371427673E+11,1.24912063308202E+11,1.26775134686437E+11,1.02643104696208E+11
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,6.61444432762914E+07,7.48555542335588E+07,9.22407391117105E+07,1.10066664722819E+08,1.24462960764868E+08,1.37951849415534E+08,1.53270367663518E+08,1.73511108046794E+08,2.01862959397935E+08,2.45896291953611E+08,2.86474069014760E+08,3.38696290314704E+08,3.73403697109157E+08,3.91570363454988E+08,4.10388888888889E+08,4.23762962962963E+08,4.56537037037037E+08,5.00088888888889E+08,4.94185185185185E+08,5.41074074074074E+08,5.79851851851852E+08,6.20037037037037E+08,6.51851851851852E+08,7.83837851851852E+08,7.73765185185185E+08,8.02529333333333E+08,8.39996370370370E+08,8.98356148148148E+08,9.97374111111111E+08,1.13514359259259E+09,1.28925433333333E+09,1.34734985185185E+09,1.20641037037037E+09,1.13553903703704E+09,1.12991837037037E+09,1.20471311111111E+09,1.20058751851852E+09,1.22097600000000E+09,1.29728537037037E+09
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,2.44506048776081E+10,1.82721236644715E+10,2.56052493817597E+10,2.83447059666389E+10,2.86304747279023E+10,2.42566675532569E+10,2.64368572474982E+10,3.12562845436155E+10,3.15842103655447E+10,3.32931990954881E+10,3.47330005362862E+10,5.25440001169037E+10,7.24367773424554E+10,5.24386479219226E+10,5.11694998907722E+10,5.67810001009448E+10,5.80828701562634E+10,6.92523289533789E+10,7.69619237419479E+10,7.86768423664213E+10,8.43074868367240E+10,1.03979106777911E+11,7.90920019980320E+10,8.84166689002596E+10,1.10934442762694E+11,1.11106191358197E+11,1.26206817196091E+11,7.66368980364712E+10,1.41352368714691E+11,1.89719984268485E+11,2.28788617201696E+11,2.36741715015015E+11,2.57440000000000E+11,2.58031750000000E+11,2.72149750000000E+11,2.92859000000000E+11,2.98948250000000E+11,2.83523000000000E+11,2.84203750000000E+11,2.68696750000000E+11,9.77245134564782E+10,1.27586251760673E+11,1.81873056796968E+11,2.20813784300124E+11,2.62666517346674E+11,3.29317513142711E+11,4.03781994527786E+11,3.76627876887774E+11,4.61640242696171E+11,5.57890203658125E+11,6.04378456915579E+11,6.23932049499496E+11,5.48054865646534E+11,
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25683885842714E+09,2.06852652190299E+09,1.27257752176830E+09,1.20131319645626E+09,1.31515867047971E+09,1.46831735002343E+09,1.59696891319202E+09,1.63949242438103E+09,1.89372643735976E+09,1.84548218148539E+09,1.91156366539006E+09,2.11846791337873E+09,2.37633504839976E+09,2.80706100869084E+09,3.57661524041616E+09,4.90046951507252E+09,6.38445160614210E+09,9.20630170039619E+09,1.16620407138753E+10,8.64793674798704E+09,9.26028493779781E+09,1.01421113344961E+10,1.06193200485857E+10,1.11214657674067E+10,1.16444384229844E+10,1.05614011850980E+10
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33016759776536E+09,1.32067039106145E+09,1.37988826815642E+09,1.53184357541899E+09,1.66536312849162E+09,1.72279888268156E+09,1.87345251396648E+09,1.92026256983240E+09,1.94109497206704E+09,2.02130167597765E+09,2.22827932960894E+09,2.33100558659218E+09,2.42147486033520E+09,2.62372625698324E+09,2.79196089385475E+09,2.49893296089385E+09,2.46770391061453E+09,2.58446368715084E+09,,,,
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1.85675887557397E+10,1.96393773098891E+10,1.98835255907716E+10,2.14973681263299E+10,2.37540598051294E+10,2.59256355694927E+10,2.72505319744652E+10,3.03785418299922E+10,3.26419531862471E+10,3.66065628849815E+10,4.12453802217494E+10,4.51192742748348E+10,5.19287383177570E+10,6.36886611146701E+10,8.87752394988946E+10,9.70817970777004E+10,1.04815328375142E+11,1.10097499426474E+11,1.18217911121137E+11,1.34584800636147E+11,1.49654596100279E+11,1.76527342389411E+11,1.93651108904336E+11,1.76899391670566E+11,1.93197790255389E+11,1.80182557336811E+11,1.81989367655288E+11,1.89076892535733E+11,2.35771245634459E+11,2.99480498330755E+11,3.10954982685648E+11,3.25574915626717E+11,3.25253403060832E+11,3.11950534007870E+11,3.22805257696299E+11,3.67949212949213E+11,4.01335356600910E+11,4.35571294412271E+11,3.99293902190870E+11,3.88672139365835E+11,4.14951956289644E+11,3.78459268004723E+11,3.94196316450398E+11,4.66348281887012E+11,6.12695262483995E+11,6.93075477371824E+11,7.46880802635520E+11,8.53053309256497E+11,1.05455774395703E+12,9.26563834486821E+11,1.14225050647406E+12,1.38991915606822E+12,1.53747783048051E+12,1.56395095926952E+12,1.45467547966584E+12,1.33953906315001E+12
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,6.59269384118495E+09,7.31174963336229E+09,7.75611021011966E+09,8.37417525773075E+09,9.16998388571185E+09,9.99407061585997E+09,1.08876822731014E+10,1.15794316689165E+10,1.24406253128685E+10,1.35827985562404E+10,1.53359722677957E+10,1.78154649190439E+10,2.20064708613608E+10,2.94443653102818E+10,3.51045290783274E+10,3.99627042743146E+10,4.28564856178569E+10,5.14215856298393E+10,6.19027749455131E+10,7.37591818836850E+10,8.18612328228036E+10,7.08631068774840E+10,7.11035853835605E+10,7.19472772330320E+10,6.78215685991335E+10,6.92196219074222E+10,9.87975873817035E+10,1.23869321397475E+11,1.33018182770534E+11,1.32785154342174E+11,1.66062376739683E+11,1.73375508073070E+11,1.94608183696469E+11,1.89921096652076E+11,2.03044926876280E+11,2.40457622492152E+11,2.36720496490772E+11,2.12323463750141E+11,2.17683626056025E+11,2.16725261027062E+11,1.96421706283398E+11,1.96953628635347E+11,2.12970685111989E+11,2.60721478555305E+11,2.99857238639185E+11,3.14648986444472E+11,3.34309371471584E+11,3.86458951546674E+11,4.27611527757434E+11,3.97594276187830E+11,3.90235099337748E+11,4.29010675562969E+11,4.07373026611605E+11,4.28698577647394E+11,4.36887543466950E+11,3.74055872241322E+11
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.85800603591566E+09,8.79236581050940E+09,4.99135045754250E+09,3.97302739665195E+09,3.31373967354738E+09,3.05246752236104E+09,3.17674959311788E+09,3.96271016311167E+09,4.44639621763265E+09,4.58122244245783E+09,5.27261719604517E+09,5.70761824656848E+09,6.23602495120423E+09,7.27576611124309E+09,8.68051191849357E+09,1.32454218808340E+10,2.09830199238863E+10,3.30503437827759E+10,4.88524829600779E+10,4.42914904205026E+10,5.29027033761056E+10,6.59516272002026E+10,6.87309063136456E+10,7.35604843849586E+10,7.51980109651919E+10,5.30471403474527E+10
