Country_Name,Country_Code,Indicator_Name,Indicator_Code,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,5.97876807071726E+01,5.98900369372405E+01,5.85059950140526E+01,7.88025868555084E+01,8.22313945581436E+01,1.01321627084019E+02,1.37946782875667E+02,1.61384701759800E+02,1.29562318448447E+02,1.29857378169357E+02,1.57258460767554E+02,1.60443151792961E+02,1.36175611348868E+02,1.44173944406858E+02,1.75027097741097E+02,1.88085136087016E+02,1.99164809324072E+02,2.26196426673541E+02,2.49573709822237E+02,2.78390625171824E+02,2.75649828132249E+02,2.67662423622744E+02,,,,,,,,,,,,,,,,,,,,1.19899037111574E+02,1.92153528278789E+02,2.03651040923182E+02,2.24914712193371E+02,2.57175794656273E+02,2.80245644106914E+02,3.80400955186598E+02,3.84131681276838E+02,4.58955781585831E+02,5.69940728793286E+02,6.22379654358451E+02,6.90842629014956E+02,6.53347488111011E+02,6.33947864294639E+02,5.90269515382605E+02
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,6.62520052309054E+02,6.62914792567128E+02,7.19157295703914E+02,6.99384292086697E+02,6.76566732520011E+02,7.23409610237851E+02,6.39463899289892E+02,3.48711317786982E+02,2.18492165902633E+02,3.80527371084275E+02,6.19065163447139E+02,7.60559375774093E+02,1.04635851058923E+03,7.49584648972451E+02,8.65302161845067E+02,1.09842546338936E+03,1.17578898073398E+03,1.32697033929337E+03,1.45364277660853E+03,1.89068155743544E+03,2.41658823507010E+03,2.70914293056201E+03,3.00501290337560E+03,3.60301368536638E+03,4.37053964653148E+03,4.11413654490945E+03,4.09435883191918E+03,4.43781199902580E+03,4.24783985201907E+03,4.41234557813421E+03,4.58864944014811E+03,3.96501680558488E+03
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,2.44823735343450E+02,2.13485047794449E+02,1.71209136603333E+02,2.25529803445174E+02,2.36609181710254E+02,2.48380142345337E+02,2.34190775381274E+02,2.52420303422586E+02,2.80270647358053E+02,3.00984292847148E+02,3.34259555153153E+02,3.39384000906405E+02,4.39731073098942E+02,5.51434454871582E+02,8.13049910237108E+02,9.31105585284599E+02,1.03130337391785E+03,1.18551062357032E+03,1.44761764343583E+03,1.77196550510150E+03,2.18977571918256E+03,2.22369691169340E+03,2.19711059472040E+03,2.29888402768818E+03,2.45266424861554E+03,2.56749552076055E+03,2.74065416979633E+03,2.79047490711137E+03,2.40282546156192E+03,2.20255811770906E+03,2.39442060842261E+03,1.72158206706589E+03,1.76606591892592E+03,1.79754180358553E+03,1.49998409159270E+03,1.44490793611613E+03,1.59600685900157E+03,1.61196194751006E+03,1.58842133828195E+03,1.58095756935003E+03,1.75701197444151E+03,1.73295851735445E+03,1.77429202079911E+03,2.09489330213298E+03,2.60000651972559E+03,3.10203738422673E+03,3.46754474008596E+03,3.93955993939808E+03,4.91225194081995E+03,3.87582209542426E+03,4.47348644568115E+03,5.44740397556569E+03,5.58361615950131E+03,5.49161441356480E+03,5.48406680561480E+03,4.20603123244958E+03
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,3.23809146240241E+03,3.49791031534907E+03,4.21740291461428E+03,5.34311832561333E+03,6.32097187804694E+03,7.16839965347532E+03,7.15157048148726E+03,7.75116729967840E+03,9.12760886938623E+03,1.18196492070738E+04,1.23777159819699E+04,1.03723265550741E+04,9.61123968420899E+03,8.02334642172763E+03,7.72932411535165E+03,7.77502693685023E+03,1.03621668559332E+04,1.26150511216815E+04,1.43052085377854E+04,1.51669138405885E+04,1.88767293519280E+04,1.95308435047204E+04,2.05417738959473E+04,1.65088752202349E+04,1.62269710797380E+04,1.84600074282950E+04,1.90387988311469E+04,1.84053200974733E+04,1.89699779859045E+04,1.93238925471569E+04,2.14329600712136E+04,2.18976629394768E+04,2.41753727542522E+04,3.17429925847537E+04,3.72354500323146E+04,3.99903304085679E+04,4.24172291456984E+04,4.72535297963111E+04,4.67359995745016E+04,4.27014471362550E+04,3.96393860212110E+04,4.16300525792976E+04,3.96663692147448E+04,4.28065224483021E+04,,
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,6.85925974354129E+02,6.66868718996940E+02,6.49881309005116E+02,6.33907333685506E+02,9.26600626625954E+02,9.01107601833462E+02,1.26562730944985E+03,8.72767663999739E+02,8.25698135137779E+02,8.23885543708241E+02,3.80871923109540E+02,5.60675516594828E+02,5.54252232901028E+02,4.54296549518868E+02,4.21376777333568E+02,6.06272292244341E+02,5.74194161137370E+02,7.75765518459716E+02,8.50075694129697E+02,1.13560456355085E+03,1.57616280066689E+03,2.25383885003865E+03,3.15102243105289E+03,4.24236306234092E+03,3.67894765447179E+03,3.88647935432524E+03,4.74498762949589E+03,5.08684842580860E+03,5.32714889219232E+03,5.23269050054132E+03,4.10211858969272E+03
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,9.41919930454288E+02,1.06166043900776E+03,1.30739641279195E+03,1.56564863547914E+03,1.78441520809846E+03,2.00075198572204E+03,2.25536901709170E+03,2.59502427421436E+03,3.07043927047236E+03,3.80614955426997E+03,4.51253967952176E+03,5.41584780956705E+03,6.02584758192516E+03,6.32524090483941E+03,6.57548049876448E+03,6.68037587040015E+03,7.03793915392855E+03,7.51448367977293E+03,7.23032063651531E+03,7.70267028363690E+03,8.02763113096483E+03,8.35561864319647E+03,8.57237348077816E+03,1.00947590646488E+04,9.79796871277396E+03,1.00278562205839E+04,1.03826309004545E+04,1.09933692472668E+04,1.20798656950416E+04,1.35999088573040E+04,1.52760682646698E+04,1.57861728395062E+04,1.39792626925883E+04,1.30173103875487E+04,1.28178415733094E+04,1.35256162201340E+04,1.33420849977054E+04,1.34320792079208E+04,1.41288785463675E+04
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,1.14857995706663E+03,8.45076988780167E+02,1.16631755895322E+03,1.27201055309131E+03,1.26634504459280E+03,1.05775575372189E+03,1.13651807652566E+03,1.32408265425217E+03,1.31748753519866E+03,1.36635455826863E+03,1.40148773799270E+03,2.08397221812887E+03,2.82465102533488E+03,2.01168904032488E+03,1.93259070908312E+03,2.11250101617935E+03,2.12931371505249E+03,2.50148111430387E+03,2.73828462575754E+03,2.75639678818613E+03,2.90775742643498E+03,3.53013166329231E+03,2.64336913309587E+03,2.90951680162030E+03,3.59508613124574E+03,3.54671882015564E+03,3.96932766134127E+03,2.37533924997150E+03,4.31877456755511E+03,5.71550405220247E+03,6.79802716671068E+03,6.94035137539023E+03,7.44948060533628E+03,7.37342740288005E+03,7.68357384790824E+03,8.17266523534306E+03,8.24876471990265E+03,7.73637257792733E+03,7.66927370858434E+03,7.17068969819358E+03,2.57920163821036E+03,3.33040982056457E+03,4.69607011088673E+03,5.64084850283585E+03,6.63990943461746E+03,8.23913716134639E+03,9.99909351693522E+03,9.23138290042000E+03,1.11986425666859E+04,1.33929169036445E+04,1.43574115893903E+04,1.46675346882540E+04,1.27513851584579E+04,
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36680689996499E+02,5.89002948223927E+02,3.68916836793393E+02,3.56507351442189E+02,3.99751202522265E+02,4.55550276086151E+02,5.03231969620213E+02,5.22522072040184E+02,6.08336648730809E+02,5.96505996304047E+02,6.21424826318947E+02,6.92301630888896E+02,7.79829626131555E+02,9.24464009817761E+02,1.18196844542240E+03,1.62540776912682E+03,2.12661866107184E+03,3.08097095943572E+03,3.91997547381061E+03,2.91558390590870E+03,3.12478401786195E+03,3.41717183599915E+03,3.56551757492540E+03,3.71682892254464E+03,3.87353356580682E+03,3.49980421759862E+03
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73424719395745E+04,1.64413812596351E+04,1.65861922970903E+04,1.79274120263906E+04,1.90815702884140E+04,1.93564208651472E+04,2.06195658496388E+04,2.06715457385020E+04,2.04336541088167E+04,2.08349397101237E+04,2.25666821576324E+04,2.33028319880055E+04,2.40154206122701E+04,2.59215382341406E+04,2.75498894224976E+04,2.46404212441218E+04,2.42891415161326E+04,2.53537875446441E+04,,,,
