Country_Name,Country_Code,Indicator_Name,Indicator_Code,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
Afghanistan,AFG,Agricultural land (sq. km),AG.LND.AGRI.K2,,3.77000000000000E+05,3.77600000000000E+05,3.78100000000000E+05,3.78730000000000E+05,3.78750000000000E+05,3.79130000000000E+05,3.79790000000000E+05,3.79800000000000E+05,3.79960000000000E+05,3.80060000000000E+05,3.80360000000000E+05,3.80460000000000E+05,3.80480000000000E+05,3.80480000000000E+05,3.80480000000000E+05,3.80480000000000E+05,3.80500000000000E+05,3.80500000000000E+05,3.80490000000000E+05,3.80490000000000E+05,3.80530000000000E+05,3.80540000000000E+05,3.80540000000000E+05,3.80540000000000E+05,3.80540000000000E+05,3.80540000000000E+05,3.80450000000000E+05,3.80400000000000E+05,3.80400000000000E+05,3.80400000000000E+05,3.80300000000000E+05,3.80300000000000E+05,3.79340000000000E+05,3.78130000000000E+05,3.77530000000000E+05,3.77520000000000E+05,3.77900000000000E+05,3.78670000000000E+05,3.77530000000000E+05,3.77530000000000E+05,3.77530000000000E+05,3.77530000000000E+05,3.79100000000000E+05,3.79110000000000E+05,3.79100000000000E+05,3.79100000000000E+05,3.79100000000000E+05,3.79100000000000E+05,3.79100000000000E+05,3.79100000000000E+05,3.79100000000000E+05,3.79100000000000E+05,3.79100000000000E+05,,
Albania,ALB,Agricultural land (sq. km),AG.LND.AGRI.K2,,1.23200000000000E+04,1.23200000000000E+04,1.23300000000000E+04,1.23000000000000E+04,1.23700000000000E+04,1.24000000000000E+04,1.24400000000000E+04,1.24000000000000E+04,1.23500000000000E+04,1.23000000000000E+04,1.20000000000000E+04,1.17400000000000E+04,1.14600000000000E+04,1.12200000000000E+04,1.08000000000000E+04,1.07500000000000E+04,1.10900000000000E+04,1.11400000000000E+04,1.11700000000000E+04,1.11800000000000E+04,1.11600000000000E+04,1.11400000000000E+04,1.11000000000000E+04,1.11300000000000E+04,1.11200000000000E+04,1.11100000000000E+04,1.11100000000000E+04,1.11700000000000E+04,1.11000000000000E+04,1.12100000000000E+04,1.12700000000000E+04,1.12700000000000E+04,1.12600000000000E+04,1.12600000000000E+04,1.12700000000000E+04,1.13100000000000E+04,1.13500000000000E+04,1.13900000000000E+04,1.14500000000000E+04,1.14400000000000E+04,1.13900000000000E+04,1.14000000000000E+04,1.12100000000000E+04,1.12200000000000E+04,1.07700000000000E+04,1.12000000000000E+04,1.11900000000000E+04,1.18100000000000E+04,1.20130000000000E+04,1.20130000000000E+04,1.20100000000000E+04,1.20130000000000E+04,1.18730000000000E+04,,
Algeria,DZA,Agricultural land (sq. km),AG.LND.AGRI.K2,,4.54710000000000E+05,4.49000000000000E+05,4.45100000000000E+05,4.41640000000000E+05,4.41670000000000E+05,4.41670000000000E+05,4.42510000000000E+05,4.42030000000000E+05,4.42030000000000E+05,4.42160000000000E+05,4.54330000000000E+05,4.53960000000000E+05,4.43040000000000E+05,4.43360000000000E+05,4.37530000000000E+05,4.40210000000000E+05,4.38320000000000E+05,4.38430000000000E+05,4.38200000000000E+05,4.38300000000000E+05,3.91710000000000E+05,3.91070000000000E+05,3.92820000000000E+05,3.96100000000000E+05,3.90510000000000E+05,3.86880000000000E+05,3.87790000000000E+05,3.88170000000000E+05,3.87600000000000E+05,3.86760000000000E+05,3.86220000000000E+05,3.88650000000000E+05,3.88620000000000E+05,3.96400000000000E+05,3.96490000000000E+05,3.96360000000000E+05,3.96900000000000E+05,3.98260000000000E+05,3.97310000000000E+05,4.00210000000000E+05,4.01090000000000E+05,3.98550000000000E+05,3.99057000000000E+05,4.11450000000000E+05,4.12110000000000E+05,4.11810000000000E+05,4.12520000000000E+05,4.13090000000000E+05,4.13800000000000E+05,4.13740000000000E+05,4.13880000000000E+05,4.13986900000000E+05,4.14316400000000E+05,,
American Samoa,ASM,Agricultural land (sq. km),AG.LND.AGRI.K2,,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.20000000000000E+01,3.20000000000000E+01,3.20000000000000E+01,3.50000000000000E+01,4.00000000000000E+01,4.00000000000000E+01,4.70000000000000E+01,4.79000000000000E+01,4.80000000000000E+01,4.50000000000000E+01,4.50000000000000E+01,5.04000000000000E+01,5.00000000000000E+01,5.00000000000000E+01,5.00000000000000E+01,4.80000000000000E+01,4.80000000000000E+01,4.90000000000000E+01,4.90000000000000E+01,4.90000000000000E+01,4.90000000000000E+01,4.90000000000000E+01,,
Andorra,ADO,Agricultural land (sq. km),AG.LND.AGRI.K2,,2.60000000000000E+02,2.60000000000000E+02,2.60000000000000E+02,2.60000000000000E+02,2.60000000000000E+02,2.60000000000000E+02,2.60000000000000E+02,2.60000000000000E+02,2.60000000000000E+02,2.60000000000000E+02,2.50000000000000E+02,2.50000000000000E+02,2.40000000000000E+02,2.40000000000000E+02,2.40000000000000E+02,2.30000000000000E+02,2.30000000000000E+02,2.30000000000000E+02,2.20000000000000E+02,2.20000000000000E+02,2.10000000000000E+02,2.10000000000000E+02,2.10000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,1.90000000000000E+02,1.90000000000000E+02,1.90000000000000E+02,1.90000000000000E+02,1.90000000000000E+02,1.90000000000000E+02,1.90000000000000E+02,1.90000000000000E+02,1.90000000000000E+02,1.90000000000000E+02,1.90000000000000E+02,1.87000000000000E+02,1.88000000000000E+02,1.88000000000000E+02,1.87000000000000E+02,1.97000000000000E+02,1.99000000000000E+02,1.99000000000000E+02,1.97000000000000E+02,1.95000000000000E+02,1.94000000000000E+02,1.97000000000000E+02,1.99000000000000E+02,2.01000000000000E+02,2.04000000000000E+02,2.02000000000000E+02,2.08000000000000E+02,,
Angola,AGO,Agricultural land (sq. km),AG.LND.AGRI.K2,,5.71700000000000E+05,5.72000000000000E+05,5.72200000000000E+05,5.72500000000000E+05,5.72700000000000E+05,5.73000000000000E+05,5.73300000000000E+05,5.73600000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74040000000000E+05,5.74500000000000E+05,5.75000000000000E+05,5.75000000000000E+05,5.75000000000000E+05,5.75000000000000E+05,5.75000000000000E+05,5.75000000000000E+05,5.75000000000000E+05,5.74000000000000E+05,5.73000000000000E+05,5.73000000000000E+05,5.73900000000000E+05,5.75900000000000E+05,5.75900000000000E+05,5.75900000000000E+05,5.75900000000000E+05,5.76900000000000E+05,5.76900000000000E+05,5.82900000000000E+05,5.83900000000000E+05,5.89900000000000E+05,5.89900000000000E+05,5.91900000000000E+05,,
Antigua and Barbuda,ATG,Agricultural land (sq. km),AG.LND.AGRI.K2,,1.00000000000000E+02,9.00000000000000E+01,1.00000000000000E+02,9.00000000000000E+01,1.10000000000000E+02,1.10000000000000E+02,1.00000000000000E+02,1.00000000000000E+02,1.10000000000000E+02,1.10000000000000E+02,1.10000000000000E+02,7.00000000000000E+01,7.00000000000000E+01,7.00000000000000E+01,7.00000000000000E+01,7.00000000000000E+01,7.00000000000000E+01,7.00000000000000E+01,7.00000000000000E+01,7.00000000000000E+01,7.00000000000000E+01,7.00000000000000E+01,7.00000000000000E+01,8.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,,
Argentina,ARG,Agricultural land (sq. km),AG.LND.AGRI.K2,,1.37829000000000E+06,1.36434000000000E+06,1.34875000000000E+06,1.33297000000000E+06,1.31780000000000E+06,1.30948000000000E+06,1.29703000000000E+06,1.29235000000000E+06,1.29302000000000E+06,1.29280000000000E+06,1.29154000000000E+06,1.29028000000000E+06,1.28902000000000E+06,1.28776000000000E+06,1.28650000000000E+06,1.28524000000000E+06,1.28398000000000E+06,1.28272000000000E+06,1.28146000000000E+06,1.28020000000000E+06,1.27894000000000E+06,1.28769000000000E+06,1.28644000000000E+06,1.28517000000000E+06,1.28391000000000E+06,1.28265000000000E+06,1.27939000000000E+06,1.27380000000000E+06,1.27470000000000E+06,1.27565000000000E+06,1.27660000000000E+06,1.27755000000000E+06,1.27850000000000E+06,1.27948000000000E+06,1.28045000000000E+06,1.28142000000000E+06,1.28235000000000E+06,1.28330000000000E+06,1.28412000000000E+06,1.28510000000000E+06,1.28606000000000E+06,1.28710000000000E+06,1.30883500000000E+06,1.34345000000000E+06,1.37797500000000E+06,1.41104000000000E+06,1.44033000000000E+06,1.44261000000000E+06,1.43792000000000E+06,1.47481000000000E+06,1.48281000000000E+06,1.49254000000000E+06,1.49199000000000E+06,,
Armenia,ARM,Agricultural land (sq. km),AG.LND.AGRI.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17000000000000E+04,1.18100000000000E+04,1.20000000000000E+04,1.24400000000000E+04,1.30600000000000E+04,1.33200000000000E+04,1.32800000000000E+04,1.32300000000000E+04,1.32300000000000E+04,1.32800000000000E+04,1.39100000000000E+04,1.44400000000000E+04,1.50500000000000E+04,1.60500000000000E+04,1.75640000000000E+04,1.75190000000000E+04,1.74730000000000E+04,1.74630000000000E+04,1.73500000000000E+04,1.69810000000000E+04,1.68300000000000E+04,1.68210000000000E+04,,
Aruba,ABW,Agricultural land (sq. km),AG.LND.AGRI.K2,,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,,
