Country_Name,Country_Code,Indicator_Name,Indicator_Code,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
Afghanistan,AFG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84719400285995E+01,3.77654435078259E+01,3.02716744732668E+01,3.17509905365424E+01,2.92497367788414E+01,3.06228536688586E+01,2.53947405330476E+01,3.02056024682127E+01,2.70915400061362E+01,2.45074404193530E+01,2.46032470715393E+01,2.38913721393019E+01,2.34631255350530E+01,2.26039268726035E+01
Albania,ALB,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,3.36002061629567E+01,3.24002988390487E+01,3.16997104690522E+01,3.41000974784758E+01,3.30999410472444E+01,3.46000120880036E+01,3.40000003795285E+01,3.32000247238173E+01,3.14998818203198E+01,3.23001976998030E+01,3.59007899107974E+01,3.92952951590215E+01,5.16418702727331E+01,5.46409764928012E+01,5.36209806102615E+01,5.58121447107506E+01,3.74796047456367E+01,3.27001599191829E+01,3.04752181660802E+01,2.71177320805595E+01,2.64904623101545E+01,2.44530545715531E+01,2.42359328702367E+01,2.43326986064383E+01,2.29325210850683E+01,2.12343279028623E+01,2.02223444445864E+01,1.98747975889451E+01,1.94205347268422E+01,1.94097808204446E+01,2.06581888515256E+01,2.09581241496670E+01,2.16606803267595E+01,2.25030899684471E+01,2.28962858004862E+01,2.20492060503358E+01
Algeria,DZA,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,1.28762133590436E+01,9.13725572903242E+00,1.03306656723180E+01,1.08533735457759E+01,9.03016473427110E+00,9.20546573726119E+00,9.56917494438539E+00,8.42084570072910E+00,7.03976028917630E+00,7.36662913805980E+00,1.04184081441267E+01,9.92688073701938E+00,8.47014069951658E+00,8.80562144088407E+00,9.01662857668829E+00,8.50923434434634E+00,9.23512771674598E+00,8.38978653610898E+00,7.74615047912345E+00,7.53086430549205E+00,8.99589407643066E+00,1.01794217447909E+01,1.28746598237421E+01,1.21676564294373E+01,1.30390151089782E+01,1.13582674294206E+01,1.01670580004846E+01,1.21268464156985E+01,1.20970728880261E+01,1.00584369020196E+01,1.04978179637293E+01,1.17666985618146E+01,9.48232015757606E+00,1.25332813625058E+01,1.22010788365600E+01,8.87988355466412E+00,1.01956048409143E+01,9.76576774287416E+00,1.03183670713334E+01,9.90352304410719E+00,8.01299568989419E+00,7.74549530877482E+00,7.68845250023451E+00,6.68070489480114E+00,1.00662434794436E+01,9.02943845348409E+00,8.61529836275589E+00,9.39577816625123E+00,1.06482358250303E+01,1.10949407176398E+01,1.30517403733302E+01
American Samoa,ASM,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71933745234652E-01,4.37773985612552E-01,3.87397260273973E-01,4.26948129130414E-01,4.23552047948646E-01,3.83247380249551E-01,3.59695642148951E-01,3.75712779353201E-01,4.14406103337946E-01,4.01167725409446E-01,4.63860810094118E-01,4.96471160866391E-01,5.68068119167705E-01,5.23887556240269E-01,,
Angola,AGO,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,1.37915000915500E+01,1.36809997558500E+01,1.42010002136500E+01,1.89904994964500E+01,1.77290000915667E+01,1.83556671142667E+01,2.41749992370625E+01,1.03076923076923E+01,1.15739773321331E+01,6.64640438568204E+00,7.31225296442688E+00,7.02686916586973E+00,9.00201794169947E+00,1.30337582807876E+01,6.29025682837342E+00,5.66468956353549E+00,8.15637702246655E+00,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,1.09633923508286E+01,1.02731993678031E+01,8.23177742009657E+00,7.11674574161935E+00,6.77310111272375E+00,6.21176767358264E+00,6.12170396787509E+00,4.78374024042632E+00,4.93914007375669E+00,4.45744507435113E+00,4.51912829938067E+00,4.18344606482387E+00,3.99007455786135E+00,4.17757783298641E+00,4.15645847253598E+00,4.23073367639355E+00,4.09535101642730E+00,3.72581759054471E+00,3.87953356309934E+00,3.85337344360927E+00,4.10681987445473E+00,3.96690708527790E+00,3.94499699619518E+00,1.88568698773089E+00,1.89307252113243E+00,1.99979590648523E+00,2.03312736731933E+00,1.91746569665079E+00,2.07401663623463E+00,1.95126225241693E+00,1.93658021710342E+00,1.83649816898469E+00,1.74546042130903E+00,1.92711436822940E+00,2.27213663771154E+00,2.21684698487550E+00,2.28373427361601E+00,2.39929010599268E+00,2.37241473404777E+00
Argentina,ARG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,1.29041629886915E+01,1.02785862835392E+01,9.98038631665412E+00,9.72127698537181E+00,9.18589272925904E+00,9.63756096410480E+00,1.08659477473906E+01,1.09848698718370E+01,1.19525477974444E+01,1.02308377488651E+01,6.58391049171930E+00,8.15217071220236E+00,8.08714211405919E+00,7.50442747786782E+00,7.79627735903041E+00,6.35350500480657E+00,6.47552296064522E+00,9.59615604621897E+00,8.65832496118367E+00,8.34597683710110E+00,7.63430725730443E+00,7.80040264019792E+00,8.09435846444628E+00,8.97786821775225E+00,9.61606509643166E+00,8.12367620787488E+00,6.71649176009431E+00,5.99078709147934E+00,5.49202482400254E+00,5.51386657536411E+00,5.78700381057553E+00,6.08125464208411E+00,5.67336683883138E+00,5.70293390763375E+00,4.81532950375132E+00,5.05302148878072E+00,4.89280607440549E+00,1.08220871798090E+01,1.10423301528658E+01,9.00967344804729E+00,8.44257099626942E+00,7.69751662601912E+00,8.78110692834489E+00,7.22788615986988E+00,6.23480527117392E+00,8.17513160897920E+00,7.49246451037583E+00,6.69742129890321E+00,7.38458996809025E+00,8.31352404775114E+00,
Armenia,ARM,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73762697212016E+01,2.49734607218684E+01,3.10427206295672E+01,5.13655909174216E+01,4.48709973040704E+01,4.22553129522207E+01,3.68259627223250E+01,3.19686774327641E+01,3.39957279656846E+01,2.94640212814989E+01,2.55478701562349E+01,2.83281547063999E+01,2.59618988244082E+01,2.36820980482327E+01,2.46622000033180E+01,2.08925173797890E+01,2.04510979086758E+01,2.02820602192449E+01,1.83981208906774E+01,1.89138922965675E+01,1.91530515742164E+01,2.28154155645177E+01,2.00680700111774E+01,2.07403685968283E+01,2.08068827572696E+01,1.93520404502788E+01
Aruba,ABW,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.48947849954254E-01,5.56844547563805E-01,5.33570475767008E-01,4.77516912057302E-01,4.37550591787175E-01,4.18398193312708E-01,4.44303703392541E-01,4.38174326067126E-01,4.34712306276276E-01,4.35108327589824E-01,4.25777821391383E-01,4.21318232396316E-01,4.31336358924440E-01,4.49521757472763E-01,4.27988230884726E-01,5.06252444825802E-01,4.98384330897067E-01,5.12418426798229E-01,,,,
