Country_Name,ag,elec,food,sqkm,slum,percity,pop,gini,gdp,gdpcap,agval,foreign
Afghanistan,379100,43,7,652860,62,14,31627506,29,19199437988,590,23,0
Albania,12010,100,17,27400,0,0,2893654,28,11455595709,3965,22,9
Algeria,413880,100,19,2381740,0,6,38934334,40,166838617796,4206,11,0
American Samoa,49,59,0,200,0,0,55434,58,0,0,0,0
Andorra,204,100,0,470,0,0,72786,40,0,0,0,0
Angola,589900,37,0,1246700,55,27,24227524,26,102643104696,4102,0,0
Antigua and Barbuda,90,90,35,440,0,0,90900,34,1297285370,14128,2,11
Argentina,1482810,99,2,2736690,16,41,42980026,29,0,0,8,1
Armenia,16981,100,20,28470,14,34,3006154,27,10561401185,3499,20,3
Aruba,20,90,31,180,0,0,103441,48,0,0,0,0
Australia,4096726,100,5,7682300,0,58,23464086,37,1339539063150,56327,2,3
Austria,31808,100,7,82531,0,20,8541575,45,374055872241,43438,1,0
Azerbaijan,47687,100,15,82659,0,24,9535079,23,53047140347,5496,5,3
Bahrain,86,97,9,770,0,0,1361930,32,32221489361,23395,0,3
Bangladesh,91280,59,0,130170,55,14,159077513,0,195078665827,1211,16,1
Barbados,140,90,19,430,0,0,283380,38,4451000000,15660,1,0
Belarus,88750,100,9,202910,0,20,9483000,46,54608962634,5740,8,3
Belgium,13360,100,8,30280,0,18,11231213,53,454039037373,40231,0,0
Belize,1570,100,14,22810,10,0,351706,32,1763000000,4906,15,5
Benin,35300,38,40,112760,61,0,10598482,57,8476125180,779,23,3
Bermuda,3,100,19,50,0,0,65139,49,0,0,0,0
Bhutan,5196,75,0,38117,0,0,765008,24,1962221695,2532,17,2
Bolivia,372270,90,7,1083300,43,48,10561887,0,33196819571,3095,12,5
Bosnia and Herzegovina,21510,100,17,51200,0,0,3817554,33,15995392117,4197,7,1
Botswana,259260,53,10,566730,0,0,2219937,38,14390863395,6360,2,5
Brazil,2753730,99,4,8358140,22,39,206077898,49,1774724818900,8538,5,2
British Virgin Islands,70,0,0,150,0,0,29585,32,0,0,0,0
Brunei Darussalam,134,76,15,5270,0,0,417394,50,15492035784,36607,0,4
Bulgaria,50880,100,9,108560,0,17,7223938,55,48952959079,6819,5,3
Burkina Faso,117900,13,12,273600,65,15,17589198,29,11099473096,613,34,4
