Country_Name,Country_Code,Indicator_Name,Indicator_Code,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46156700000000E+01,,,,,,,,,,3.74558400000000E+01,,,,,,,,,,4.10000000000000E+01,,4.30000000000000E+01,,,
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000000000000E+02,,,,,,,,,,1.00000000000000E+02,,,,,,,,,,1.00000000000000E+02,,1.00000000000000E+02,,,
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.40377400000000E+01,,,,,,,,,,9.80000000000000E+01,,,,,,,,,,9.93000000000000E+01,,1.00000000000000E+02,,,
American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.88588300000000E+01,,,,,,,,,,5.25302700000000E+01,,,,,,,,,,5.58000000000000E+01,,5.93289100000000E+01,,,
Andorra,ADO,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000000000000E+02,,,,,,,,,,1.00000000000000E+02,,,,,,,,,,1.00000000000000E+02,,1.00000000000000E+02,,,
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82156600000000E+01,,,,,,,,,,3.10558500000000E+01,,,,,,,,,,3.46000000000000E+01,,3.70000000000000E+01,,,
Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.11357300000000E+01,,,,,,,,,,8.54112000000000E+01,,,,,,,,,,8.78732800000000E+01,,9.08754400000000E+01,,,
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.82081500000000E+01,,,,,,,,,,9.23471300000000E+01,,,,,,,,,,9.40000000000000E+01,,9.98000000000000E+01,,,
Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.42877400000000E+01,,,,,,,,,,9.80000000000000E+01,,,,,,,,,,9.98000000000000E+01,,1.00000000000000E+02,,,
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.11357300000000E+01,,,,,,,,,,8.54112000000000E+01,,,,,,,,,,8.78732800000000E+01,,9.08754400000000E+01,,,
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000000000000E+02,,,,,,,,,,1.00000000000000E+02,,,,,,,,,,1.00000000000000E+02,,1.00000000000000E+02,,,
Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000000000000E+02,,,,,,,,,,1.00000000000000E+02,,,,,,,,,,1.00000000000000E+02,,1.00000000000000E+02,,,
Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.31156600000000E+01,,,,,,,,,,9.59558500000000E+01,,,,,,,,,,9.95000000000000E+01,,1.00000000000000E+02,,,
Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.72277500000000E+01,,,,,,,,,,9.08991800000000E+01,,,,,,,,,,9.41000000000000E+01,,9.76978300000000E+01,,,
Bangladesh,BGD,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16200000000000E+01,,,,,,,,,,3.20000000000000E+01,,,,,,,,,,5.52000000000000E+01,,5.96000000000000E+01,,,
Barbados,BRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.11357300000000E+01,,,,,,,,,,8.54112000000000E+01,,,,,,,,,,8.78732800000000E+01,,9.08754400000000E+01,,,
