Country_Name,Country_Code,Indicator_Name,Indicator_Code,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
Afghanistan,AFG,Final consumption expenditure (current US$),NE.CON.TOTL.CD,4.66666655288889E+08,4.77777737955556E+08,4.66666655288889E+08,7.02222244977778E+08,7.62222182400000E+08,9.95555555555556E+08,1.42222222222222E+09,1.71111109973333E+09,1.37111115093333E+09,1.38666666666667E+09,1.69110896640000E+09,1.82666435697778E+09,1.54444449564444E+09,1.63777777208889E+09,1.98444446151111E+09,2.17333341297778E+09,2.24888895715556E+09,2.68000005688889E+09,2.94222215395556E+09,,,,,,,,,,,,,,,,,,,,,,,,4.97801970142603E+09,6.13941431930030E+09,7.10104595651189E+09,8.06370359073538E+09,8.76967196993523E+09,1.18777273973620E+10,1.20461781545461E+10,1.37543739608308E+10,1.77922442723424E+10,1.86191588530652E+10,1.97267310949086E+10,1.84323834028875E+10,1.85822767035793E+10,1.78856167951471E+10
Albania,ALB,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,1.35048953415317E+09,1.36519818230261E+09,1.51078748750000E+09,1.54582502500000E+09,1.57177497500000E+09,1.65912497500000E+09,1.66073683750000E+09,1.28758261111111E+09,1.21899412387965E+09,1.64156284433558E+09,2.17825700118258E+09,2.52236807896653E+09,3.53728378425482E+09,2.53681606741697E+09,2.77290021975512E+09,3.16440027763561E+09,3.12398457590994E+09,3.28425380569433E+09,3.81431114943238E+09,4.94675834864348E+09,6.50806819149792E+09,7.25111840295958E+09,7.86012882691742E+09,9.67552030512707E+09,1.19987825414270E+10,1.10304292473739E+10,1.06055082983440E+10,1.14643420189306E+10,1.08998285273505E+10,1.13668016233757E+10,1.20153262444160E+10,1.01059139033731E+10
Algeria,DZA,Final consumption expenditure (current US$),NE.CON.TOTL.CD,2.30433962254591E+09,1.79452988119870E+09,1.36628989534694E+09,2.24316245277404E+09,2.38590917549003E+09,2.52863538324403E+09,2.47272010031273E+09,2.52016161524794E+09,2.81914358753230E+09,3.06221007433566E+09,3.42539629081104E+09,3.75409368729395E+09,4.79916546565115E+09,5.73470532999820E+09,7.49310440383564E+09,9.93682726883106E+09,1.07635553470180E+10,1.34721437120104E+10,1.64550127881326E+10,1.96706385018216E+10,2.41042341371312E+10,2.62987143064977E+10,2.74813818715120E+10,2.94228230206473E+10,3.57587204157284E+10,3.97390495038157E+10,4.88940846871338E+10,5.11134022834131E+10,4.69500198747912E+10,4.43947949079977E+10,4.52333113437746E+10,2.86363885454447E+10,3.25425916971973E+10,3.60933828228743E+10,3.12444744630480E+10,3.00253879046640E+10,3.21576649527845E+10,3.27533930372398E+10,3.50755044961610E+10,3.32607318067113E+10,3.02192399986713E+10,3.20182645858965E+10,3.37563251424412E+10,3.75195038439176E+10,4.46517920823678E+10,4.66577761158792E+10,5.02493908868412E+10,5.84887029457776E+10,7.41961667812482E+10,7.36885944989084E+10,8.30979512273815E+10,1.03696487011554E+11,1.09684066885060E+11,1.12834462078107E+11,1.19239547897095E+11,
American Samoa,ASM,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,6.68449197860963E+09,6.68449197860963E+09,6.68449197860963E+09,6.68449197860963E+09,6.68449197860963E+09,6.68493883280968E+09,1.27045585165916E+10,1.03413987404707E+10,7.59350917862288E+09,7.02343946904142E+09,,,,,,5.28639433295155E+09,6.78621371028067E+09,9.26894431911638E+09,1.15439580839688E+10,1.31716131163710E+10,1.77393295708652E+10,2.32512277881398E+10,3.38831070801409E+10,4.94034390018312E+10,6.43737535958209E+10,5.45377163766774E+10,6.65347416875766E+10,7.21176365789501E+10,8.54421803948060E+10,1.01035905532317E+11,9.17237197517589E+10
Antigua and Barbuda,ATG,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,,,,,,,,,,5.57481471636004E+07,5.77518508319174E+07,6.39925914624427E+07,9.30925909485181E+07,1.00088887121255E+08,1.37777775344535E+08,1.45118515955633E+08,1.50348145492904E+08,1.81251848650829E+08,2.11355551822882E+08,2.23503699756486E+08,2.42892588302955E+08,2.55825921407877E+08,2.56788884353834E+08,2.58466666666667E+08,2.64425925925926E+08,2.86751851851852E+08,3.30374074074074E+08,3.77111111111111E+08,4.51740740740741E+08,3.87218518518519E+08,3.77170370370370E+08,4.14337037037037E+08,5.75902888888889E+08,6.50944962962963E+08,6.68858407407407E+08,7.13478185185185E+08,7.40500185185185E+08,8.59577074074074E+08,9.86511333333333E+08,1.15013792592593E+09,1.16145574074074E+09,8.88289888888889E+08,9.67653555555555E+08,9.97585518518518E+08,1.09411333333333E+09,1.07566533333333E+09,1.10741222222222E+09,1.08873614814815E+09
Argentina,ARG,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,1.93761604558394E+10,1.49855850962044E+10,1.94345765263572E+10,2.13994116278305E+10,2.22728560909355E+10,1.85045463489467E+10,2.04168578488503E+10,2.37577152750245E+10,2.35915802090682E+10,2.54651996080031E+10,2.63097495888786E+10,4.05655540722585E+10,5.58676663537087E+10,3.70813521535353E+10,3.37804498689763E+10,3.79119997421290E+10,4.02554092158497E+10,5.12204308807790E+10,5.86172358789538E+10,6.11789491701770E+10,6.38001560379318E+10,7.88129150744254E+10,6.10610015425307E+10,6.80350017187087E+10,8.95244430872662E+10,8.90490483259559E+10,9.84920446852822E+10,5.97817143195528E+10,1.13470334123038E+11,1.58920813529103E+11,1.94086408742176E+11,1.97319531331331E+11,2.13955000000000E+11,2.11354500000000E+11,2.20510500000000E+11,2.38353500000000E+11,2.43787000000000E+11,2.37778000000000E+11,2.36219500000000E+11,2.23201750000000E+11,7.24467602845010E+10,9.52251681478003E+10,1.37739024879787E+11,1.67623609800198E+11,1.95217907354470E+11,2.44045585972561E+11,3.06022075353021E+11,2.99439071988900E+11,3.61829976801101E+11,4.39098220887023E+11,4.90918904040735E+11,5.08424994774425E+11,4.39212415793153E+11,
Armenia,ARM,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51039086390860E+09,1.56781279863145E+09,1.43405477220166E+09,1.32848680380008E+09,1.38827572336698E+09,1.72230175705687E+09,1.78130133469935E+09,1.87680995261488E+09,2.10033299663033E+09,1.99225830709063E+09,2.08237452498384E+09,2.22091972039059E+09,2.35427644545217E+09,2.62434144824369E+09,3.31368788077608E+09,4.21680438892785E+09,5.25701109796068E+09,7.53113914296430E+09,9.53945394539454E+09,8.10380190886837E+09,8.80357410001860E+09,9.79693981947426E+09,1.04148124271961E+10,1.10219964225877E+10,1.14036326234048E+10,9.67413593494955E+09
Aruba,ABW,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.30167597765363E+08,1.01620111731844E+09,1.12513966480447E+09,1.20391061452514E+09,1.27168715083799E+09,1.32653072625698E+09,1.32653072625698E+09,1.42761452513966E+09,1.50534636871508E+09,1.58753072625698E+09,1.66456983240223E+09,1.76717877094972E+09,1.87117877094972E+09,2.05013966480447E+09,2.12121229050279E+09,2.05405586592179E+09,2.10229608938547E+09,2.26608938547486E+09,,,,
