Country_Name,Country_Code,Indicator_Name,Indicator_Code,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
Afghanistan,AFG,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,7.83526679894446E+00,1.31198638928934E+01,1.73358407967507E+01,1.70998505813650E+01,2.08006767904764E+01,2.08816634027342E+01,1.60090667763200E+01,2.05806444720536E+01,2.05416003093413E+01,2.54323707121459E+01,2.84641730095204E+01,2.38652945048808E+01,2.28817141890948E+01,2.44235715944310E+01,1.63241264867917E+01,1.53513858405288E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73695294018036E+01,1.82936161520611E+01,1.36918476055713E+01,1.40292713208405E+01,4.27602338186878E+00,7.54684014524629E+00,9.51326057195841E+00,
Albania,ALB,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42741754531173E+01,2.71792133735844E+01,2.69410153139251E+01,2.73680538006177E+01,2.18344272084776E+01,1.93631544898862E+01,2.01621389026545E+01,1.96215041854838E+01,1.92638771570178E+01,1.62411341100084E+01,1.99650233732665E+01,1.64215005373694E+01,1.64160239542080E+01,1.70733621869715E+01,1.79299994404967E+01,1.66087431475248E+01,1.72790863038506E+01,1.77043771411176E+01,1.03262176054404E+01,1.44973567496162E+01
Algeria,DZA,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,2.57783651346075E+01,,1.92985469326227E+01,1.57147290285177E+01,1.27373195973256E+01,1.56301393223539E+01,,1.60927581409494E+01,1.98168115732229E+01,2.17011291937518E+01,1.77376995741887E+01,1.71820462563699E+01,1.66124813552471E+01,1.85180100453614E+01,2.09550380993182E+01,2.07408853010556E+01,2.06893411618764E+01,2.12163414881976E+01,1.92004574217716E+01,2.54206172281161E+01,2.19484424000057E+01,2.73514779470487E+01,2.75047515082834E+01,3.52401682898314E+01,2.36878361203966E+01,2.60745153223056E+01,2.85074540180279E+01,2.73582391843230E+01,3.30361467502601E+01,2.94538783895302E+01,3.12686678291713E+01,3.18231034239370E+01,2.98743672249425E+01,2.74225441798110E+01,2.81668382613440E+01,2.61338376928319E+01,2.50815829275629E+01,2.24199355179064E+01,2.19120884185697E+01,1.93261754902353E+01,1.92043793299555E+01,1.98322591717271E+01,2.14249803081389E+01,1.63381657011155E+01,1.63002029011608E+01,2.27911691256684E+01,1.98522443501895E+01,1.90625630722343E+01,2.01031063045276E+01,
American Samoa,ASM,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97289699566823E+01,2.91313739843673E+01,3.04452681701270E+01,2.30460324823340E+01,2.10806927640238E+01,1.99860120287718E+01,2.01083932406505E+01,1.93637073906532E+01,1.88802479695928E+01,1.81822613601196E+01,,,,,,,,,,,
Angola,AGO,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,1.93414757619380E+01,,,,,,,1.51310872822905E+01,1.56796214496573E+01,1.33921228182400E+01,1.18308829041115E+01,1.30863058964029E+01,1.43738539630869E+01,,,,,,,,,,,3.24960490980796E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,2.01063021985157E+01,1.79335258910816E+01,1.98183403375179E+01,,3.15106295969486E+01,3.33311510763852E+01,,,2.38618737706556E+01,,,,,,,,,,,,,,,,,,2.18240485329177E+01,2.16718898480985E+01,,,,,1.75864795477081E+01,1.48513567997036E+01,2.00442965643224E+01,,1.76011354576373E+01,2.13462996239405E+01,2.39186894180511E+01,3.73406377045783E+01,3.55882118784927E+01,2.25415932101857E+01,2.70533782799325E+01
Argentina,ARG,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,3.89352505199727E+00,4.13659507747678E+00,5.90513059717013E+00,6.50688090862470E+00,6.65772759473769E+00,6.58288376847721E+00,5.50863981439474E+00,6.81812291536465E+00,5.82383922615393E+00,5.04836967533980E+00,6.46203456245042E+00,9.24388230143468E+00,4.75916786069586E+00,4.56020704108930E+00,4.75687969547438E+00,5.28456961824936E+00,5.65960040903596E+00,7.14199334069061E+00,5.67211544734954E+00,4.99348223248526E+00,4.40776705762262E+00,3.86375449049171E+00,4.51463854970600E+00,4.71657369165189E+00,6.89167240737623E+00,4.56200787428644E+00,3.78393540128701E+00,3.59766607642475E+00,4.02549618389369E+00,5.39468059499672E+00,5.97179835269724E+00,5.44332390661043E+00,5.18851634446879E+00,5.46527463875514E+00,4.92321038664237E+00,5.31668479517149E+00,4.93291059846932E+00,4.91481902979973E+00,5.00967435530705E+00,5.72009530093046E+00,4.62907337828903E+00,4.19577336950639E+00,3.30014291035862E+00,2.83684117911675E+00,2.58219115951538E+00,3.69844769037952E+00,4.53898595690234E+00,3.76938931270202E+00,2.62018238161802E+00,2.38403351559199E+00,2.48134241286970E+00,2.30518655226684E+00,2.43119437333066E+00,2.65412916857108E+00
Armenia,ARM,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11635254376617E+01,,2.59516746898520E+01,2.53304506823388E+01,2.47722349890743E+01,2.03657930587656E+01,1.79446157013691E+01,2.16269874604122E+01,1.84691641064291E+01,1.59499436635995E+01,1.80844288607625E+01,1.86665958751627E+01,1.93040609088711E+01,1.79528658687316E+01,1.97572282407714E+01,1.90354538097869E+01,2.03174319438818E+01,1.95126633357618E+01,1.98931882113847E+01
Aruba,ABW,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13940026731234E+01,2.08660191742475E+01,1.82936752814539E+01,2.23502251706428E+01,,,,2.33093293354601E+01,2.41286093931776E+01,2.36895638172081E+01,1.90638696971810E+01,,,,,,,6.35093280619804E+00,,,,2.74589974716757E+01,3.18318503381721E+01,2.79373358238137E+01,3.14577645324804E+01,3.16939399126096E+01,2.79093855225566E+01,
Australia,AUS,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,6.42356313777626E+00,5.92702599523743E+00,5.71227115157313E+00,5.65764012120217E+00,5.70567963868086E+00,5.55501883240323E+00,5.68169593902625E+00,5.59045637688376E+00,5.59286780436645E+00,6.13380591224198E+00,5.70764897420087E+00,5.71464089750214E+00,5.04050076185738E+00,5.32571340064367E+00,6.57102139779839E+00,5.86700785118628E+00,5.45533614296170E+00,5.20443091547287E+00,4.56125598097074E+00,4.57145778833745E+00,5.70876057059668E+00,5.55415402010504E+00,5.26009437720321E+00,5.33910383151579E+00,5.46689354755344E+00,5.22833244760467E+00,4.80268167363844E+00,5.04630769959696E+00,5.29713895747021E+00,5.13913199680714E+00,5.05987529558671E+00,5.04818488230212E+00,4.96343877588976E+00,4.87496579601418E+00,4.92480503964984E+00,4.89539869304715E+00,4.89822371904794E+00,4.61249279439906E+00,5.02509854456016E+00,4.95959939622304E+00,5.24343534992183E+00,4.88132397906505E+00,4.82367081232268E+00,4.92242333194495E+00,5.19414400321830E+00,5.00993241117109E+00,5.84592688660219E+00,5.48025421094859E+00,5.28923077261270E+00,5.17569549023400E+00,5.80118182951715E+00,6.29194857337666E+00,6.67020408322112E+00
