Country_Name,Country_Code,Indicator_Name,Indicator_Code,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
Afghanistan,AFG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.31512243555974E-02,2.45752714261811E-02,9.40111467539826E-03,1.55769236904142E-02,,,1.56521738433573E-03,-8.12641060041071E-03,,3.24504964385518E-02,2.47135734783994E-01,5.17421598172128E-03,,,,,,,,,,,,,,,,,,,,2.76235652215016E-02,1.21100032717090E+00,1.26100408185942E+00,3.53611472418930E+00,4.31867278242749E+00,3.37225195155490E+00,1.91683279017632E+00,4.51730582519639E-01,1.58175399279445E+00,3.40096812635776E-01,3.21361264147956E-01,2.99592101692759E-01,1.97860044627474E-01,2.43169793342372E-01,3.02092175999253E-01
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81907493952745E+00,4.72285382625773E+00,2.66911917005927E+00,2.88719441567244E+00,2.71803211079995E+00,2.01279450134675E+00,1.66265024373613E+00,1.20652663606142E+00,3.93717707248264E+00,5.10495722598373E+00,3.04391445380857E+00,3.09793068118977E+00,4.66563777104854E+00,3.21722676124585E+00,3.61560378125539E+00,6.09545723353169E+00,9.63387059274823E+00,1.11513401555245E+01,9.13407089560105E+00,8.14084314365733E+00,7.46831755609706E+00,9.80972068999127E+00,8.65632906901018E+00,8.56786568204382E+00
Algeria,DZA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.64737750521208E+00,1.18174852620476E-02,6.13595239793593E-01,5.85190807640468E-01,2.71012685312182E+00,7.64883026133901E-01,1.05480779109489E+00,8.50913068094435E-01,5.12629539473583E-01,7.72859260541875E-02,8.23395355219155E-01,2.97805078448346E-02,-1.18497323896904E-01,8.55797990538971E-04,1.49477575290552E-03,6.86577385012452E-04,8.34668321309074E-03,5.56100047336751E-03,2.20315973964792E-02,2.17352567176370E-02,5.39792139909590E-04,2.54590243807050E-02,6.24957057337205E-02,,,,5.75184045081196E-01,5.39666947634879E-01,1.25882621850339E+00,5.99499039775579E-01,5.11224111413620E-01,2.03326578482878E+00,1.87631181956434E+00,9.39942885297036E-01,1.03352053414103E+00,1.12017426007909E+00,1.57313714379538E+00,1.24964655834775E+00,1.54303880341761E+00,2.00197501321754E+00,1.42696364791616E+00,1.28553462588504E+00,7.17733168415450E-01,8.06799347934930E-01,7.04709697478489E-01,-3.52025450476700E-01
American Samoa,ASM,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,4.15888000000000E+00,3.50064000000000E+00,1.78024000000000E+00,1.95976000000000E+00,1.99466666666667E+00,-3.33884880000000E+00,4.57660531250000E+00,2.78449760256411E+00,2.98749572490707E+00,1.63421549500161E+00,9.51019405186221E+00,2.39882907457034E+00,5.38137613919516E+00,1.72831044283748E+01,4.01671622037156E+01,9.62382397636640E+00,2.40091170615715E+01,1.39509933275001E+01,2.52095608487003E+01,1.11870309187182E+01,-4.61801442059321E+00,-9.02496542387305E-02,-1.47784630924483E+00,1.99454769353256E+00,2.92121938630291E+00,-3.91315078290160E+00,-2.90423489155832E+00,-5.97751465081878E+00,-5.70002386950716E+00,1.51583330902987E+00,
Antigua and Barbuda,ATG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,3.32605414911483E+00,-9.21775287171227E+00,9.21501722758949E+00,1.78073897754226E+01,1.79973221449532E+01,1.66724839844083E+01,3.26220917729952E+00,2.53586070052262E+00,7.72801510813460E+00,9.19086653175865E+00,1.34728760718331E+01,9.72902650372526E+00,1.15444511506285E+01,1.54780374266947E+01,1.33513830603312E+01,4.63658928821143E+00,3.33833610513932E+00,4.95689655172412E+00,6.37113093007570E+00,3.57656239304537E+00,3.95694941236586E+00,3.67301833821158E+00,7.94544545454545E+00,5.50061799440568E+00,1.27237854722889E+01,8.20718471949704E+00,1.98002217117164E+01,8.94596039119353E+00,2.21545126961349E+01,3.16101122400015E+01,2.62325845714952E+01,1.17848956769621E+01,6.68484411053545E+00,8.51394840903426E+00,5.76684103958215E+00,1.07384187733769E+01,1.11852736729545E+01,1.26761978395425E+01,1.18754533148351E+01
Argentina,ARG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,2.84224297397444E-01,3.77464477473511E-01,2.06489502469194E-01,1.90792478260042E-01,2.47388145324033E-02,1.06009598269524E-01,4.78175476645854E-01,2.53605959289195E-01,4.30419501184104E-01,2.97462920183783E-01,8.80955110053282E-01,1.06384544018918E+00,2.69252481027723E-01,1.77920358938206E-01,3.38845892416111E-01,1.03939676921859E+00,5.17422709940390E-01,-1.71007571834998E-02,9.08825708058126E-01,1.34139040897869E+00,1.29888166480310E+00,1.28557885422783E+00,1.93671240172489E+00,1.17980281165114E+00,1.41195302915800E+00,2.17392758974997E+00,2.55320340608332E+00,3.12787793868196E+00,2.43876896154487E+00,8.46058217133806E+00,3.66579059535379E+00,8.06164134759348E-01,2.19894673710197E+00,1.29481819334175E+00,2.26790601787959E+00,2.38447523404771E+00,2.10812556390341E+00,1.96562579931631E+00,2.40861656334474E+00,1.06661221099178E+00,2.45488100436104E+00,1.94302227814780E+00,2.53548645579281E+00,1.57415568987640E+00,9.24238768684106E-01,
Armenia,ARM,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88593618773424E-01,6.65937910579783E-02,6.08291621351056E-01,1.72442285719746E+00,1.10020926862509E+00,3.16805367488108E+00,1.16611351905654E+01,6.61290589659190E+00,5.45043316560111E+00,3.29806741743693E+00,4.65949974895048E+00,4.37657009672658E+00,6.90990201303095E+00,5.96010686866603E+00,7.30731503161370E+00,7.25233197719082E+00,8.09234920917782E+00,8.78869455248089E+00,5.71603784546004E+00,6.44066836705362E+00,4.67672787765567E+00,3.41551199084709E+00,3.47242981118267E+00,1.70929541267597E+00
Aruba,ABW,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.50188996220075E+00,-4.18781725888325E-01,6.12145748987855E+00,1.27899343544858E+01,5.01845018450185E+00,2.68758451396163E+01,-6.82872717296655E+00,-1.39005664378999E+01,1.71302265610610E+01,7.90463582016123E+00,-4.74349524396908E+00,-8.91452200129447E+00,9.09842771166914E+00,-1.79517808055838E+01,6.76323282529048E-01,-4.24762300780892E-01,7.56815984822931E+00,1.88881131125181E+01,,,,
