Country,Year,Incomegroup,Source,Gini
Afghanistan,2007,Low income,National Risk and Vulnerability Assessment ,29
Albania,1996,Upper middle income,"Deininger & Squire,28
Algeria,1988,Upper middle income,WDI,40.2
Angola,2000,Upper middle income,WDI,58.6
Argentina,1953,Upper middle income,Altimir 1986,40
Armenia,1986,Lower middle income,Atkinson and Micklewright 1992,26.9
Australia,1942,High income: OECD,Leigh 2005,34.8
Austria,1970,High income: OECD,Guger 1989,29.3
Azerbaijan,1972,Upper middle income,Atkinson and Micklewright 1992,27.1
Bahamas,1970,High income: nonOECD,Jain 1975,48.3
Bangladesh,1959,Low income,Statistical Yearbook,37.1
Barbados,1951,High income: nonOECD,Cromwell 1977,45.6
Belarus,1981,Upper middle income,Atkinson and Micklewright 1992,23.4
Belgium,1969,High income: OECD,UN 1981,32.3
Belize,1993,Upper middle income,"SEDLAC,
Benin,2003,Low income,WDI,38.6
Bhutan,2003,Lower middle income,WDI,46.8
Bolivia,1968,Lower middle income,Paukert 1973,53
Bosnia And Herzegowina,1991,Upper middle income,Statistical Yearbook 1992,32.9
Botswana,1971,Upper middle income,Jain 1975,57.4
Brazil,1958,Upper middle income,Cromwell 1977,49.1
Bulgaria,1957,Upper middle income,Jain 1975,24.6
Burkina Faso,1994,Low income,"INSD data,
Burundi,1992,Low income,WDI,33.3
Cambodia,1994,Low income,"Deininger & Squire,38.5
Cameroon,1983,Lower middle income,WB Cameroon 1994,49
Canada,1951,High income: OECD,Statistical Yearbook,32.6
Cape Verde,2002,Lower middle income,WDI,50.5
Central Affrican Republic,1992,Low income,Societe d'Appui a la Gestion Economique (SAGE) 1992,55
Chad,1958,Low income,Cromwell 1977,29.6
Chile,1964,High income: OECD,Farne 1994,46.2
China,1953,Upper middle income,Dowling and Soo 1983,55.8
Colombia,1960,Upper middle income,Jain 1975,59.2
Comoros,2004,Low income,WDI,64.3
Congo,1958,Lower middle income,Lecaillon et al. 1984,44.7
"Congo,CD,59.088415,44.4,
Costa Rica,1961,Upper middle income,Jain 1975,53.1
Cote D'Ivoire,1959,Lower middle income,Cromwell 1977,39.6
Croatia ,1987,High income: nonOECD,Rutkowski 1996,21.1
Cuba,1953,Upper middle income,Brundenius 1984,55
Cyprus,1966,High income: nonOECD,Jain 1975,31.8
Czech Republic,1958,High income: OECD,Atkinson and Micklewright 1992,23.9
Czechoslovakia,1958,,Atkinson and Micklewright 1992,27.1
Dahomey,1959,,Paukert 1973,42
Denmark,1939,High income: OECD,UN 1957,47
Djibouti,1996,Lower middle income,"Deininger & Squire,44.8
Dominican Republic,1969,Upper middle income,Jain 1975,45.5
East Timor,2001,Lower middle income,WDI,39.5
Ecuador,1965,Upper middle income,Jain 1975,67.8
Egypt,1958,Lower middle income,Cromwell 1977,42.9
El Salvador,1961,Lower middle income,Lecaillon et al. 1984,53.2
Estonia,1981,High income: OECD,Atkinson and Micklewright 1992,25.1
Ethiopia,1981,Low income,World Bank Poverty Monitoring Database 2002,32.4
Fiji,1968,Upper middle income,Jain 1975,42.8
Finland,1952,High income: OECD,UN-ECE 1967,41
France,1956,High income: OECD,UN-ECE 1967,48
Gabon,1960,Upper middle income,Nssah 1995,58
Gambia,1992,Low income,"Deininger & Squire,67.2
Georgia,1981,Lower middle income,Atkinson and Micklewright 1992,24.8
Germany,1936,High income: OECD,UN 1957,49
Ghana,1987,Lower middle income,"Deininger & Squire,38.1
Greece,1957,High income: OECD,Paukert 1973,38
Guatemala,1948,Lower middle income,Cromwell 1977,47.6
Guinea,1991,Low income,"World Bank,46.8
Guinea-Bissau,1991,Low income,World Bank Poverty Monitoring Database 2002,56.1
Guyana,1956,Lower middle income,Jain 1975,41.9
Haiti,1987,Low income,Pedersen & Lockwood 2001,51.5
Honduras,1968,Lower middle income,Jain 1975,40.7
Hong Kong,1957,High income: nonOECD,Lin 1985,47
Hungary,1955,Upper middle income,Jain 1975,23.3
Iceland,2004,High income: OECD,OECD StatExtract,25.7
India,1951,Lower middle income,Swamy 1967,38.5
Indonesia,1964,Lower middle income,Fields 1989,33.3
Iran,1959,Upper middle income,Jain 1975,53.8
Iraq,1956,Upper middle income,Jain 1975,62.9
Ireland,1973,High income: OECD,van Ginneken and Park 1984,30
Israel,1944,High income: OECD,Israeli Ministry of Finance 1998,28.5
Italy,1948,High income: OECD,Brandolini 1999,42
Jamaica,1958,Upper middle income,Jain 1975,57.7
Japan,1890,High income: OECD,Mizoguchi 1985,31.1
Jordan,1973,Upper middle income,Haddad 1990,38
Kazakhstan,1981,Upper middle income,Atkinson and Micklewright 1992,25.7
Kenya,1914,Low income,Bigsten 1986,50
"Korea,KR,20.53921343,34,
Kyrgyzstan,1981,Lower middle income,Atkinson and Micklewright 1992,24.3
Laos,1992,Lower middle income,WDI,30.4
Latvia,1981,High income: nonOECD,Atkinson and Micklewright 1992,24.8
Lebanon,1960,Upper middle income,Cromwell 1977,51.1
Lesotho,1986,Lower middle income,World Bank Poverty Monitoring Database 2002,56
