Country_Name,Country_Code,Indicator_Name,Indicator_Code,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
Afghanistan,AFG,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.66842370142770E+00,4.62214923317352E+00,7.25929833816935E+00,5.50236079238216E+00,5.84014771828014E+00,6.08546557636508E+00,5.94038512265893E+00,5.77947771036666E+00,4.84304932735426E+00,5.00131891321551E+00,5.39171722500659E+00,5.46557636507518E+00,5.51833289369559E+00,,
Albania,ALB,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74262734584450E+01,9.99153259949196E+00,1.68151169566303E+01,1.70232248397569E+01,1.70108243130724E+01,1.70398734704071E+01,1.72879642887223E+01,,
Algeria,DZA,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80926534304623E+00,1.92733017377567E+00,2.00189269855136E+00,2.02763410310580E+00,2.19383302627751E+00,2.07150984047060E+00,2.13711938134364E+00,2.38125392758737E+00,2.38477336426017E+00,2.51921014892017E+00,2.62963281202482E+00,,
American Samoa,ASM,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05353119415741E+00,,,,,,,,,1.45804250038778E+00,,,,
Armenia,ARM,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.76224094739239E+00,8.82470460642731E+00,8.91432495850741E+00,8.92172020844070E+00,8.94524495677233E+00,9.10429303339026E+00,,9.16711253789905E+00,,
Aruba,ABW,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.49923195084485E-01,5.69351230425056E-01,5.41069397042093E-01,5.45772647747154E-01,5.40268539298078E-01,5.85388285336552E-01,4.51993070849855E-01,4.43578535687583E-01,4.30531820482166E-01,4.61889708465051E-01,4.79163117084228E-01,5.28023991673942E-01,5.99573440560664E-01,,
Austria,AUT,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00919255690807E+00,,1.22825602996945E+00,,1.36045166995442E+00,,,8.31446773904880E-01,,,1.65257555151896E+00,,
Azerbaijan,AZE,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99856709372893E+01,2.99900946279163E+01,2.99289109493964E+01,3.00321773328566E+01,3.00508552935737E+01,3.00357443229605E+01,3.00557132345212E+01,3.00523472155065E+01,2.95251508208438E+01,2.94767978518083E+01,2.94545683309917E+01,2.95262462512845E+01,2.96511384125121E+01,,
Bahrain,BHR,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.34782608695652E+01,,,,,,,,,,,,,,
Bangladesh,BGD,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.13461332189210E+01,5.11223284287402E+01,5.26185344827586E+01,,,,,,,,,
Barbados,BRB,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25985977212971E+00,1.27423822714681E+00,1.26864010683285E+00,1.27274757173161E+00,1.27388535031847E+00,1.23911587407904E+00,1.24495289367429E+00,5.94370303913872E-01,5.26492662708637E-01,3.37154416722859E-01,3.38028169014085E-01,3.41064120054570E-01,3.39216135686454E-01,,
Belgium,BEL,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36298421807747E-01,,2.45487364620939E-01,,4.16362308254200E-01,,,,,,4.26487093153760E-01,,
Belize,BLZ,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11144130757801E-01,,,,,,2.69956458635704E-01,,,,,,,
Bermuda,BMU,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.07635009310987E+00,6.50684931506849E+00,6.40809443507589E+00,6.58578856152513E+00,6.74955595026643E+00,,,,,,,,
Bolivia,BOL,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.35858680769954E-01,,,7.97808042549762E-01,,,,
Bosnia and Herzegovina,BIH,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
