Country_Name,Country_Code,Indicator_Name,Indicator_Code,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
Afghanistan,AFG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,3.17241319505630E+00,3.27725916522140E+00,3.38382614644279E+00,3.49186465377370E+00,3.60154985612076E+00,3.71208566415020E+00,3.82538262250832E+00,3.93579653955211E+00,4.04124043966909E+00,4.14382769360091E+00,4.24320550391746E+00,4.33988231305827E+00,4.51064855401977E+00,4.76739723488781E+00,5.04773110878578E+00,5.35847146862335E+00,5.69997991639390E+00,6.07496695706866E+00,6.50622758232586E+00,7.01926083160641E+00,7.40135876468011E+00,7.88909036392691E+00,8.48845752834471E+00,9.18272071353793E+00,9.92653941108969E+00,1.06612889663022E+01,1.13672943204835E+01,1.19821233713520E+01,1.24777861151880E+01,1.27745620372782E+01,1.28387073785360E+01,1.26565772492070E+01,1.23041504827352E+01,1.19189542679416E+01,1.16322296070307E+01,1.14991293497782E+01,1.15273084007368E+01,1.16739315952585E+01,1.18821671740995E+01,1.20706392652331E+01,1.21871704004783E+01,1.22179019597529E+01,1.21971162297118E+01,1.21656206092156E+01,1.21743160062724E+01,1.22509974201584E+01,1.24020360063478E+01,1.26106828375985E+01,1.28527396004205E+01,1.30941628845003E+01,1.33119678285766E+01,1.34999981082410E+01,1.36699496410697E+01,1.38380542654608E+01,1.40265723133528E+01,1.42495078330135E+01
Albania,ALB,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,7.83500639826436E+00,8.01242698397236E+00,8.15297354559633E+00,8.29422793077756E+00,8.43264701378248E+00,8.56417221161748E+00,8.66903451692719E+00,8.70404263169100E+00,8.73609968523141E+00,8.76843666524161E+00,8.80497659352388E+00,8.84589693218185E+00,8.89009269956386E+00,8.93443280579342E+00,8.97747187454165E+00,9.01699182086310E+00,9.05391874782871E+00,8.99725520096343E+00,8.79350369812629E+00,8.58938504680061E+00,8.38486516742431E+00,8.18046149687517E+00,7.97835271809208E+00,7.78104668638375E+00,7.59136227116127E+00,7.41089168669836E+00,7.24016615955165E+00,7.10399232975786E+00,7.03986943777671E+00,6.98326064980417E+00,6.93517581028115E+00,6.89514159997653E+00,6.86337670456421E+00,6.84034972029236E+00,6.82778709481678E+00,6.82602242572904E+00,6.83490413503216E+00,6.85273150839858E+00,6.87802107533800E+00,6.86910274733102E+00,6.86441917750637E+00,6.86299474016091E+00,6.86424331159232E+00,6.86562687703238E+00,6.86446827847266E+00,6.85836163865772E+00,6.84738670944796E+00,6.83159471473489E+00,6.81034725200403E+00,6.78262878797937E+00,6.74884079626799E+00,6.70877834358086E+00,6.66388403860989E+00,6.61752492102173E+00,6.57374799322367E+00,6.53980249691182E+00
American Samoa,ASM,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,4.86631742468569E+00,5.08260504795067E+00,5.35955162045444E+00,5.65265636184360E+00,5.96487530845698E+00,6.29629533263082E+00,6.65021706919746E+00,7.02582380751693E+00,7.42118404363665E+00,7.82960916055693E+00,8.24939783071461E+00,8.60156159589415E+00,8.89056441548857E+00,9.17741138615585E+00,9.46679320697501E+00,9.75976364695961E+00,1.00597601920568E+01,1.03636693275317E+01,1.06685392086368E+01,1.09662006804577E+01,1.12538434841907E+01,1.15251207644197E+01,1.17889151657035E+01,1.20620617166494E+01,1.24225535891365E+01,1.28269799036634E+01,1.32872192902820E+01,1.37967405659423E+01,1.43402443493084E+01,1.48883484989177E+01,1.54260878317234E+01,1.59433090836409E+01,1.64490064158314E+01,1.69558854053627E+01,1.74415698704738E+01,1.79698920450773E+01,1.85495991638766E+01,1.91615511755365E+01,1.97981280981920E+01,2.04314098982309E+01,2.10445858383740E+01,2.16265964119161E+01,2.21911512172545E+01,2.27494945748992E+01,2.33222456708392E+01,2.39171432587679E+01,2.45440827308864E+01,2.51984593127980E+01,2.54106905511880E+01,2.56261725391924E+01,2.58469881697199E+01,2.60719525431614E+01,2.63036577513027E+01,2.65447858219577E+01,2.67985742166637E+01,2.70770443610884E+01
Antigua and Barbuda,ATG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,3.81893562150581E+01,3.84243814477099E+01,3.86242240935392E+01,3.88357052786198E+01,3.90627261839181E+01,3.93026123629579E+01,3.95611663043511E+01,3.98331978687959E+01,4.01067817741531E+01,4.03614429760037E+01,4.05899129614732E+01,4.06163526049474E+01,4.05605063158341E+01,4.04922138984257E+01,4.04357697682213E+01,4.04043622246156E+01,4.04033583217954E+01,4.04236468409942E+01,4.04573076466520E+01,4.04886916989380E+01,4.05088556352016E+01,4.04010865431919E+01,4.02354329374961E+01,4.00664999951281E+01,3.99015811920407E+01,3.97436277552561E+01,3.95957000952969E+01,3.94565771895227E+01,3.93277668249752E+01,3.92080086390965E+01,3.90998248076520E+01,3.90222516653652E+01,3.90917924624253E+01,3.91738925068905E+01,3.92742294906487E+01,3.93937068053904E+01,3.95342414555206E+01,3.96914742758721E+01,3.98633249357961E+01,4.00426964007420E+01,4.02259917863216E+01,4.04087369252421E+01,4.05215273288657E+01,4.05914515925890E+01,4.06679756330035E+01,4.07507929840502E+01,4.08428046892280E+01,4.09417581023402E+01,4.10453109391197E+01,4.11472038982867E+01,4.12470309263971E+01,4.13431432630837E+01,4.14380310697480E+01,4.15329228922714E+01,4.16339720222598E+01,4.16244995739548E+01
Armenia,ARM,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2.87972663537889E+01,2.88547589000118E+01,2.89327080118072E+01,2.90397584652828E+01,2.91878942984370E+01,2.93790851155512E+01,2.96220491523370E+01,2.99128792295715E+01,3.02446093037143E+01,3.06008866742388E+01,3.08988059123065E+01,3.11175894864338E+01,3.13567349508070E+01,3.16178688224058E+01,3.19133777577765E+01,3.22472705395219E+01,3.26226892939614E+01,3.30331929857282E+01,3.34797928043011E+01,3.37003919116169E+01,3.36397530211885E+01,3.36100969997314E+01,3.36168289602136E+01,3.36376871905883E+01,3.36452134513205E+01,3.36265519307775E+01,3.35591729277485E+01,3.34706660642269E+01,3.34614274738857E+01,3.33370969198808E+01,3.31346984719419E+01,3.32594894177303E+01,3.36742139506137E+01,3.42819911605666E+01,3.49190852242729E+01,3.54458169015439E+01,3.58025792322176E+01,3.60112593748446E+01,3.60966643301966E+01,3.61195867891474E+01,3.61269699469913E+01,3.61165358838916E+01,3.61078467824585E+01,3.60917462011184E+01,3.60712654602704E+01,3.60591352929450E+01,3.60675859822308E+01,3.60922614475939E+01,3.61059337572844E+01,3.60699273256402E+01,3.59574300083415E+01,3.57595256578203E+01,3.54925345973041E+01,3.51867794580027E+01,3.48831430458985E+01,3.46104267073863E+01
Aruba,ABW,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
