Country_Name,Country_Code,Indicator_Name,Indicator_Code,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
Afghanistan,AFG,"Population, total",SP.POP.TOTL,8.99479300000000E+06,9.16494500000000E+06,9.34377200000000E+06,9.53155500000000E+06,9.72864500000000E+06,9.93535800000000E+06,1.01488410000000E+07,1.03686000000000E+07,1.05997900000000E+07,1.08495100000000E+07,1.11210970000000E+07,1.14128210000000E+07,1.17168960000000E+07,1.20225140000000E+07,1.23155530000000E+07,1.25829540000000E+07,1.28313610000000E+07,1.30564990000000E+07,1.32225470000000E+07,1.32832790000000E+07,1.32114120000000E+07,1.29969230000000E+07,1.26670010000000E+07,1.22790950000000E+07,1.19125100000000E+07,1.16304980000000E+07,1.14389490000000E+07,1.13379320000000E+07,1.13757680000000E+07,1.16083510000000E+07,1.20675700000000E+07,1.27893740000000E+07,1.37456300000000E+07,1.48243710000000E+07,1.58699670000000E+07,1.67725220000000E+07,1.74818000000000E+07,1.80341300000000E+07,1.85114800000000E+07,1.90384200000000E+07,1.97019400000000E+07,2.05311600000000E+07,2.14870790000000E+07,2.25073680000000E+07,2.34998500000000E+07,2.43999480000000E+07,2.51836150000000E+07,2.58775440000000E+07,2.65287410000000E+07,2.72072910000000E+07,2.79622070000000E+07,2.88091670000000E+07,2.97268030000000E+07,3.06825000000000E+07,3.16275060000000E+07,3.25265620000000E+07
Albania,ALB,"Population, total",SP.POP.TOTL,1.60880000000000E+06,1.65980000000000E+06,1.71131900000000E+06,1.76262100000000E+06,1.81413500000000E+06,1.86479100000000E+06,1.91457300000000E+06,1.96559800000000E+06,2.02227200000000E+06,2.08169500000000E+06,2.13547900000000E+06,2.18785300000000E+06,2.24312600000000E+06,2.29675200000000E+06,2.35012400000000E+06,2.40483100000000E+06,2.45852600000000E+06,2.51354600000000E+06,2.56626600000000E+06,2.61783200000000E+06,2.67199700000000E+06,2.72605600000000E+06,2.78427800000000E+06,2.84396000000000E+06,2.90442900000000E+06,2.96476200000000E+06,3.02263500000000E+06,3.08360500000000E+06,3.14233600000000E+06,3.22794300000000E+06,3.28654200000000E+06,3.26679000000000E+06,3.24703900000000E+06,3.22728700000000E+06,3.20753600000000E+06,3.18778400000000E+06,3.16803300000000E+06,3.14828100000000E+06,3.12853000000000E+06,3.10877800000000E+06,3.08902700000000E+06,3.06017300000000E+06,3.05101000000000E+06,3.03961600000000E+06,3.02693900000000E+06,3.01148700000000E+06,2.99254700000000E+06,2.97001700000000E+06,2.94731400000000E+06,2.92751900000000E+06,2.91302100000000E+06,2.90478000000000E+06,2.90024700000000E+06,2.89665200000000E+06,2.89365400000000E+06,2.88916700000000E+06
Algeria,DZA,"Population, total",SP.POP.TOTL,1.11248920000000E+07,1.14048590000000E+07,1.16901520000000E+07,1.19851300000000E+07,1.22959730000000E+07,1.26269530000000E+07,1.29802690000000E+07,1.33541970000000E+07,1.37443830000000E+07,1.41444370000000E+07,1.45500330000000E+07,1.49601110000000E+07,1.53770950000000E+07,1.58044280000000E+07,1.62471130000000E+07,1.67090980000000E+07,1.71902360000000E+07,1.76901840000000E+07,1.82123310000000E+07,1.87607610000000E+07,1.93377230000000E+07,1.99436670000000E+07,2.05757010000000E+07,2.12282880000000E+07,2.18938570000000E+07,2.25659080000000E+07,2.32412760000000E+07,2.39178890000000E+07,2.45914930000000E+07,2.52576710000000E+07,2.59123640000000E+07,2.65542770000000E+07,2.71809210000000E+07,2.77859770000000E+07,2.83620150000000E+07,2.89043000000000E+07,2.94118390000000E+07,2.98877170000000E+07,3.03368800000000E+07,3.07665510000000E+07,3.11836580000000E+07,3.15903200000000E+07,3.19903870000000E+07,3.23948860000000E+07,3.28172250000000E+07,3.32678870000000E+07,3.37493280000000E+07,3.42619710000000E+07,3.48110590000000E+07,3.54017900000000E+07,3.60361590000000E+07,3.67171320000000E+07,3.74394270000000E+07,3.81861350000000E+07,3.89343340000000E+07,3.96665190000000E+07
American Samoa,ASM,"Population, total",SP.POP.TOTL,2.00120000000000E+04,2.04780000000000E+04,2.11180000000000E+04,2.18830000000000E+04,2.27010000000000E+04,2.35180000000000E+04,2.43200000000000E+04,2.51160000000000E+04,2.58860000000000E+04,2.66150000000000E+04,2.72920000000000E+04,2.79160000000000E+04,2.84900000000000E+04,2.90140000000000E+04,2.94910000000000E+04,2.99320000000000E+04,3.03250000000000E+04,3.06900000000000E+04,3.11050000000000E+04,3.16700000000000E+04,3.24560000000000E+04,3.34880000000000E+04,3.47400000000000E+04,3.61650000000000E+04,3.76870000000000E+04,3.92470000000000E+04,4.08350000000000E+04,4.24480000000000E+04,4.40490000000000E+04,4.55910000000000E+04,4.70440000000000E+04,4.83790000000000E+04,4.95970000000000E+04,5.07250000000000E+04,5.18070000000000E+04,5.28740000000000E+04,5.39260000000000E+04,5.49420000000000E+04,5.58990000000000E+04,5.67680000000000E+04,5.75220000000000E+04,5.81760000000000E+04,5.87290000000000E+04,5.91170000000000E+04,5.92620000000000E+04,5.91170000000000E+04,5.86480000000000E+04,5.79040000000000E+04,5.70310000000000E+04,5.62260000000000E+04,5.56360000000000E+04,5.53160000000000E+04,5.52270000000000E+04,5.53020000000000E+04,5.54340000000000E+04,5.55380000000000E+04
Andorra,ADO,"Population, total",SP.POP.TOTL,1.34140000000000E+04,1.43760000000000E+04,1.53760000000000E+04,1.64100000000000E+04,1.74700000000000E+04,1.85510000000000E+04,1.96460000000000E+04,2.07550000000000E+04,2.18880000000000E+04,2.30610000000000E+04,2.42790000000000E+04,2.55600000000000E+04,2.68920000000000E+04,2.82310000000000E+04,2.95140000000000E+04,3.07060000000000E+04,3.17810000000000E+04,3.27690000000000E+04,3.37460000000000E+04,3.48190000000000E+04,3.60630000000000E+04,3.75020000000000E+04,3.91120000000000E+04,4.08620000000000E+04,4.27040000000000E+04,4.45970000000000E+04,4.65150000000000E+04,4.84580000000000E+04,5.04310000000000E+04,5.24490000000000E+04,5.45110000000000E+04,5.66740000000000E+04,5.89040000000000E+04,6.10030000000000E+04,6.27070000000000E+04,6.38540000000000E+04,6.42910000000000E+04,6.41470000000000E+04,6.38880000000000E+04,6.41610000000000E+04,6.53990000000000E+04,6.77700000000000E+04,7.10460000000000E+04,7.47830000000000E+04,7.83370000000000E+04,8.12230000000000E+04,8.33730000000000E+04,8.48780000000000E+04,8.56160000000000E+04,8.54740000000000E+04,8.44190000000000E+04,8.23260000000000E+04,7.93160000000000E+04,7.59020000000000E+04,7.27860000000000E+04,7.04730000000000E+04
Angola,AGO,"Population, total",SP.POP.TOTL,5.27084400000000E+06,5.36728700000000E+06,5.46590500000000E+06,5.56580800000000E+06,5.66570100000000E+06,5.76502500000000E+06,5.86356800000000E+06,5.96283100000000E+06,6.06609400000000E+06,6.17770300000000E+06,6.30096900000000E+06,6.43764500000000E+06,6.58764700000000E+06,6.75021500000000E+06,6.92374900000000E+06,7.10733400000000E+06,7.29950800000000E+06,7.50132000000000E+06,7.71713900000000E+06,7.95288200000000E+06,8.21195000000000E+06,8.49795000000000E+06,8.80751100000000E+06,9.12865500000000E+06,9.44491800000000E+06,9.74520900000000E+06,1.00237000000000E+07,1.02857120000000E+07,1.05449040000000E+07,1.08209920000000E+07,1.11278700000000E+07,1.14721730000000E+07,1.18489710000000E+07,1.22467860000000E+07,1.26484830000000E+07,1.30426660000000E+07,1.34248130000000E+07,1.38018680000000E+07,1.41877100000000E+07,1.46019830000000E+07,1.50586380000000E+07,1.55627910000000E+07,1.61096960000000E+07,1.66913950000000E+07,1.72955000000000E+07,1.79129420000000E+07,1.85414670000000E+07,1.91839070000000E+07,1.98422510000000E+07,2.05201030000000E+07,2.12199540000000E+07,2.19422960000000E+07,2.26856320000000E+07,2.34482020000000E+07,2.42275240000000E+07,2.50219740000000E+07
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,5.46810000000000E+04,5.54030000000000E+04,5.63110000000000E+04,5.73680000000000E+04,5.85000000000000E+04,5.96530000000000E+04,6.08180000000000E+04,6.20020000000000E+04,6.31760000000000E+04,6.43070000000000E+04,6.53690000000000E+04,6.63380000000000E+04,6.72050000000000E+04,6.79720000000000E+04,6.86550000000000E+04,6.92530000000000E+04,6.97820000000000E+04,7.02230000000000E+04,7.05080000000000E+04,7.05530000000000E+04,7.03010000000000E+04,6.97500000000000E+04,6.89500000000000E+04,6.79580000000000E+04,6.68630000000000E+04,6.57440000000000E+04,6.46050000000000E+04,6.34840000000000E+04,6.25380000000000E+04,6.19670000000000E+04,6.19060000000000E+04,6.24120000000000E+04,6.34340000000000E+04,6.48680000000000E+04,6.65500000000000E+04,6.83490000000000E+04,7.02450000000000E+04,7.22320000000000E+04,7.42060000000000E+04,7.60410000000000E+04,7.76480000000000E+04,7.89720000000000E+04,8.00300000000000E+04,8.09040000000000E+04,8.17180000000000E+04,8.25650000000000E+04,8.34670000000000E+04,8.43970000000000E+04,8.53500000000000E+04,8.63000000000000E+04,8.72330000000000E+04,8.81520000000000E+04,8.90690000000000E+04,8.99850000000000E+04,9.09000000000000E+04,9.18180000000000E+04
Argentina,ARG,"Population, total",SP.POP.TOTL,2.06190750000000E+07,2.09530790000000E+07,2.12876820000000E+07,2.16218450000000E+07,2.19539260000000E+07,2.22833890000000E+07,2.26087470000000E+07,2.29322010000000E+07,2.32612730000000E+07,2.36059920000000E+07,2.39730620000000E+07,2.43664420000000E+07,2.47829500000000E+07,2.52133880000000E+07,2.56445050000000E+07,2.60669750000000E+07,2.64771530000000E+07,2.68785670000000E+07,2.72777420000000E+07,2.76845300000000E+07,2.81058890000000E+07,2.85433660000000E+07,2.89939890000000E+07,2.94547390000000E+07,2.99209070000000E+07,3.03887810000000E+07,3.08572420000000E+07,3.13264730000000E+07,3.17955150000000E+07,3.22635590000000E+07,3.27297400000000E+07,3.31939200000000E+07,3.36551490000000E+07,3.41109120000000E+07,3.45581140000000E+07,3.49948180000000E+07,3.54196830000000E+07,3.58339650000000E+07,3.62415780000000E+07,3.66480540000000E+07,3.70574530000000E+07,3.74715350000000E+07,3.78894430000000E+07,3.83094750000000E+07,3.87287780000000E+07,3.91454910000000E+07,3.95587500000000E+07,3.99699030000000E+07,4.03818600000000E+07,4.07986410000000E+07,4.12228750000000E+07,4.16556160000000E+07,4.20952240000000E+07,4.25383040000000E+07,4.29800260000000E+07,4.34167550000000E+07
Armenia,ARM,"Population, total",SP.POP.TOTL,1.86739600000000E+06,1.93423900000000E+06,2.00217000000000E+06,2.07042700000000E+06,2.13813300000000E+06,2.20465000000000E+06,2.26947500000000E+06,2.33262400000000E+06,2.39463500000000E+06,2.45637000000000E+06,2.51840800000000E+06,2.58089400000000E+06,2.64346400000000E+06,2.70558400000000E+06,2.76649500000000E+06,2.82565000000000E+06,2.88283100000000E+06,2.93818100000000E+06,2.99195400000000E+06,3.04456400000000E+06,3.09629800000000E+06,3.14588500000000E+06,3.19287700000000E+06,3.23921200000000E+06,3.28758800000000E+06,3.33914700000000E+06,3.39651100000000E+06,3.45705400000000E+06,3.51043900000000E+06,3.54272000000000E+06,3.54469500000000E+06,3.51191200000000E+06,3.44949700000000E+06,3.36967300000000E+06,3.28994300000000E+06,3.22317300000000E+06,3.17342500000000E+06,3.13765200000000E+06,3.11295800000000E+06,3.09382000000000E+06,3.07609800000000E+06,3.06003600000000E+06,3.04724900000000E+06,3.03642000000000E+06,3.02598200000000E+06,3.01491700000000E+06,3.00216100000000E+06,2.98811700000000E+06,2.97502900000000E+06,2.96610800000000E+06,2.96349600000000E+06,2.96798400000000E+06,2.97833900000000E+06,2.99219200000000E+06,3.00615400000000E+06,3.01771200000000E+06
Aruba,ABW,"Population, total",SP.POP.TOTL,5.42080000000000E+04,5.54350000000000E+04,5.62260000000000E+04,5.66970000000000E+04,5.70290000000000E+04,5.73600000000000E+04,5.77120000000000E+04,5.80490000000000E+04,5.83850000000000E+04,5.87240000000000E+04,5.90650000000000E+04,5.94380000000000E+04,5.98490000000000E+04,6.02390000000000E+04,6.05250000000000E+04,6.06550000000000E+04,6.05890000000000E+04,6.03660000000000E+04,6.01060000000000E+04,5.99780000000000E+04,6.00960000000000E+04,6.05670000000000E+04,6.13440000000000E+04,6.22040000000000E+04,6.28310000000000E+04,6.30280000000000E+04,6.26440000000000E+04,6.18350000000000E+04,6.10770000000000E+04,6.10320000000000E+04,6.21480000000000E+04,6.46230000000000E+04,6.82350000000000E+04,7.24980000000000E+04,7.67000000000000E+04,8.03260000000000E+04,8.31950000000000E+04,8.54470000000000E+04,8.72760000000000E+04,8.90040000000000E+04,9.08580000000000E+04,9.28940000000000E+04,9.49950000000000E+04,9.70150000000000E+04,9.87420000000000E+04,1.00031000000000E+05,1.00830000000000E+05,1.01218000000000E+05,1.01342000000000E+05,1.01416000000000E+05,1.01597000000000E+05,1.01936000000000E+05,1.02393000000000E+05,1.02921000000000E+05,1.03441000000000E+05,1.03889000000000E+05
