Country_Name,Country_Code,Indicator_Name,Indicator_Code,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
Arab World,ARB,Agricultural land (sq. km),AG.LND.AGRI.K2,,4.21586000000000E+06,4.21584000000000E+06,4.21897000000000E+06,4.22026000000000E+06,4.22340000000000E+06,4.22429000000000E+06,4.23128000000000E+06,4.23522000000000E+06,4.24277000000000E+06,4.25129000000000E+06,4.27787000000000E+06,4.28432000000000E+06,4.28368000000000E+06,4.29084000000000E+06,4.28778000000000E+06,4.29714000000000E+06,4.29998000000000E+06,4.30579000000000E+06,4.30728000000000E+06,4.31803000000000E+06,4.27639600000000E+06,4.27969340000000E+06,4.28606740000000E+06,4.34213360000000E+06,4.40993800000000E+06,4.48925800000000E+06,4.56476000000000E+06,4.64529000000000E+06,4.71608800000000E+06,4.77214200000000E+06,4.78446400000000E+06,4.80641980000000E+06,5.34420000000000E+06,5.36384000000000E+06,5.37756000000000E+06,5.38590460000000E+06,5.38827920000000E+06,5.39333620000000E+06,5.39530500000000E+06,5.39540200000000E+06,5.40013100000000E+06,5.41241100000000E+06,5.43680200000000E+06,5.44407600000000E+06,5.45761700000000E+06,5.46020750000000E+06,5.46639000000000E+06,5.45821880000000E+06,5.44760060000000E+06,5.45441600000000E+06,5.18032330000000E+06,5.22427710000000E+06,5.19427150000000E+06,,
Caribbean small states,CSS,Agricultural land (sq. km),AG.LND.AGRI.K2,,2.23400000000000E+04,2.23700000000000E+04,2.24000000000000E+04,2.24200000000000E+04,2.22000000000000E+04,2.23400000000000E+04,2.23300000000000E+04,2.23500000000000E+04,2.23900000000000E+04,2.23200000000000E+04,2.24100000000000E+04,2.23900000000000E+04,2.25300000000000E+04,2.25490000000000E+04,2.25400000000000E+04,2.33600000000000E+04,2.42400000000000E+04,2.51500000000000E+04,2.59820000000000E+04,2.59750000000000E+04,2.59680000000000E+04,2.58000000000000E+04,2.56720000000000E+04,2.57250000000000E+04,2.57780000000000E+04,2.58420000000000E+04,2.59600000000000E+04,2.59900000000000E+04,2.60600000000000E+04,2.61490000000000E+04,2.62380000000000E+04,2.62970000000000E+04,2.66370000000000E+04,2.65850000000000E+04,2.65100000000000E+04,2.64640000000000E+04,2.63600000000000E+04,2.62450000000000E+04,2.62840000000000E+04,2.59770000000000E+04,2.59020000000000E+04,2.57320000000000E+04,2.57900000000000E+04,2.56663000000000E+04,2.51970000000000E+04,2.51891000000000E+04,2.51299000000000E+04,2.49900000000000E+04,2.51650000000000E+04,2.51260000000000E+04,2.51260000000000E+04,2.50880000000000E+04,2.51880000000000E+04,,
Central Europe and the Baltics,CEB,Agricultural land (sq. km),AG.LND.AGRI.K2,,4.76790000000000E+05,4.76470000000000E+05,4.75850000000000E+05,4.76230000000000E+05,4.74830000000000E+05,4.75110000000000E+05,4.74340000000000E+05,4.75330000000000E+05,4.74350000000000E+05,4.73580000000000E+05,4.73070000000000E+05,4.71820000000000E+05,4.70470000000000E+05,4.70060000000000E+05,4.68950000000000E+05,4.71090000000000E+05,4.70540000000000E+05,4.69850000000000E+05,4.68720000000000E+05,4.67790000000000E+05,4.66380000000000E+05,4.66180000000000E+05,4.66080000000000E+05,4.66570000000000E+05,4.66420000000000E+05,4.66060000000000E+05,4.66390000000000E+05,4.65880000000000E+05,4.62170000000000E+05,4.61950000000000E+05,4.61720000000000E+05,5.60840000000000E+05,6.24860000000000E+05,6.21440000000000E+05,6.15910000000000E+05,6.10780000000000E+05,6.10260000000000E+05,6.05100000000000E+05,6.04520000000000E+05,5.91050000000000E+05,5.75370000000000E+05,5.62640000000000E+05,5.53230000000000E+05,5.45343000000000E+05,5.45880000000000E+05,5.44537000000000E+05,5.33499000000000E+05,5.34922000000000E+05,5.34426000000000E+05,5.25221000000000E+05,5.26962000000000E+05,5.23253000000000E+05,5.23029000000000E+05,,
Early-demographic dividend,EAR,Agricultural land (sq. km),AG.LND.AGRI.K2,,1.15992500000000E+07,1.15955800000000E+07,1.15796900000000E+07,1.15692300000000E+07,1.15634400000000E+07,1.15634100000000E+07,1.15604400000000E+07,1.15639100000000E+07,1.15625700000000E+07,1.15685650000000E+07,1.15739400000000E+07,1.16152500000000E+07,1.16356700000000E+07,1.16425500000000E+07,1.16448000000000E+07,1.16503200000000E+07,1.16693400000000E+07,1.16868300000000E+07,1.17162850000000E+07,1.17145300000000E+07,1.16799860000000E+07,1.17160094000000E+07,1.17278154000000E+07,1.18257866000000E+07,1.19246220000000E+07,1.20044020000000E+07,1.21285830000000E+07,1.21910620000000E+07,1.22750580000000E+07,1.23673760000000E+07,1.23763690000000E+07,1.30620468000000E+07,1.33440790000000E+07,1.33453000000000E+07,1.33731330000000E+07,1.34107496000000E+07,1.34392662000000E+07,1.34702552000000E+07,1.35058190000000E+07,1.35271980000000E+07,1.35486350000000E+07,1.35477550000000E+07,1.35986830000000E+07,1.36969468000000E+07,1.35561520000000E+07,1.35905320000000E+07,1.36450848000000E+07,1.36426694000000E+07,1.36627460000000E+07,1.37007769000000E+07,1.37204556000000E+07,1.37486018000000E+07,1.37616814000000E+07,,
East Asia & Pacific,EAS,Agricultural land (sq. km),AG.LND.AGRI.K2,,1.05736580000000E+07,1.06281710000000E+07,1.06905150000000E+07,1.07527130000000E+07,1.08344680000000E+07,1.08853650000000E+07,1.09527690000000E+07,1.09730000000000E+07,1.10584820000000E+07,1.11387430000000E+07,1.11901310000000E+07,1.12629660000000E+07,1.13507810000000E+07,1.14362190000000E+07,1.14837880000000E+07,1.14143380000000E+07,1.13959480000000E+07,1.14422740000000E+07,1.15225420000000E+07,1.15971410000000E+07,1.16588440000000E+07,1.17083680000000E+07,1.17499770000000E+07,1.18736620000000E+07,1.20248640000000E+07,1.20904920000000E+07,1.21824210000000E+07,1.22682930000000E+07,1.22882160000000E+07,1.23328510000000E+07,1.23458810000000E+07,1.23789110000000E+07,1.23207900000000E+07,1.24404360000000E+07,1.23913030000000E+07,1.24122440000000E+07,1.24961180000000E+07,1.25188370000000E+07,1.24475869000000E+07,1.24796120000000E+07,1.24626820000000E+07,1.23320040000000E+07,1.21027794000000E+07,1.21423040000000E+07,1.21894656000000E+07,1.20628015000000E+07,1.19957540000000E+07,1.19343590000000E+07,1.18770080000000E+07,1.17809244000000E+07,1.19028603000000E+07,1.18709313000000E+07,1.17901107000000E+07,,
East Asia & Pacific (excluding high income),EAP,Agricultural land (sq. km),AG.LND.AGRI.K2,,5.69526500000000E+06,5.72813800000000E+06,5.76307200000000E+06,5.79859000000000E+06,5.84067400000000E+06,5.88072100000000E+06,5.92256500000000E+06,5.96225600000000E+06,6.00944800000000E+06,6.06111900000000E+06,6.09981700000000E+06,6.15759200000000E+06,6.22058700000000E+06,6.29931500000000E+06,6.35339400000000E+06,6.27158400000000E+06,6.34609400000000E+06,6.41168000000000E+06,6.45393800000000E+06,6.50408700000000E+06,6.56265000000000E+06,6.66502400000000E+06,6.77629300000000E+06,6.88249800000000E+06,7.03725000000000E+06,7.12335800000000E+06,7.21463700000000E+06,7.28951900000000E+06,7.36346200000000E+06,7.43543700000000E+06,7.46479500000000E+06,7.46808500000000E+06,7.46989400000000E+06,7.51008000000000E+06,7.52123700000000E+06,7.52498800000000E+06,7.63983200000000E+06,7.64732100000000E+06,7.67719090000000E+06,7.68636600000000E+06,7.67229600000000E+06,7.66234800000000E+06,7.51107140000000E+06,7.54463600000000E+06,7.54362300000000E+06,7.52311100000000E+06,7.55019700000000E+06,7.57210800000000E+06,7.59671200000000E+06,7.60641300000000E+06,7.61840500000000E+06,7.62999300000000E+06,7.63912800000000E+06,,
East Asia & Pacific (IDA & IBRD countries),TEA,Agricultural land (sq. km),AG.LND.AGRI.K2,,5.67143800000000E+06,5.70431100000000E+06,5.73924500000000E+06,5.77476300000000E+06,5.81684800000000E+06,5.85689500000000E+06,5.89873900000000E+06,5.93843000000000E+06,5.98562200000000E+06,6.03729300000000E+06,6.07599100000000E+06,6.13376600000000E+06,6.19626100000000E+06,6.27498900000000E+06,6.32906800000000E+06,6.24725800000000E+06,6.32176800000000E+06,6.38735400000000E+06,6.42961200000000E+06,6.47891100000000E+06,6.53747400000000E+06,6.63984800000000E+06,6.75111700000000E+06,6.85732200000000E+06,7.01207400000000E+06,7.09818200000000E+06,7.18946100000000E+06,7.26434300000000E+06,7.33828600000000E+06,7.41023100000000E+06,7.43946900000000E+06,7.44275700000000E+06,7.44436600000000E+06,7.48355200000000E+06,7.49470600000000E+06,7.49945200000000E+06,7.61429600000000E+06,7.62177800000000E+06,7.65164700000000E+06,7.66082200000000E+06,7.64675500000000E+06,7.63680700000000E+06,7.48552500000000E+06,7.51909000000000E+06,7.51757700000000E+06,7.49706500000000E+06,7.52415300000000E+06,7.54556400000000E+06,7.56996700000000E+06,7.57956800000000E+06,7.59206000000000E+06,7.60364800000000E+06,7.61278300000000E+06,,
Euro area,EMU,Agricultural land (sq. km),AG.LND.AGRI.K2,,1.35803700000000E+06,1.35695100000000E+06,1.35488500000000E+06,1.34827600000000E+06,1.34404500000000E+06,1.34021400000000E+06,1.33934400000000E+06,1.33157100000000E+06,1.33224500000000E+06,1.31793200000000E+06,1.29805700000000E+06,1.29352700000000E+06,1.28774300000000E+06,1.28420400000000E+06,1.28055100000000E+06,1.27181900000000E+06,1.27055600000000E+06,1.27095600000000E+06,1.26720000000000E+06,1.26342500000000E+06,1.26230600000000E+06,1.26049700000000E+06,1.24977400000000E+06,1.24704700000000E+06,1.24490200000000E+06,1.24209600000000E+06,1.24034400000000E+06,1.23282600000000E+06,1.23335100000000E+06,1.22843400000000E+06,1.19678900000000E+06,1.26964400000000E+06,1.29087700000000E+06,1.28661200000000E+06,1.27033300000000E+06,1.27202500000000E+06,1.26605800000000E+06,1.26645200000000E+06,1.26341700000000E+06,1.27267800000000E+06,1.25861600000000E+06,1.25161500000000E+06,1.24238530000000E+06,1.23607100000000E+06,1.24031750000000E+06,1.22559220000000E+06,1.21548820000000E+06,1.21647300000000E+06,1.20847600000000E+06,1.20819880000000E+06,1.19740900000000E+06,1.19448220000000E+06,1.19277880000000E+06,,
Europe & Central Asia,ECS,Agricultural land (sq. km),AG.LND.AGRI.K2,,2.53616500000000E+06,2.53497000000000E+06,2.53658900000000E+06,2.52835800000000E+06,2.52021100000000E+06,2.51751100000000E+06,2.51383300000000E+06,2.50795400000000E+06,2.51747400000000E+06,2.49065600000000E+06,2.47065600000000E+06,2.46834400000000E+06,2.45982200000000E+06,2.44989500000000E+06,2.44030900000000E+06,2.43284000000000E+06,2.43157900000000E+06,2.43132700000000E+06,2.43507300000000E+06,2.42687500000000E+06,2.42275100000000E+06,2.40587800000000E+06,2.38896900000000E+06,2.39544800000000E+06,2.39658200000000E+06,2.39629300000000E+06,2.40370700000000E+06,2.39689300000000E+06,2.39859500000000E+06,2.39023700000000E+06,2.36128800000000E+06,8.32171300000000E+06,8.35231600000000E+06,8.33914300000000E+06,8.26055700000000E+06,8.23946300000000E+06,8.25369300000000E+06,8.23972800000000E+06,8.22769300000000E+06,8.22912800000000E+06,8.19984500000000E+06,8.16869100000000E+06,8.13484230000000E+06,8.11676100000000E+06,8.10698250000000E+06,8.14122720000000E+06,8.10502120000000E+06,8.09064900000000E+06,8.07154780000000E+06,8.10935530000000E+06,8.09527140000000E+06,8.08761220000000E+06,8.10733910000000E+06,,
Europe & Central Asia (excluding high income),ECA,Agricultural land (sq. km),AG.LND.AGRI.K2,,5.80230000000000E+05,5.82530000000000E+05,5.90200000000000E+05,5.90360000000000E+05,5.91170000000000E+05,5.93610000000000E+05,5.92450000000000E+05,5.96940000000000E+05,6.08680000000000E+05,6.03480000000000E+05,6.04580000000000E+05,6.09650000000000E+05,6.08190000000000E+05,6.04170000000000E+05,5.99430000000000E+05,6.01310000000000E+05,6.03040000000000E+05,6.03350000000000E+05,6.11820000000000E+05,6.08420000000000E+05,6.08560000000000E+05,5.94500000000000E+05,5.89860000000000E+05,5.98900000000000E+05,6.04310000000000E+05,6.07980000000000E+05,6.17970000000000E+05,6.16510000000000E+05,6.19330000000000E+05,6.17260000000000E+05,6.21530000000000E+05,6.48952200000000E+06,6.46309600000000E+06,6.45553000000000E+06,6.39324600000000E+06,6.37450800000000E+06,6.39543500000000E+06,6.38120900000000E+06,6.37631700000000E+06,6.38359700000000E+06,6.37425200000000E+06,6.35893800000000E+06,6.34179000000000E+06,6.32768800000000E+06,6.31768600000000E+06,6.35832000000000E+06,6.34020600000000E+06,6.32297600000000E+06,6.31592500000000E+06,6.37097800000000E+06,6.36483200000000E+06,6.36338000000000E+06,6.38588630000000E+06,,
