Country_Name,Country_Code,Indicator_Name,Indicator_Code,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
Arab World,ARB,Agricultural land (% of land area),AG.LND.AGRI.ZS,,3.09442924784889E+01,3.09441456790578E+01,3.09671197900240E+01,3.09765883533295E+01,3.09996358640112E+01,3.10061684386948E+01,3.10574748398620E+01,3.10863943277874E+01,3.11418111130252E+01,3.12043476706710E+01,3.13994441145943E+01,3.14467869311219E+01,3.14421816632145E+01,3.14947360138450E+01,3.14722756349443E+01,3.15409779704053E+01,3.15618235508230E+01,3.16044689107619E+01,3.16154055004881E+01,3.16943104263648E+01,3.13887171534391E+01,3.14129200467029E+01,3.14597051627530E+01,3.18712306841659E+01,3.23689145126417E+01,3.29511227657153E+01,3.35053069251147E+01,3.40963965698451E+01,3.46160534016794E+01,3.50274893751765E+01,3.51179327702140E+01,3.52790364012478E+01,3.92263335665246E+01,3.93704908194804E+01,3.94711953770442E+01,3.95324445935929E+01,3.95498741156331E+01,3.95869924062745E+01,3.96014433634852E+01,3.96021553417712E+01,3.96368661182085E+01,3.97270011012175E+01,3.99065578543950E+01,3.99599789222128E+01,4.00593416051623E+01,4.00781795743962E+01,4.01235005131786E+01,4.00634942025868E+01,3.99929243747215E+01,4.00429823565164E+01,3.80307476290263E+01,3.83534209488283E+01,3.81331383364029E+01,,
Arab World,ARB,Agricultural land (sq. km),AG.LND.AGRI.K2,,4.21586000000000E+06,4.21584000000000E+06,4.21897000000000E+06,4.22026000000000E+06,4.22340000000000E+06,4.22429000000000E+06,4.23128000000000E+06,4.23522000000000E+06,4.24277000000000E+06,4.25129000000000E+06,4.27787000000000E+06,4.28432000000000E+06,4.28368000000000E+06,4.29084000000000E+06,4.28778000000000E+06,4.29714000000000E+06,4.29998000000000E+06,4.30579000000000E+06,4.30728000000000E+06,4.31803000000000E+06,4.27639600000000E+06,4.27969340000000E+06,4.28606740000000E+06,4.34213360000000E+06,4.40993800000000E+06,4.48925800000000E+06,4.56476000000000E+06,4.64529000000000E+06,4.71608800000000E+06,4.77214200000000E+06,4.78446400000000E+06,4.80641980000000E+06,5.34420000000000E+06,5.36384000000000E+06,5.37756000000000E+06,5.38590460000000E+06,5.38827920000000E+06,5.39333620000000E+06,5.39530500000000E+06,5.39540200000000E+06,5.40013100000000E+06,5.41241100000000E+06,5.43680200000000E+06,5.44407600000000E+06,5.45761700000000E+06,5.46020750000000E+06,5.46639000000000E+06,5.45821880000000E+06,5.44760060000000E+06,5.45441600000000E+06,5.18032330000000E+06,5.22427710000000E+06,5.19427150000000E+06,,
Caribbean small states,CSS,Agricultural land (% of land area),AG.LND.AGRI.ZS,,5.51877470355731E+00,5.52618577075099E+00,5.53359683794466E+00,5.53853754940711E+00,5.48418972332016E+00,5.51877470355731E+00,5.51630434782609E+00,5.52124505928854E+00,5.53112648221344E+00,5.51383399209486E+00,5.53606719367589E+00,5.53112648221344E+00,5.56571146245059E+00,5.57040513833992E+00,5.56625672939201E+00,5.76875586506643E+00,5.98607201066825E+00,6.21079666123376E+00,6.41625919889366E+00,6.41595652710881E+00,6.41422749166358E+00,6.37273064097814E+00,6.34111399283685E+00,6.35420526120785E+00,6.36729652957886E+00,6.38310485364950E+00,6.41225145115475E+00,6.41966160306286E+00,6.43695195751513E+00,6.45893540817587E+00,6.48091885883661E+00,6.49549215758923E+00,6.57947387921452E+00,6.56662961590713E+00,6.54810423613684E+00,6.53674200321107E+00,6.51105347659627E+00,6.48264789428183E+00,6.49228109176238E+00,6.41645053723601E+00,6.39792515746573E+00,6.35593429665308E+00,6.37026059034210E+00,6.33970606397431E+00,6.22378658762505E+00,6.22183524762258E+00,6.20721254785723E+00,6.17265653945906E+00,6.21588242558972E+00,6.20624922810918E+00,6.20624922810918E+00,6.19686303569223E+00,6.22156354205261E+00,,
Caribbean small states,CSS,Agricultural land (sq. km),AG.LND.AGRI.K2,,2.23400000000000E+04,2.23700000000000E+04,2.24000000000000E+04,2.24200000000000E+04,2.22000000000000E+04,2.23400000000000E+04,2.23300000000000E+04,2.23500000000000E+04,2.23900000000000E+04,2.23200000000000E+04,2.24100000000000E+04,2.23900000000000E+04,2.25300000000000E+04,2.25490000000000E+04,2.25400000000000E+04,2.33600000000000E+04,2.42400000000000E+04,2.51500000000000E+04,2.59820000000000E+04,2.59750000000000E+04,2.59680000000000E+04,2.58000000000000E+04,2.56720000000000E+04,2.57250000000000E+04,2.57780000000000E+04,2.58420000000000E+04,2.59600000000000E+04,2.59900000000000E+04,2.60600000000000E+04,2.61490000000000E+04,2.62380000000000E+04,2.62970000000000E+04,2.66370000000000E+04,2.65850000000000E+04,2.65100000000000E+04,2.64640000000000E+04,2.63600000000000E+04,2.62450000000000E+04,2.62840000000000E+04,2.59770000000000E+04,2.59020000000000E+04,2.57320000000000E+04,2.57900000000000E+04,2.56663000000000E+04,2.51970000000000E+04,2.51891000000000E+04,2.51299000000000E+04,2.49900000000000E+04,2.51650000000000E+04,2.51260000000000E+04,2.51260000000000E+04,2.50880000000000E+04,2.51880000000000E+04,,
Central Europe and the Baltics,CEB,Agricultural land (% of land area),AG.LND.AGRI.ZS,,6.46670283466703E+01,6.46253797743056E+01,6.45404115070054E+01,6.45919516065591E+01,6.44029405381944E+01,6.44417920164933E+01,6.43382253207824E+01,6.44733808070532E+01,6.43404543913191E+01,6.42368835114752E+01,6.41685769705519E+01,6.39990233712681E+01,6.38159054840416E+01,6.37602919034765E+01,6.36097283073125E+01,6.39017376324250E+01,6.38262662434551E+01,6.37318068987968E+01,6.35828427249790E+01,6.34575471058236E+01,6.32671333224809E+01,,,,,,,,,,,5.72539267389844E+01,5.65522034959807E+01,5.62401355323555E+01,5.57406810768936E+01,5.52714070599137E+01,5.52268494469713E+01,5.47603792230922E+01,5.47073952539624E+01,5.34917859495935E+01,5.20726992332588E+01,5.09976741783033E+01,5.01442975284516E+01,4.94222591976336E+01,4.94776513070953E+01,4.93572661286229E+01,4.83615949294110E+01,4.84912489994389E+01,4.84031101832690E+01,4.75676444270556E+01,4.77241976413309E+01,4.73964485249893E+01,4.73756864791128E+01,,
Central Europe and the Baltics,CEB,Agricultural land (sq. km),AG.LND.AGRI.K2,,4.76790000000000E+05,4.76470000000000E+05,4.75850000000000E+05,4.76230000000000E+05,4.74830000000000E+05,4.75110000000000E+05,4.74340000000000E+05,4.75330000000000E+05,4.74350000000000E+05,4.73580000000000E+05,4.73070000000000E+05,4.71820000000000E+05,4.70470000000000E+05,4.70060000000000E+05,4.68950000000000E+05,4.71090000000000E+05,4.70540000000000E+05,4.69850000000000E+05,4.68720000000000E+05,4.67790000000000E+05,4.66380000000000E+05,4.66180000000000E+05,4.66080000000000E+05,4.66570000000000E+05,4.66420000000000E+05,4.66060000000000E+05,4.66390000000000E+05,4.65880000000000E+05,4.62170000000000E+05,4.61950000000000E+05,4.61720000000000E+05,5.60840000000000E+05,6.24860000000000E+05,6.21440000000000E+05,6.15910000000000E+05,6.10780000000000E+05,6.10260000000000E+05,6.05100000000000E+05,6.04520000000000E+05,5.91050000000000E+05,5.75370000000000E+05,5.62640000000000E+05,5.53230000000000E+05,5.45343000000000E+05,5.45880000000000E+05,5.44537000000000E+05,5.33499000000000E+05,5.34922000000000E+05,5.34426000000000E+05,5.25221000000000E+05,5.26962000000000E+05,5.23253000000000E+05,5.23029000000000E+05,,
Early-demographic dividend,EAR,Agricultural land (% of land area),AG.LND.AGRI.ZS,,3.60106130138414E+01,3.59992192642662E+01,3.59498877436256E+01,3.59174140050542E+01,3.58994385799749E+01,3.58993454430574E+01,3.58901248882241E+01,3.59008977250159E+01,3.58967376093672E+01,3.59153494700494E+01,3.59320365011031E+01,3.60602860365128E+01,3.61237148762118E+01,3.61451191818289E+01,3.61521269131890E+01,3.61694101316211E+01,3.62284593406302E+01,3.62827585344036E+01,3.63742040891546E+01,3.63687555422665E+01,3.62615107538327E+01,3.63733484654952E+01,3.64100011974385E+01,3.67141611272848E+01,3.70210040395930E+01,3.72686878405788E+01,3.76542183255401E+01,3.78481896993405E+01,3.81089624311981E+01,3.83955715204361E+01,3.84226560495888E+01,3.92885660846684E+01,4.02591783911829E+01,4.02712735122973E+01,4.03552634080410E+01,4.04687766589385E+01,4.05548294114612E+01,4.06833071428809E+01,4.07907180996212E+01,4.08548557884265E+01,4.09195998354595E+01,4.09169420586535E+01,4.10709781275861E+01,4.13700214389786E+01,4.09448290924428E+01,4.10484592373797E+01,4.12131418393488E+01,4.12060953637202E+01,4.12660738090810E+01,4.13809998707597E+01,4.14403924214442E+01,4.15255752428277E+01,4.15651680780938E+01,,
Early-demographic dividend,EAR,Agricultural land (sq. km),AG.LND.AGRI.K2,,1.15992500000000E+07,1.15955800000000E+07,1.15796900000000E+07,1.15692300000000E+07,1.15634400000000E+07,1.15634100000000E+07,1.15604400000000E+07,1.15639100000000E+07,1.15625700000000E+07,1.15685650000000E+07,1.15739400000000E+07,1.16152500000000E+07,1.16356700000000E+07,1.16425500000000E+07,1.16448000000000E+07,1.16503200000000E+07,1.16693400000000E+07,1.16868300000000E+07,1.17162850000000E+07,1.17145300000000E+07,1.16799860000000E+07,1.17160094000000E+07,1.17278154000000E+07,1.18257866000000E+07,1.19246220000000E+07,1.20044020000000E+07,1.21285830000000E+07,1.21910620000000E+07,1.22750580000000E+07,1.23673760000000E+07,1.23763690000000E+07,1.30620468000000E+07,1.33440790000000E+07,1.33453000000000E+07,1.33731330000000E+07,1.34107496000000E+07,1.34392662000000E+07,1.34702552000000E+07,1.35058190000000E+07,1.35271980000000E+07,1.35486350000000E+07,1.35477550000000E+07,1.35986830000000E+07,1.36969468000000E+07,1.35561520000000E+07,1.35905320000000E+07,1.36450848000000E+07,1.36426694000000E+07,1.36627460000000E+07,1.37007769000000E+07,1.37204556000000E+07,1.37486018000000E+07,1.37616814000000E+07,,
East Asia & Pacific,EAS,Agricultural land (% of land area),AG.LND.AGRI.ZS,,4.33306682785399E+01,4.35540616131709E+01,4.38095462508580E+01,4.40644325830610E+01,4.43994631642574E+01,4.46080381931994E+01,4.48842586236925E+01,4.49671649130715E+01,4.53174686760442E+01,4.56463768709853E+01,4.58569640094663E+01,4.61556297293476E+01,4.65155527470564E+01,4.68657548864687E+01,4.70609438999752E+01,4.67763354977778E+01,4.67011831894644E+01,4.68910295289208E+01,4.72199719365425E+01,4.75258772530156E+01,4.77785445687702E+01,4.79819094052324E+01,4.81524267026424E+01,4.86622899140291E+01,4.92821689153661E+01,4.95509327204404E+01,4.99278935312784E+01,5.02798275248022E+01,5.03614790637552E+01,5.05444091667100E+01,5.05940783949400E+01,5.07294370954965E+01,5.04912541395461E+01,5.09815698248861E+01,5.07801161222004E+01,5.08661625775507E+01,5.12098835453330E+01,5.13029874472221E+01,5.10110000217197E+01,5.11725227812967E+01,5.11024640512281E+01,5.05676346363451E+01,4.96286275377506E+01,4.97909025129650E+01,4.99843569577880E+01,4.94646624139725E+01,4.91895454342550E+01,4.89379809834711E+01,4.87026874950716E+01,4.83084071806904E+01,4.88083388075749E+01,4.86774381208424E+01,4.83459354161775E+01,,
East Asia & Pacific,EAS,Agricultural land (sq. km),AG.LND.AGRI.K2,,1.05736580000000E+07,1.06281710000000E+07,1.06905150000000E+07,1.07527130000000E+07,1.08344680000000E+07,1.08853650000000E+07,1.09527690000000E+07,1.09730000000000E+07,1.10584820000000E+07,1.11387430000000E+07,1.11901310000000E+07,1.12629660000000E+07,1.13507810000000E+07,1.14362190000000E+07,1.14837880000000E+07,1.14143380000000E+07,1.13959480000000E+07,1.14422740000000E+07,1.15225420000000E+07,1.15971410000000E+07,1.16588440000000E+07,1.17083680000000E+07,1.17499770000000E+07,1.18736620000000E+07,1.20248640000000E+07,1.20904920000000E+07,1.21824210000000E+07,1.22682930000000E+07,1.22882160000000E+07,1.23328510000000E+07,1.23458810000000E+07,1.23789110000000E+07,1.23207900000000E+07,1.24404360000000E+07,1.23913030000000E+07,1.24122440000000E+07,1.24961180000000E+07,1.25188370000000E+07,1.24475869000000E+07,1.24796120000000E+07,1.24626820000000E+07,1.23320040000000E+07,1.21027794000000E+07,1.21423040000000E+07,1.21894656000000E+07,1.20628015000000E+07,1.19957540000000E+07,1.19343590000000E+07,1.18770080000000E+07,1.17809244000000E+07,1.19028603000000E+07,1.18709313000000E+07,1.17901107000000E+07,,
