Country_Name,Country_Code,Indicator_Name,Indicator_Code,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.54639584773251E+01,,,,,,,,,,7.95348552320816E+01,,,,,,,,,,8.43623484509827E+01,,8.62803509434337E+01,,,
Caribbean small states,CSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.50763082533478E+01,,,,,,,,,,8.79573246172132E+01,,,,,,,,,,9.23823258075292E+01,,9.34561571853574E+01,,,
Central Europe and the Baltics,CEB,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000000000000E+02,,,,,,,,,,1.00000000000000E+02,,,,,,,,,,1.00000000000000E+02,,1.00000000000000E+02,,,
Early-demographic dividend,EAR,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.97501976291743E+01,,,,,,,,,,6.89799495868046E+01,,,,,,,,,,7.85167446711487E+01,,8.14148173283772E+01,,,
East Asia & Pacific,EAS,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.74750608612025E+01,,,,,,,,,,9.21733262832102E+01,,,,,,,,,,9.52901175577760E+01,,9.61185199973561E+01,,,
East Asia & Pacific (excluding high income),EAP,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.61188025391055E+01,,,,,,,,,,9.13492293164762E+01,,,,,,,,,,9.47999973666419E+01,,9.57137845370688E+01,,,
East Asia & Pacific (IDA & IBRD countries),TEA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.69680707232239E+01,,,,,,,,,,9.22287407178665E+01,,,,,,,,,,9.56703199496435E+01,,9.65476254212390E+01,,,
Euro area,EMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.99910460484802E+01,,,,,,,,,,1.00000000000000E+02,,,,,,,,,,1.00000000000000E+02,,1.00000000000000E+02,,,
Europe & Central Asia,ECS,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.91533659460221E+01,,,,,,,,,,9.96332492737996E+01,,,,,,,,,,9.99746988698146E+01,,1.00000000000000E+02,,,
Europe & Central Asia (excluding high income),ECA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.81562868732242E+01,,,,,,,,,,9.91948899015460E+01,,,,,,,,,,9.99436415358836E+01,,1.00000000000000E+02,,,
