Country_Name,Country_Code,Indicator_Name,Indicator_Code,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
Arab World,ARB,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,3.92480000000000E+09,3.79470000000000E+09,2.65210000000000E+09,3.56560000000000E+09,4.83690000000000E+09,3.87710000000000E+09,5.53580000000000E+09,5.34815500000000E+09,5.79292800000000E+09,6.45764700000000E+09,7.24163600000000E+09,8.19125200000000E+09,1.01415680000000E+10,1.53421730000000E+10,2.54549370000000E+10,3.69408880000000E+10,4.35365500000000E+10,5.93272580000000E+10,6.88229780000000E+10,7.17998770000000E+10,9.02901920000000E+10,1.31199658318738E+11,1.36600784126122E+11,1.20648308310490E+11,1.12168381451555E+11,9.25175818844187E+10,8.40325714516035E+10,8.09527374919136E+10,9.20648692092578E+10,9.38792531475575E+10,1.05188472303520E+11,1.03357166975459E+11,1.21593996713644E+11,1.18988433840182E+11,1.18014005338707E+11,1.31508693756895E+11,1.38029954679822E+11,1.38499496217670E+11,1.46074731208980E+11,1.54494538695626E+11,1.55651091489248E+11,1.60129851333700E+11,1.68309186780509E+11,1.96076227397472E+11,2.88044855636078E+11,3.52140508853741E+11,4.05470244135123E+11,5.13127544029066E+11,6.95174541470984E+11,5.82824640843423E+11,6.52374009206912E+11,7.49825199321579E+11,8.37439348868200E+11,8.94643562893200E+11,9.13605153611700E+11,
Caribbean small states,CSS,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,6.49000000000000E+08,7.30800000000000E+08,6.96300000000000E+08,8.15157000000000E+08,1.05661500000000E+09,1.06048800000000E+09,1.22870200000000E+09,1.25747400000000E+09,1.29439600000000E+09,1.49789800000000E+09,1.84966600000000E+09,2.17756000000000E+09,2.35399100000000E+09,2.78676400000000E+09,5.46120700000000E+09,6.38796500000000E+09,7.03716400000000E+09,7.11418000000000E+09,7.29096500000000E+09,7.98571800000000E+09,5.81624248150263E+09,9.26699334076229E+09,8.46637206065916E+09,8.66083831482547E+09,8.79189964742053E+09,7.49074189533728E+09,7.26887034370784E+09,7.33493769065887E+09,6.57642935844186E+09,8.48364947349580E+09,7.92868302478460E+09,8.75927884900634E+09,8.98153538016190E+09,1.02137588672686E+10,8.89040987953197E+09,1.03437382637015E+10,1.22920583030922E+10,1.15819959710074E+10,1.27858252783170E+10,1.33891133578306E+10,1.43748540892759E+10,1.46285762256826E+10,1.74317009396546E+10,1.72171308070813E+10,1.95947882358582E+10,2.57974692602660E+10,2.99976336497389E+10,3.45997285108615E+10,4.60919825428289E+10,3.41715420113715E+10,3.81192227636456E+10,4.35350394638273E+10,3.95947390788000E+10,3.63065273594000E+10,3.88639605538000E+10,
Central Europe and the Baltics,CEB,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,9.79230000000000E+08,1.17100000000000E+09,1.04250000000000E+09,1.12634000000000E+09,1.28235000000000E+09,1.18279000000000E+09,1.33463000000000E+09,1.70094000000000E+09,3.13174000000000E+09,3.79386000000000E+09,8.56509000000000E+09,9.43869000000000E+09,1.12129200000000E+10,1.55811900000000E+10,2.16478200000000E+10,2.50660400000000E+10,2.74993300000000E+10,3.07210000000000E+10,3.54422600000000E+10,4.00414300000000E+10,4.48873600000000E+10,4.16378780000000E+10,3.23133354229700E+10,3.16465121220210E+10,3.15310200756700E+10,3.46264601726130E+10,3.56242619348850E+10,3.68610471847700E+10,3.84560716012390E+10,3.53377906082530E+10,3.13524827164120E+10,3.68387682655890E+10,3.88547013137271E+10,7.78728612240071E+10,9.00912500292710E+10,1.18171420876135E+11,1.38076774045888E+11,1.52442634403883E+11,1.68032474664040E+11,1.62731789389389E+11,1.81356295533705E+11,1.96429529442630E+11,2.19443189000511E+11,2.80736707093790E+11,3.54914958822832E+11,4.10613102658440E+11,5.04968864383540E+11,6.54738267400000E+11,7.87599042800000E+11,5.52539148100000E+11,6.30986680300000E+11,7.63203709900000E+11,7.20990437200000E+11,7.51655590702000E+11,7.84745669200000E+11,
Early-demographic dividend,EAR,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,1.38591850000000E+10,1.40440450000000E+10,1.32728310000000E+10,1.37769900000000E+10,1.67907560000000E+10,1.75562320000000E+10,1.82527260000000E+10,1.88921020000000E+10,2.03889080000000E+10,2.14978180000000E+10,2.20769860000000E+10,2.39356410000000E+10,2.64659470000000E+10,4.21169110000000E+10,6.72777390000000E+10,8.72948550000000E+10,9.34975540000000E+10,1.15286476000000E+11,1.29269997000000E+11,1.46727343000000E+11,1.94515440000000E+11,2.24061059948526E+11,2.12689082775517E+11,1.99481330553260E+11,1.93139360976090E+11,1.73000825553095E+11,1.62739288911473E+11,1.82171471069180E+11,2.00008116341084E+11,2.09766376047061E+11,2.56960054755805E+11,3.00382461976579E+11,3.51094968623260E+11,3.54914321638986E+11,3.78181385666229E+11,4.32956555127510E+11,4.84534457330124E+11,5.38101793818511E+11,5.62938809666001E+11,5.65083736414592E+11,6.61854819469009E+11,6.24501433912394E+11,6.41687572901272E+11,7.12519842166239E+11,9.15617640121929E+11,1.09166827075541E+12,1.28344216099030E+12,1.55769069775886E+12,1.91931941451644E+12,1.53609084007494E+12,1.95226095968461E+12,2.41282754281260E+12,2.55377184536980E+12,2.59362027226790E+12,2.62027263704050E+12,
East Asia & Pacific,EAS,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,1.18658900000000E+10,1.34291300000000E+10,1.33519220000000E+10,1.52273090000000E+10,1.68733630000000E+10,1.81039190000000E+10,2.03649490000000E+10,2.46631000000000E+10,2.92659390000000E+10,3.33923110000000E+10,4.00142010000000E+10,4.32454350000000E+10,5.03956740000000E+10,7.77555640000000E+10,1.23521302000000E+11,1.17557070000000E+11,1.33242945000000E+11,1.49577894000000E+11,1.87204393000000E+11,2.49195493000000E+11,3.20286202000000E+11,3.46168598900000E+11,3.29830115027690E+11,3.26884440423312E+11,3.54015901998584E+11,3.56288850991145E+11,3.63961580491132E+11,4.42549130713568E+11,5.65634061595345E+11,6.43652164040968E+11,7.23531991710010E+11,7.90148163564247E+11,8.58398352015281E+11,9.45834475907937E+11,1.10022957327177E+12,1.35013445195679E+12,1.41127300627735E+12,1.41649632686979E+12,1.17041000164530E+12,1.28123877022243E+12,1.58585039665786E+12,1.47207373763271E+12,1.56210721366587E+12,1.85614469009640E+12,2.33341607993685E+12,2.67733210552918E+12,3.07725684814495E+12,3.50803125327366E+12,4.17508220949889E+12,3.35891539846622E+12,4.43129831798496E+12,5.38011924040217E+12,5.58939560105894E+12,5.68712522711706E+12,5.70265089515744E+12,
East Asia & Pacific (excluding high income),EAP,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,2.36780000000000E+09,3.15820000000000E+09,2.47063200000000E+09,2.38595900000000E+09,2.82373300000000E+09,2.97272900000000E+09,3.06443900000000E+09,4.50362000000000E+09,4.91456300000000E+09,5.20110800000000E+09,5.83545900000000E+09,6.14787800000000E+09,7.10150500000000E+09,1.01180200000000E+10,1.56540350000000E+10,1.63493070000000E+10,1.75497720000000E+10,2.03218730000000E+10,3.48610930000000E+10,4.56207570000000E+10,6.13041430000000E+10,6.95734479000000E+10,6.89365151276896E+10,7.26598124656476E+10,7.39695802104075E+10,8.44772700238179E+10,8.43692295100781E+10,9.47664355531510E+10,1.21331896750195E+11,1.42434831094682E+11,1.59316921827367E+11,1.85553709696698E+11,2.14040194474007E+11,2.52774524573970E+11,2.98531043302264E+11,3.73665446245800E+11,3.89483066506806E+11,3.87382820757292E+11,3.19242336425214E+11,3.57366666126792E+11,4.63516006634650E+11,4.70661537716366E+11,5.37151911993485E+11,6.78621244356583E+11,8.96076410463756E+11,1.05078558370239E+12,1.22915022535480E+12,1.46107164898759E+12,1.76972892907665E+12,1.50315459816763E+12,2.05861634732445E+12,2.55379475448690E+12,2.69271918972670E+12,2.85191730045606E+12,2.86718521435164E+12,
East Asia & Pacific (IDA & IBRD countries),TEA,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,2.36780000000000E+09,3.15820000000000E+09,2.47063200000000E+09,2.38595900000000E+09,2.82373300000000E+09,2.97272900000000E+09,3.06443900000000E+09,4.50362000000000E+09,4.91456300000000E+09,5.20110800000000E+09,5.83545900000000E+09,6.14787800000000E+09,7.10150500000000E+09,1.01180200000000E+10,1.56540350000000E+10,1.63493070000000E+10,1.75497720000000E+10,2.03218730000000E+10,3.48610930000000E+10,4.56207570000000E+10,6.13041430000000E+10,6.85536929000000E+10,6.79177295313576E+10,7.16706080686312E+10,7.31161960084959E+10,8.35903112703391E+10,8.34858540808481E+10,9.35539771684988E+10,1.19897354996877E+11,1.41149212043707E+11,1.57961212037577E+11,1.84003232911444E+11,2.12545525871918E+11,2.51306109944058E+11,2.97221912782120E+11,3.72079274507609E+11,3.87434380116359E+11,3.85861634958497E+11,3.18012641912967E+11,3.56107548668439E+11,4.61392964047032E+11,4.67309810087494E+11,5.34804281399871E+11,6.76356492612391E+11,8.93372879211931E+11,1.04726657288484E+12,1.22544724636430E+12,1.45652780657578E+12,1.76286349023801E+12,1.49796287888191E+12,2.05422832997036E+12,2.54906045328109E+12,2.68762427972044E+12,2.84659812117956E+12,2.86217906317454E+12,
Euro area,EMU,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,3.05208400000000E+10,3.36379000000000E+10,3.75308300000000E+10,4.22591700000000E+10,4.72132400000000E+10,5.25994900000000E+10,5.77342300000000E+10,5.89610300000000E+10,6.52765900000000E+10,7.97009870000000E+10,9.37851030000000E+10,1.05023161000000E+11,1.26442679000000E+11,1.76113946000000E+11,2.42117493000000E+11,2.49641695000000E+11,2.88110114000000E+11,3.24508613000000E+11,3.77868200000000E+11,4.97673778000000E+11,6.07586968000000E+11,5.41654217000000E+11,5.16575613000000E+11,4.91024002000000E+11,4.93874794000000E+11,5.16793489000000E+11,6.07819645000000E+11,7.48640396000000E+11,8.35488066360858E+11,9.10310405978661E+11,1.12018246559186E+12,1.17322671350986E+12,1.22063562496876E+12,1.02906298578255E+12,1.17394377968776E+12,1.42036164019220E+12,1.44275507111640E+12,1.60290486002082E+12,1.68490900183982E+12,1.76986169962690E+12,1.88315751636532E+12,1.87029869182796E+12,1.93529049882246E+12,2.36381584366450E+12,2.85378975180750E+12,3.13396404425940E+12,3.55842778050000E+12,4.17725120780000E+12,4.70545628770000E+12,3.56371288420000E+12,3.92875087550000E+12,4.61019542760000E+12,4.28004082770000E+12,4.35044116710000E+12,4.39620657890000E+12,
Europe & Central Asia,ECS,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,5.28552600000000E+10,5.66498900000000E+10,6.16267000000000E+10,6.82117400000000E+10,7.69049500000000E+10,8.34888900000000E+10,9.04388300000000E+10,9.38647400000000E+10,1.03780531000000E+11,1.22213638000000E+11,1.46642233000000E+11,1.62993777000000E+11,1.93540549000000E+11,2.69760270000000E+11,3.72118255000000E+11,3.85352188000000E+11,4.34399195000000E+11,4.88751794000000E+11,5.64926651000000E+11,7.30241808000000E+11,8.80582694000000E+11,7.86998258200000E+11,7.45284793645965E+11,7.16379158906980E+11,7.26495076562437E+11,7.63679771245395E+11,8.96218179214524E+11,1.09283183695278E+12,1.22815311898516E+12,1.31530615543127E+12,1.57642279078623E+12,1.61084888660208E+12,1.72058788773709E+12,1.51836998962129E+12,1.73513887698974E+12,2.11643278448430E+12,2.18532821172578E+12,2.39295192884431E+12,2.48675347586199E+12,2.54924814516615E+12,2.72688885253410E+12,2.69639725364871E+12,2.82957767261643E+12,3.44150371630212E+12,4.17289906071309E+12,4.66899689111060E+12,5.40572578602079E+12,6.39067404710087E+12,7.27046557030892E+12,5.43414738799752E+12,6.08440182394770E+12,7.22089920582940E+12,6.86652753604550E+12,6.93058014551650E+12,6.97593166036560E+12,
Europe & Central Asia (excluding high income),ECA,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,1.17899000000000E+09,1.40233000000000E+09,1.65190000000000E+09,1.80873000000000E+09,1.82415000000000E+09,1.75839000000000E+09,2.05893000000000E+09,2.39154000000000E+09,2.54048000000000E+09,2.67123000000000E+09,3.04503000000000E+09,3.39904000000000E+09,4.39948000000000E+09,5.91590000000000E+09,9.43121000000000E+09,1.06113500000000E+10,1.18347300000000E+10,1.35163900000000E+10,1.44009800000000E+10,1.70730500000000E+10,2.21880600000000E+10,2.46473147000000E+10,2.12455635229700E+10,2.08174108220210E+10,2.24995632581423E+10,2.52974641920480E+10,2.49791100500764E+10,2.99879115702925E+10,3.02878768872859E+10,3.14170130212291E+10,3.73253571470345E+10,3.03003532813772E+10,7.89004722321478E+10,8.17470349857010E+10,9.99845120631118E+10,1.38911837275516E+11,1.46284547759589E+11,1.61930019028268E+11,1.48358752341718E+11,1.22862083634684E+11,1.49924215695743E+11,1.47075939452793E+11,1.72244645527400E+11,2.25883540561892E+11,2.98108032076096E+11,3.76824228652422E+11,4.86113496930758E+11,6.64059611298083E+11,8.48549673093066E+11,5.61454039302601E+11,6.90556755652316E+11,8.96516380264522E+11,9.18923054871000E+11,9.36118917960000E+11,8.75468069970000E+11,
