Country_Name,Country_Code,Indicator_Name,Indicator_Code,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
Arab World,ARB,Land area (sq. km),AG.LND.TOTL.K2,,1.36240310000000E+07,1.36240310000000E+07,1.36240310000000E+07,1.36240310000000E+07,1.36240310000000E+07,1.36240310000000E+07,1.36240310000000E+07,1.36240310000000E+07,1.36240310000000E+07,1.36240310000000E+07,1.36240310000000E+07,1.36240310000000E+07,1.36239910000000E+07,1.36239910000000E+07,1.36239910000000E+07,1.36239910000000E+07,1.36239910000000E+07,1.36239910000000E+07,1.36239910000000E+07,1.36239910000000E+07,1.36239910000000E+07,1.36239910000000E+07,1.36239910000000E+07,1.36239910000000E+07,1.36239910000000E+07,1.36239910000000E+07,1.36239910000000E+07,1.36239910000000E+07,1.36239910000000E+07,1.36239910000000E+07,1.36239910000000E+07,1.36240110000000E+07,1.36240110000000E+07,1.36240110000000E+07,1.36240110000000E+07,1.36240110000000E+07,1.36240110000000E+07,1.36240110000000E+07,1.36240110000000E+07,1.36240110000000E+07,1.36240110000000E+07,1.36240110000000E+07,1.36238310000000E+07,1.36238210000000E+07,1.36238310000000E+07,1.36238910000000E+07,1.36239110000000E+07,1.36239210000000E+07,1.36214110000000E+07,1.36214030000000E+07,1.36214080000000E+07,1.36214110000000E+07,1.36214110000000E+07,1.36214110000000E+07,1.36214110000000E+07
Caribbean small states,CSS,Land area (sq. km),AG.LND.TOTL.K2,,4.04800000000000E+05,4.04800000000000E+05,4.04800000000000E+05,4.04800000000000E+05,4.04800000000000E+05,4.04800000000000E+05,4.04800000000000E+05,4.04800000000000E+05,4.04800000000000E+05,4.04800000000000E+05,4.04800000000000E+05,4.04800000000000E+05,4.04800000000000E+05,4.04800000000000E+05,4.04940000000000E+05,4.04940000000000E+05,4.04940000000000E+05,4.04940000000000E+05,4.04940000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05,4.04850000000000E+05
Central Europe and the Baltics,CEB,Land area (sq. km),AG.LND.TOTL.K2,,1.10598600000000E+06,1.10596600000000E+06,1.10597600000000E+06,1.10597600000000E+06,1.10596600000000E+06,1.10595600000000E+06,1.10594600000000E+06,1.10593600000000E+06,1.10593600000000E+06,1.10592600000000E+06,1.10591600000000E+06,1.10591600000000E+06,1.10591600000000E+06,1.10591600000000E+06,1.10591600000000E+06,1.10589600000000E+06,1.10590600000000E+06,1.10591600000000E+06,1.10586600000000E+06,1.10585600000000E+06,1.10584600000000E+06,1.10583600000000E+06,1.10582600000000E+06,1.10582600000000E+06,1.10582600000000E+06,1.10582600000000E+06,1.10582600000000E+06,1.10581600000000E+06,1.10482600000000E+06,1.10482600000000E+06,1.10493600000000E+06,1.10493600000000E+06,1.10492600000000E+06,1.10497600000000E+06,1.10495600000000E+06,1.10505600000000E+06,1.10500600000000E+06,1.10499600000000E+06,1.10500600000000E+06,1.10493600000000E+06,1.10493600000000E+06,1.10326600000000E+06,1.10327600000000E+06,1.10343600000000E+06,1.10328600000000E+06,1.10325600000000E+06,1.10314600000000E+06,1.10313100000000E+06,1.10411500000000E+06,1.10415600000000E+06,1.10418200000000E+06,1.10399200000000E+06,1.10400300000000E+06,1.10400300000000E+06,1.10400300000000E+06
Early-demographic dividend,EAR,Land area (sq. km),AG.LND.TOTL.K2,,3.32459330000000E+07,3.32459330000000E+07,3.32459330000000E+07,3.32459330000000E+07,3.32459330000000E+07,3.32459330000000E+07,3.32459330000000E+07,3.32459330000000E+07,3.32459330000000E+07,3.32459330000000E+07,3.32459330000000E+07,3.32459330000000E+07,3.32459030000000E+07,3.32458630000000E+07,3.32458430000000E+07,3.32457130000000E+07,3.32457130000000E+07,3.32457130000000E+07,3.32457130000000E+07,3.32457130000000E+07,3.32457130000000E+07,3.32457130000000E+07,3.32457130000000E+07,3.32457130000000E+07,3.32457130000000E+07,3.32457130000000E+07,3.32457130000000E+07,3.32457130000000E+07,3.32457130000000E+07,3.32457130000000E+07,3.32464130000000E+07,3.32464330000000E+07,3.31454330000000E+07,3.31385100000000E+07,3.31385100000000E+07,3.31385100000000E+07,3.31385100000000E+07,3.31100300000000E+07,3.31100300000000E+07,3.31103800000000E+07,3.31103800000000E+07,3.31103800000000E+07,3.31102000000000E+07,3.31083870000000E+07,3.31083370000000E+07,3.31085070000000E+07,3.31085770000000E+07,3.31083770000000E+07,3.31089070000000E+07,3.31088590000000E+07,3.31088940000000E+07,3.31087570000000E+07,3.31086870000000E+07,3.31086870000000E+07,3.31086870000000E+07
East Asia & Pacific,EAS,Land area (sq. km),AG.LND.TOTL.K2,,2.44022700000000E+07,2.44022700000000E+07,2.44022700000000E+07,2.44022700000000E+07,2.44022700000000E+07,2.44022700000000E+07,2.44022700000000E+07,2.44022700000000E+07,2.44022700000000E+07,2.44022700000000E+07,2.44022700000000E+07,2.44021700000000E+07,2.44021400000000E+07,2.44021000000000E+07,2.44019700000000E+07,2.44019700000000E+07,2.44018600000000E+07,2.44018600000000E+07,2.44018600000000E+07,2.44017600000000E+07,2.44018600000000E+07,2.44016500000000E+07,2.44016500000000E+07,2.44001500000000E+07,2.44000500000000E+07,2.44001500000000E+07,2.44000500000000E+07,2.44000500000000E+07,2.44000500000000E+07,2.44000500000000E+07,2.44018500000000E+07,2.44018500000000E+07,2.44018500000000E+07,2.44018500000000E+07,2.44019000000000E+07,2.44017900000000E+07,2.44017900000000E+07,2.44017900000000E+07,2.44017900000000E+07,2.43873500000000E+07,2.43876602000000E+07,2.43871752000000E+07,2.43867167000000E+07,2.43866195000000E+07,2.43865888000000E+07,2.43867340000000E+07,2.43868250000000E+07,2.43867300000000E+07,2.43867905000000E+07,2.43869327000000E+07,2.43869699000000E+07,2.43869569000000E+07,2.43870043000000E+07,2.43870043000000E+07,2.43870043000000E+07
East Asia & Pacific (excluding high income),EAP,Land area (sq. km),AG.LND.TOTL.K2,,1.59286100000000E+07,1.59286100000000E+07,1.59286100000000E+07,1.59286100000000E+07,1.59286100000000E+07,1.59286100000000E+07,1.59286100000000E+07,1.59286100000000E+07,1.59286100000000E+07,1.59286100000000E+07,1.59286100000000E+07,1.59286100000000E+07,1.59285800000000E+07,1.59285400000000E+07,1.59285200000000E+07,1.59285200000000E+07,1.59285200000000E+07,1.59285200000000E+07,1.59285200000000E+07,1.59285200000000E+07,1.59285200000000E+07,1.59285200000000E+07,1.59285200000000E+07,1.59285200000000E+07,1.59285200000000E+07,1.59285200000000E+07,1.59285200000000E+07,1.59285200000000E+07,1.59285200000000E+07,1.59285200000000E+07,1.59298600000000E+07,1.59298600000000E+07,1.59298600000000E+07,1.59298600000000E+07,1.59298500000000E+07,1.59298400000000E+07,1.59298400000000E+07,1.59298400000000E+07,1.59298400000000E+07,1.59154000000000E+07,1.59154242000000E+07,1.59148832000000E+07,1.59144027000000E+07,1.59142825000000E+07,1.59142218000000E+07,1.59143314000000E+07,1.59143808000000E+07,1.59141708000000E+07,1.59141610000000E+07,1.59141210000000E+07,1.59141510000000E+07,1.59140110000000E+07,1.59139410000000E+07,1.59139410000000E+07,1.59139410000000E+07
East Asia & Pacific (IDA & IBRD countries),TEA,Land area (sq. km),AG.LND.TOTL.K2,,1.58080200000000E+07,1.58080200000000E+07,1.58080200000000E+07,1.58080200000000E+07,1.58080200000000E+07,1.58080200000000E+07,1.58080200000000E+07,1.58080200000000E+07,1.58080200000000E+07,1.58080200000000E+07,1.58080200000000E+07,1.58080200000000E+07,1.58079900000000E+07,1.58079500000000E+07,1.58079300000000E+07,1.58079300000000E+07,1.58079300000000E+07,1.58079300000000E+07,1.58079300000000E+07,1.58079300000000E+07,1.58079300000000E+07,1.58079300000000E+07,1.58079300000000E+07,1.58079300000000E+07,1.58079300000000E+07,1.58079300000000E+07,1.58079300000000E+07,1.58079300000000E+07,1.58079300000000E+07,1.58079300000000E+07,1.58092700000000E+07,1.58092700000000E+07,1.58092700000000E+07,1.58092700000000E+07,1.58092600000000E+07,1.58092500000000E+07,1.58092500000000E+07,1.58092500000000E+07,1.58092500000000E+07,1.57948100000000E+07,1.57948342000000E+07,1.57942932000000E+07,1.57938127000000E+07,1.57936925000000E+07,1.57936318000000E+07,1.57937414000000E+07,1.57937908000000E+07,1.57935808000000E+07,1.57935710000000E+07,1.57935310000000E+07,1.57935610000000E+07,1.57934210000000E+07,1.57933510000000E+07,1.57933510000000E+07,1.57933510000000E+07
Euro area,EMU,Land area (sq. km),AG.LND.TOTL.K2,,2.64587200000000E+06,2.64587200000000E+06,2.64587200000000E+06,2.64587200000000E+06,2.64587200000000E+06,2.64587200000000E+06,2.64587200000000E+06,2.64587200000000E+06,2.64587200000000E+06,2.64587200000000E+06,2.64587200000000E+06,2.64587200000000E+06,2.64587200000000E+06,2.64584200000000E+06,2.64572200000000E+06,2.64566200000000E+06,2.64563200000000E+06,2.64562200000000E+06,2.64563200000000E+06,2.64556200000000E+06,2.64555200000000E+06,2.64555200000000E+06,2.64552200000000E+06,2.64553200000000E+06,2.64553200000000E+06,2.64553200000000E+06,2.64553200000000E+06,2.64553200000000E+06,2.64553200000000E+06,2.64553200000000E+06,2.64553200000000E+06,2.64553200000000E+06,2.64552200000000E+06,2.64551200000000E+06,2.64550200000000E+06,2.64549200000000E+06,2.64545200000000E+06,2.64542200000000E+06,2.64538200000000E+06,2.67778200000000E+06,2.67725200000000E+06,2.67773200000000E+06,2.67789200000000E+06,2.67781200000000E+06,2.67767200000000E+06,2.67704200000000E+06,2.67710000000000E+06,2.67655600000000E+06,2.67645300000000E+06,2.67781400000000E+06,2.67760300000000E+06,2.67788300000000E+06,2.67784100000000E+06,2.67784100000000E+06,2.67784100000000E+06
Europe & Central Asia,ECS,Land area (sq. km),AG.LND.TOTL.K2,,2.73584910000000E+07,2.73584710000000E+07,2.73584810000000E+07,2.73584810000000E+07,2.73584710000000E+07,2.73584610000000E+07,2.73584510000000E+07,2.73584410000000E+07,2.73584410000000E+07,2.73584310000000E+07,2.73584210000000E+07,2.73584210000000E+07,2.73584210000000E+07,2.73583910000000E+07,2.73582710000000E+07,2.73581910000000E+07,2.73581710000000E+07,2.73581710000000E+07,2.73581410000000E+07,2.73580610000000E+07,2.73580410000000E+07,2.73580310000000E+07,2.73579910000000E+07,2.73580020000000E+07,2.73580020000000E+07,2.73580020000000E+07,2.73580120000000E+07,2.73580020000000E+07,2.73570120000000E+07,2.73570120000000E+07,2.73571220000000E+07,2.73573620000000E+07,2.73536520000000E+07,2.73488320000000E+07,2.73458420000000E+07,2.73455110000000E+07,2.74148500000000E+07,2.74173240000000E+07,2.74241060000000E+07,2.74491450000000E+07,2.74477130000000E+07,2.74470160000000E+07,2.74472390000000E+07,2.74475880000000E+07,2.74475140000000E+07,2.74432300000000E+07,2.74429390000000E+07,2.74415030000000E+07,2.74423150000000E+07,2.74437260000000E+07,2.74435970000000E+07,2.74407170000000E+07,2.74406960000000E+07,2.74406960000000E+07,2.74406960000000E+07
Europe & Central Asia (excluding high income),ECA,Land area (sq. km),AG.LND.TOTL.K2,,2.26392040000000E+07,2.26392040000000E+07,2.26392040000000E+07,2.26392040000000E+07,2.26392040000000E+07,2.26392040000000E+07,2.26392040000000E+07,2.26392040000000E+07,2.26392040000000E+07,2.26392040000000E+07,2.26392040000000E+07,2.26392040000000E+07,2.26392040000000E+07,2.26392040000000E+07,2.26392040000000E+07,2.26392040000000E+07,2.26392040000000E+07,2.26392040000000E+07,2.26392040000000E+07,2.26392040000000E+07,2.26392040000000E+07,2.26392040000000E+07,2.26392040000000E+07,2.26392040000000E+07,2.26392040000000E+07,2.26392040000000E+07,2.26392040000000E+07,2.26392040000000E+07,2.26382140000000E+07,2.26382140000000E+07,2.26383240000000E+07,2.26385240000000E+07,2.26348340000000E+07,2.26300240000000E+07,2.26270440000000E+07,2.26266540000000E+07,2.26273440000000E+07,2.26299190000000E+07,2.26367420000000E+07,2.26295620000000E+07,2.26286610000000E+07,2.26274850000000E+07,2.26275990000000E+07,2.26278990000000E+07,2.26279770000000E+07,2.26243440000000E+07,2.26239960000000E+07,2.26231240000000E+07,2.26231390000000E+07,2.26232030000000E+07,2.26233350000000E+07,2.26231950000000E+07,2.26232260000000E+07,2.26232260000000E+07,2.26232260000000E+07
