Country_Name,Country_Code,Indicator_Name,Indicator_Code,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
Arab World,ARB,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,1.59697470225159E+01,1.67050440978407E+01,1.75658207600190E+01,1.84530777641989E+01,1.93433818066023E+01,2.07786266039623E+01,2.37552082231763E+01,2.48530970449824E+01,2.62747041825737E+01,2.73111763472426E+01,2.79179371738463E+01,3.04272764730120E+01,3.20654005837136E+01,3.37708694322699E+01,3.60616856677524E+01,3.74861561386198E+01,3.86762331476548E+01,4.16293737195195E+01,4.52308002013085E+01,4.76341635575275E+01,5.11592263276207E+01,5.40583777659424E+01,5.69572099642532E+01,5.96709540974659E+01,6.46939032997015E+01,6.75250946190555E+01,6.91966243088563E+01,7.05810847431381E+01,6.96183565738206E+01,7.32933951058166E+01,7.57701017758971E+01,7.50954700114902E+01,7.65491313117016E+01,7.76652764220428E+01,8.24263304244417E+01,8.19191180485064E+01,8.26377821894775E+01,8.39691207415153E+01,9.00046787565737E+01,9.92425635602961E+01,,,,,,,,,,,,,,,
Caribbean small states,CSS,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,1.15962910128388E+02,1.18917378917379E+02,1.23977272727273E+02,1.42507082152975E+02,1.60361794500724E+02,1.76330935251799E+02,1.29197707736390E+02,1.33438395415473E+02,1.42633863965268E+02,1.46355685131195E+02,1.52797074954296E+02,1.58616236162362E+02,1.59837837837838E+02,1.59769908322847E+02,1.66353790613718E+02,1.66243567753002E+02,1.61914893617021E+02,3.51436170212766E+02,3.55802861685215E+02,3.13580901856764E+02,3.74118285404232E+02,3.91843575418994E+02,4.08290155440414E+02,4.09914529914530E+02,4.24608241439350E+02,4.88728103579589E+02,4.84285714285714E+02,4.84402985074627E+02,4.88955223880597E+02,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.36708182805750E+02,4.15209983255646E+02,4.56181988314771E+02,4.63922429733728E+02,4.65308212829069E+02,4.67905294539068E+02,4.75312368087801E+02,4.75202908749707E+02,4.90695347673837E+02,5.14732486624331E+02,5.36873104467722E+02,5.58877783669141E+02,5.63248707325690E+02,5.84499872536260E+02,6.19655366678097E+02,6.58499419473613E+02,,,,,,,,
Early-demographic dividend,EAR,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,1.37397122764985E+01,1.45826743399716E+01,1.54946911196911E+01,1.63525405957410E+01,1.70066364238195E+01,1.80132797389435E+01,1.93692473846253E+01,2.04735743530734E+01,2.17277919254989E+01,2.25536145244622E+01,2.45357867618871E+01,2.62076462548059E+01,2.78466583840401E+01,3.01707241387541E+01,3.26613112754845E+01,3.52994414947170E+01,3.83381188249940E+01,4.09820744680851E+01,4.40097836401971E+01,4.58274785531557E+01,5.02326059789730E+01,5.24835976379859E+01,5.57387821247954E+01,5.91713289822069E+01,6.28123969822022E+01,6.74612521012620E+01,7.09684941880111E+01,7.52923760100992E+01,8.10968540990689E+01,8.52944354986870E+01,8.83818443811442E+01,9.30779387993605E+01,9.44294329255397E+01,9.55197338301864E+01,9.98641864241504E+01,1.05011143123346E+02,1.11367101561498E+02,1.15072728362371E+02,1.20444466322798E+02,1.24456614838130E+02,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,2.23226191162212E+01,2.29924717068434E+01,2.43751334445701E+01,2.55915269541450E+01,2.78659423203043E+01,3.10930790697407E+01,3.44535315631298E+01,3.97885031969450E+01,4.53245889864021E+01,4.29418234946023E+01,4.49118504258046E+01,4.77600843216992E+01,5.26458940656317E+01,6.40265361433599E+01,7.49756943154069E+01,8.45934594176168E+01,9.59195837398992E+01,1.10420823368130E+02,1.17393414757884E+02,1.45103401766100E+02,1.44637975041705E+02,1.49388173732473E+02,1.49335878460895E+02,1.49267297407063E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,5.66059853595974E+00,6.03916300358914E+00,6.63809593415206E+00,7.17683414207403E+00,7.73407765804625E+00,9.61160341954912E+00,1.14574165974344E+01,1.36254823224395E+01,1.55297823705830E+01,1.25091866284613E+01,1.44386775338554E+01,1.72138839168303E+01,2.02224709302140E+01,2.31774654303530E+01,2.76979159633462E+01,3.11126601017091E+01,3.59382883928391E+01,4.24133392943725E+01,4.99549350801175E+01,5.53406871475355E+01,5.86703213681404E+01,5.87845469605476E+01,5.91032070566159E+01,5.86944475167428E+01,5.37089599545335E+01,5.46610766781893E+01,5.53951091497005E+01,5.53558477646646E+01,5.45791677438785E+01,5.33913763939007E+01,5.33359291657777E+01,5.37286434330243E+01,5.39637107162485E+01,5.70627645249497E+01,5.83928231170431E+01,5.88285040281301E+01,6.20775709392124E+01,,,,,,,,,,,,,,,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,5.16319052897562E+00,5.48317532184647E+00,5.96252575587834E+00,6.47749747987087E+00,7.01026901605826E+00,8.84839475939444E+00,1.05898515683794E+01,1.27218858969702E+01,1.45858425208198E+01,1.13936922531007E+01,1.32768678665254E+01,1.60288332463874E+01,1.90205703917680E+01,2.19640743152849E+01,2.64759122540900E+01,2.98799596563586E+01,3.47165387267236E+01,4.09142572537801E+01,4.81948059562991E+01,5.33227276290706E+01,5.63457335959917E+01,5.61690367045922E+01,5.62365700752879E+01,5.56020644299722E+01,5.37086523380931E+01,5.46607766533404E+01,5.53948150179076E+01,5.53555548527538E+01,5.45788723197271E+01,5.33910761238388E+01,5.33356269235488E+01,5.37283977533232E+01,5.39634642859283E+01,5.70625358324388E+01,5.83926989808551E+01,5.88285466300199E+01,6.20776495278069E+01,,,,,,,,,,,,,,,,,,
Euro area,EMU,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,3.36677108738559E+02,3.67604392430808E+02,4.00940530874393E+02,4.38705111670206E+02,4.69780797013455E+02,5.06726718021317E+02,5.37186578327494E+02,5.71402471114940E+02,5.99710171800230E+02,6.26177644335662E+02,6.75682884153621E+02,6.99521691952809E+02,7.23463096013701E+02,7.41802272308023E+02,7.63915519091885E+02,7.85990078425220E+02,8.07984575459629E+02,8.25037592501832E+02,8.48004800206591E+02,8.77729696372767E+02,8.92602628143659E+02,9.07817126397842E+02,9.28640124601441E+02,9.35399985050424E+02,9.46085352182373E+02,9.56897161984444E+02,9.64978932498752E+02,9.83805920518314E+02,9.88686943051274E+02,9.89354516021470E+02,9.90817275788716E+02,9.20575134350825E+02,9.09258696355606E+02,9.14059055546219E+02,9.31486213620778E+02,9.26429730132526E+02,9.24885453534885E+02,9.28328725025067E+02,9.31158981155711E+02,9.36561073713307E+02,1.00321924813980E+03,1.02004186166835E+03,8.23547005415489E+02,8.18526011437985E+02,8.15163350202697E+02,,,,,,,,,,
Europe & Central Asia,ECS,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.32562579676901E+02,3.32407418393100E+02,3.35163403019880E+02,3.33304779586820E+02,3.31379851260329E+02,3.27209419720442E+02,3.26777277328394E+02,3.25291597900866E+02,3.29664271890926E+02,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32956651941920E+02,1.32437078054350E+02,1.27890776761272E+02,1.22416216681592E+02,1.18518586390206E+02,1.13506622111740E+02,1.11356435174602E+02,1.08199076372903E+02,1.06605960814154E+02,,,,,,,,,,,,,,,
