Country_Name,Country_Code,Indicator_Name,Indicator_Code,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
Afghanistan,AFG,Land area (sq. km),AG.LND.TOTL.K2,,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05,6.52860000000000E+05
Albania,ALB,Land area (sq. km),AG.LND.TOTL.K2,,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04
Algeria,DZA,Land area (sq. km),AG.LND.TOTL.K2,,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06,2.38174000000000E+06
American Samoa,ASM,Land area (sq. km),AG.LND.TOTL.K2,,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02
Andorra,ADO,Land area (sq. km),AG.LND.TOTL.K2,,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.70000000000000E+02
Angola,AGO,Land area (sq. km),AG.LND.TOTL.K2,,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06,1.24670000000000E+06
Antigua and Barbuda,ATG,Land area (sq. km),AG.LND.TOTL.K2,,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,4.40000000000000E+02
Argentina,ARG,Land area (sq. km),AG.LND.TOTL.K2,,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06,2.73669000000000E+06
Armenia,ARM,Land area (sq. km),AG.LND.TOTL.K2,,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04,2.84700000000000E+04
Aruba,ABW,Land area (sq. km),AG.LND.TOTL.K2,,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02
