Country_Name,Country_Code,Indicator_Name,Indicator_Code,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
Afghanistan,AFG,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,1.56862745098039E-01,1.94805194805195E-01,2.58064516129032E-01,2.56410256410256E-01,3.84615384615385E-01,5.10529674537333E-01,6.37429882712902E-01,6.37429882712902E-01,6.99745547073791E-01,6.98856416772554E-01,7.59493670886076E-01,7.58533501896334E-01,7.39570164348925E-01,7.20606826801517E-01,6.95322376738306E-01,6.70037926675095E-01,6.51074589127686E-01,6.25790139064475E-01,5.68900126422250E-01,5.05689001264223E-01,4.42477876106195E-01,3.79266750948167E-01,3.16055625790139E-01,2.52844500632111E-01,1.89633375474083E-01,1.89633375474083E-01,1.51706700379267E-01,1.51706700379267E-01,1.51706700379267E-01,1.51706700379267E-01,1.51706700379267E-01,1.39064475347661E-01,1.40593047034765E-01,1.42801505906790E-01,1.43734483209199E-01,1.43847260363541E-01,1.43135979180221E-01,1.41807399767952E-01,1.43734483209199E-01,1.43173239619940E-01,,,,,,,,,,,,,,,
Albania,ALB,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,6.71296296296296E+01,8.71559633027523E+01,8.63636363636364E+01,9.48081264108352E+01,9.41521739130435E+01,9.92421052631579E+01,1.09036885245902E+02,1.14380000000000E+02,1.15372549019608E+02,1.15451055662188E+02,1.26415094339623E+02,1.37037037037037E+02,1.49343065693431E+02,1.56193895870736E+02,1.70870337477798E+02,1.70434782608696E+02,1.72413793103448E+02,1.73241852487136E+02,1.73241852487136E+02,1.72735042735043E+02,1.73469387755102E+02,1.74872665534805E+02,1.76910016977929E+02,1.73174872665535E+02,1.68930390492360E+02,1.73174872665535E+02,1.80169491525424E+02,1.96610169491525E+02,2.07903780068729E+02,2.12435233160622E+02,1.63823529411765E+02,1.55709342560554E+02,1.56828422876950E+02,1.57712305025997E+02,1.54904679376083E+02,1.44072790294627E+02,1.36851211072664E+02,1.41247833622184E+02,1.42114384748700E+02,1.39913494809689E+02,1.32301038062284E+02,1.30017301038062E+02,1.02370242214533E+02,1.31038062283737E+02,1.50966542750929E+02,1.35308219178082E+02,1.26591695501730E+02,1.21934426229508E+02,,,,,,,
Algeria,DZA,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,4.17181705809642E+01,4.33333333333333E+01,4.43548387096774E+01,4.56621004566210E+01,4.56230856037401E+01,4.82237582382254E+01,6.26884621488653E+01,6.37514015697581E+01,6.41745547890261E+01,6.43405889884763E+01,6.34796238244514E+01,6.25192012288787E+01,6.29606879606880E+01,6.31112469437653E+01,6.06281957633309E+01,5.89396503102087E+01,6.08342989571263E+01,6.11535113174695E+01,6.69690330119778E+01,6.83636363636364E+01,6.97167755991285E+01,7.15012352855690E+01,7.62727548543689E+01,8.86753434562545E+01,1.08986975397974E+02,1.18626381512846E+02,1.26285188852737E+02,1.29136741304042E+02,1.11949782578202E+02,1.29114531845784E+02,1.35202479338843E+02,1.21113462047077E+02,1.28156113102350E+02,1.21127457536445E+02,1.21298044952786E+02,1.22354740061162E+02,1.20818300653595E+02,1.21133011356220E+02,1.22845041053043E+02,1.24924301748891E+02,1.28149808782804E+02,1.29455412746787E+02,1.30335701054147E+02,1.30533831576138E+02,1.33308480894688E+02,1.37032128514056E+02,1.38650421743205E+02,1.39576712511684E+02,,,,,,,
American Samoa,ASM,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,3.00000000000000E+01,3.00000000000000E+01,5.00000000000000E+01,5.00000000000000E+01,6.00000000000000E+01,1.00000000000000E+02,1.00000000000000E+02,1.20000000000000E+02,1.20000000000000E+02,1.20000000000000E+02,1.20000000000000E+02,1.20000000000000E+02,1.20000000000000E+02,1.20000000000000E+02,1.20000000000000E+02,1.20000000000000E+02,1.20000000000000E+02,1.20000000000000E+02,1.20000000000000E+02,1.20000000000000E+02,1.10000000000000E+02,1.10000000000000E+02,1.10000000000000E+02,1.10000000000000E+02,1.10000000000000E+02,1.10000000000000E+02,1.10000000000000E+02,1.10000000000000E+02,1.10000000000000E+02,1.10000000000000E+02,1.10000000000000E+02,9.16666666666667E+01,9.16666666666667E+01,9.16666666666667E+01,7.33333333333333E+01,5.50000000000000E+01,5.50000000000000E+01,4.58333333333333E+01,4.40000000000000E+01,6.80000000000000E+01,,1.20000000000000E+02,1.07784431137725E+02,,,,,,,,,,,,
Andorra,ADO,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41600000000000E+03,1.41200000000000E+03,1.49166666666667E+03,1.55217391304348E+03,1.61363636363636E+03,1.53478260869565E+03,,,,,,
Angola,AGO,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,2.99625468164794E+00,6.09259259259259E+00,7.35294117647059E+00,1.02436363636364E+01,1.08303249097473E+01,1.33178571428571E+01,1.59010600706714E+01,1.85314685314685E+01,2.20689655172414E+01,2.45275862068966E+01,2.79586206896552E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,2.02500000000000E+02,1.94285714285714E+02,2.51250000000000E+02,3.00000000000000E+02,2.50000000000000E+02,2.37500000000000E+02,2.68571428571429E+02,1.95714285714286E+02,1.66250000000000E+02,1.62500000000000E+02,1.92857142857143E+02,4.70000000000000E+02,4.96666666666667E+02,7.93333333333333E+02,7.53333333333333E+02,7.60000000000000E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,6.45265365381513E+01,6.77789363920751E+01,7.14285714285714E+01,7.50000000000000E+01,7.57538732222277E+01,7.40466493891151E+01,7.38552437223043E+01,7.12758374910905E+01,6.75753948333784E+01,6.47500000000000E+01,6.57692307692308E+01,6.71769230769231E+01,6.92307692307692E+01,6.92307692307692E+01,6.92307692307692E+01,6.92307692307692E+01,6.92307692307692E+01,6.65384615384615E+01,6.59230769230769E+01,6.41153846153846E+01,8.19230769230769E+01,7.54444444444444E+01,7.47407407407407E+01,7.54444444444444E+01,7.55555555555556E+01,8.33333333333333E+01,9.14179104477612E+01,1.01559525164031E+02,1.00528900642236E+02,9.95296331138288E+01,9.85194902548726E+01,9.75172671271234E+01,9.65042766827817E+01,9.54885547077561E+01,9.44844124700240E+01,9.34881669851536E+01,9.24963396778917E+01,9.15223336371923E+01,9.05491791370042E+01,8.95803183791606E+01,8.86253874432351E+01,8.76893259636781E+01,,,,,,,,,,,,,
Armenia,ARM,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45484633569740E+02,3.23325635103926E+02,3.14942528735632E+02,3.06896551724138E+02,2.88888888888889E+02,2.79120879120879E+02,2.76923076923077E+02,2.78066666666667E+02,2.91600000000000E+02,,,,,,,,,,,,,,,
Aruba,ABW,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,8.74835183037933E+01,8.44344765286733E+01,8.58957437791367E+01,8.35223289994347E+01,8.13880322458475E+01,7.94340384712475E+01,7.84878143320897E+01,7.81821696061851E+01,7.95262650602410E+01,7.85132407362907E+01,8.06171247871564E+01,8.19987197163679E+01,8.31629202307539E+01,7.89534911326892E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
