Country,Year,POP,Incomegroup,Gini,Source,Quality,Welfaredefn,IncSharU,UofAnala,Equivsc,Welfaredefn_new,Equivsc_new,IncSharU_new,UofAnala_new
Algeria,1988,,Upper middle income,40.2,WDI,Average,Income/Consumption,,,,Other,,,
Algeria,1988,,Upper middle income,40.1,World Bank Poverty Monitoring Database 2002,Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Algeria,1995,,Upper middle income,35.3,WDI,Average,Income/Consumption,,,,Other,,,
Algeria,1995,,Upper middle income,35.3,World Bank Poverty Monitoring Database 2002,Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Angola,2000,13.926373,Upper middle income,58.6,WDI,Average,Income/Consumption,,,,Other,,,
Angola,2009,18.555115,Upper middle income,43,"Integrated Survey on the Welfare of Population Vol. I
",High,Consumption,Household,Person,Per Capita,Expenditure,Household Per Capita,Household,Person
Angola,2009,18.555115,Upper middle income,55,"Integrated Survey on the Welfare of Population Vol. I
",High,"Income, ..",Household,Person,Per Capita,Other,Household Per Capita,Household,Person
Benin,2003,7.164976,Low income,38.6,WDI,Average,Income/Consumption,,,,Other,,,
Benin,2003,7.164976,Low income,36.5,"World Bank, World Development Indicators 2007",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Botswana,1971,0.715745,Upper middle income,57.4,Jain 1975,Not known,"Income, ..",,Person,,Other,,,Person
Botswana,1986,1.22179,Upper middle income,54.2,World Bank Poverty Monitoring Database 2002,Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Botswana,1986,1.22179,Upper middle income,55.6,CSO 2001,Average,"Income,Disposable",Household,Person,Household per capita,"Income,Disposable",Household Per Capita,Household,Person
Botswana,1994,1.546414,Upper middle income,53.7,CSO 2001,Average,"Income,Disposable",Household,Person,Household per capita,"Income,Disposable",Household Per Capita,Household,Person
Botswana,2003,1.830127,Upper middle income,62.6,HIES 2003 Report Vol1,High,"Income,Disposable",Household,Person,Per Capita,"Income,Disposable",Household Per Capita,Household,Person
Botswana,2003,1.830127,Upper middle income,57.3,HIES 2003 Report Vol1,High,"Income,Disposable",Household,Household,No Adjustment,"Income,Disposable",Without Adjustment,Household,Household
Botswana,2010,2.006945,Upper middle income,49.5,Botswana Core welfare indicators survey 2009/10,High,Consumption,Household,Person,Per Capita,Expenditure,Household Per Capita,Household,Person
Burkina Faso,1994,10.401025,Low income,50.8,"Deininger & Squire, World Bank 2004",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Burkina Faso,1994,10.401025,Low income,68.8,"Deininger & Squire, World Bank 2004",Low,"Income, Gross",Household,Person,Household per capita,"Income,Gross",Household Per Capita,Household,Person
