country,subRegion,enrolPrimary,enrolPrimAvg,enrolSecondary,enrolSecondaryAvg,enrolTertiary,enrolTertiaryAvg,gini9195,gini9600,gini0105,gini0610,ter9195,ter9600,ter0105,ter0610,pri9195,pri9600,pri0105,pri0610,sec9195,sec9600,sec0105,sec0610
Algeria,Northern Africa,100,91.97,84.12,45.01,27.62,8.39,35.3,,,,10.7,12.51,18.22,18.22,87.71,87.96,92.41,92.41,52.25,52.69,,
Angola,Middle Africa,100,91.97,26.56,45.01,4.91,8.39,,58.6,,46.67,0.55,0.57,2.18,2.18,,49.68,,,,,,
Benin,Western Africa,100,91.97,43.83,45.01,9.83,8.39,,,37.55,,2.18,2.87,5.44,5.44,52.92,60.04,82.24,82.24,,17.26,18.65,18.65
Botswana,Southern Africa,100,91.97,80.82,45.01,16.51,8.39,48.53,,59.95,48.1,4.89,6.06,8.57,8.57,85.01,79.78,84.5,84.5,39.97,54.9,54.71,54.71
Burkina Faso,Western Africa,73.42,91.97,20.76,45.01,3.46,8.39,47.47,57.93,39.5,39.8,0.97,1.01,1.62,1.62,29,35.6,39.91,39.91,6.8,8.64,9.86,9.86
Burundi,Eastern Africa,100,91.97,21.92,45.01,2.87,8.39,33.3,42.4,,33.3,0.86,1.02,1.87,1.87,47.77,40.51,51.82,51.82,4.96,,,
Cabo Verde,Western Africa,100,91.97,83.21,45.01,14.54,8.39,,,50.5,,,1.93,4.8,4.8,99.13,98.5,93.65,93.65,24.14,,56.05,56.05
Cameroon,Middle Africa,100,91.97,38.98,45.01,8.07,8.39,,54.4,42.5,35.47,3.16,4.74,5.13,5.13,70.13,,,,,,,
C.A.R,Middle Africa,79.65,91.97,16.28,45.01,2.27,8.39,59.83,,43.6,56.3,1.44,1.88,1.7,1.7,53.11,,48.35,48.35,,,,
Chad,Middle Africa,81.7,91.97,19.75,45.01,2.05,8.39,,,39.8,,,0.68,1.09,1.09,,45.9,55.49,55.49,,6.79,9.51,9.51
Comoros,Eastern Africa,100,91.97,51.36,45.01,7.1,8.39,,,64.3,,0.6,1.2,3.02,3.02,67.65,63.49,,,,,,
Congo,Middle Africa,100,91.97,50.22,45.01,8.96,8.39,,,47.3,,5.29,4.42,4.04,4.04,,,53.42,53.42,,,,
D.R.C,Middle Africa,98.26,91.97,39.88,45.01,6.17,8.39,,,,44.4,2.51,1.46,,,60.31,35.37,,,17.49,,,
Djibouti,Eastern Africa,57.03,91.97,32.88,45.01,2.98,8.39,,41.45,40.9,,0.08,0.24,1.39,1.39,27.43,26.11,31.97,31.97,,11.16,17.17,17.17
Egypt,Northern Africa,100,91.97,79.75,45.01,29.43,8.39,,,,,,,,,,,,,,,,
Equatorial Guinea,Middle Africa,84.27,91.97,27.37,45.01,,8.39,,,,,,,,,,,,,,,,
Eritrea,Eastern Africa,58.45,91.97,31.83,45.01,1.96,8.39,,,,,,,,,,,,,,,,
Ethiopia,Eastern Africa,89,91.97,31.25,45.01,5.68,8.39,39.83,37.5,29.8,31.43,0.71,0.9,2.14,2.14,20.52,33.85,49.25,49.25,,11.64,13.86,13.86
Gabon,Middle Africa,100,91.97,,45.01,,8.39,44.1,,41.5,,,7.18,8.28,8.28,,91.23,,,,,,
Gambia,Western Africa,87.08,91.97,58.04,45.01,2.46,8.39,59.63,48.85,47.3,,1.76,1.05,1.15,1.15,47.65,67.19,72.61,72.61,,,,
Ghana,Western Africa,100,91.97,55.25,45.01,9.84,8.39,36.1,38.97,,,1.18,,5.71,5.71,,63.09,61.81,61.81,,34.57,36.41,36.41
Guinea,Western Africa,84.39,91.97,33.51,45.01,7.96,8.39,49.53,,39.45,39.4,1.15,1.17,2.51,2.51,27.82,41.84,57.64,57.64,,11.43,19.19,19.19
Guinea-Bissau,Western Africa,100,91.97,31.59,45.01,2.33,8.39,47.97,,35.5,,,,2.17,2.17,,46.51,,,,8.13,,
Kenya,Eastern Africa,100,91.97,55.05,45.01,3.31,8.39,50.15,51.13,47.7,42.87,,2.75,2.88,2.88,,63.86,70.53,70.53,,33.32,37.07,37.07
Lesotho,Southern Africa,100,91.97,46.44,45.01,7.67,8.39,62.53,60,52.5,,2.2,2.34,2.91,2.91,72.34,68.57,79.34,79.34,16.67,17.93,23.59,23.59
Liberia,Western Africa,96.69,91.97,41.52,45.01,10.47,8.39,,,,38.2,,13.85,,,,46.63,,,,,,
Libya,Northern Africa,100,91.97,98.21,45.01,55.19,8.39,,,,,,,,,,,,,,,,
Madagascar,Eastern Africa,100,91.97,30.5,45.01,3.45,8.39,49.77,40.4,43.7,39.3,3,2.12,2.44,2.44,56.18,61.78,70.24,70.24,,,17.04,17.04
Malawi,Eastern Africa,100,91.97,32.24,45.01,0.57,8.39,62,50.3,39,40.33,0.56,0.41,0.43,0.43,,96.24,97.7,97.7,,28.13,24.72,24.72
Mali,Western Africa,78.36,91.97,34.04,45.01,6.09,8.39,61.03,,40.05,36,0.83,1.55,2.06,2.06,,43.75,52.39,52.39,5.52,,,
Mauritania,Western Africa,94.17,91.97,23.49,45.01,4.08,8.39,47.28,38.15,41.3,38,3.23,3.85,3.13,3.13,50.53,59.24,66.48,66.48,,,13.7,13.7
Mauritius,Eastern Africa,100,91.97,90.12,45.01,30.27,8.39,37.45,38.7,37.1,38.8,4.87,8.56,17.74,17.74,93.45,95.33,94.24,94.24,,66.37,74.42,74.42
Morocco,Northern Africa,100,91.97,57.97,45.01,15.49,8.39,35.9,39.5,40.6,38.33,10.68,10.2,10.89,10.89,58.69,69.16,83.98,83.98,,,39.74,39.74
Mozambique,Eastern Africa,100,91.97,20.14,45.01,3.92,8.39,,42.05,47.2,42.07,0.43,0.6,1.14,1.14,41.74,51.69,63.39,63.39,6.25,2.94,4.66,4.66
Namibia,Southern Africa,100,91.97,63.91,45.01,7.59,8.39,74.3,,63.9,59.7,5.26,5.61,6.47,6.47,84.47,86.32,88.17,88.17,31.88,39.24,48.05,48.05
Niger,Western Africa,59.47,91.97,13.03,45.01,1.29,8.39,45.5,,43.9,34.5,0.74,,1,1,23.23,25.93,37.29,37.29,5.92,5.64,6.86,6.86
Nigeria,Western Africa,92.75,91.97,36.16,45.01,10.13,8.39,47.83,50.35,43.3,45.38,,6.08,9.97,9.97,,63.37,66.35,66.35,,,,
Rwanda,Eastern Africa,100,91.97,27.81,45.01,4.81,8.39,,45.1,,53.1,,1.06,2.28,2.28,,78.73,85.24,85.24,,,,
Sao Tome and Principe,Middle Africa,100,91.97,53.67,45.01,6.56,8.39,,,50.8,,,,,,,82.5,96.98,96.98,,,28.1,28.1
Senegal,Western Africa,80.66,91.97,28.52,45.01,6.43,8.39,46.03,,40.25,,3.25,3.3,5.2,5.2,45.25,54.31,63.52,63.52,,,17.12,17.12
Seychelles,Eastern Africa,100,91.97,76.61,45.01,3.33,8.39,,42.7,,39.9,,,,,90.15,89.41,93.15,93.15,81.1,76.27,74.63,74.63
Sierra Leone,Western Africa,100,91.97,45.64,45.01,,8.39,,,39,,1.43,1.76,2.2,2.2,,,,,,,,
Somalia,Eastern Africa,29.2,91.97,7.35,45.01,,8.39,,,39.7,,,,,,,,,,,,,
South Africa,Southern Africa,98.3,91.97,90.94,45.01,19.33,8.39,59.15,56.15,,62.33,13.39,,,,92.89,89.47,85.97,85.97,50.41,60.96,62.3,62.3
South Sudan,Eastern Africa,84.25,91.97,,45.01,,8.39,,,,45.5,,,,,,,,,,,,
Sudan,Northern Africa,67.38,91.97,38.46,45.01,13.9,8.39,,,,35.3,,6.38,9.6,9.6,,,,,,,,
Swaziland,Southern Africa,100,91.97,54.58,45.01,5.19,8.39,60.8,,50.55,51.5,4.13,5.16,4.92,4.92,74.22,71.11,73.75,73.75,,32.43,30.59,30.59
Togo,Western Africa,100,91.97,46.68,45.01,8.64,8.39,,,,34.4,2.67,3.1,,,66.98,80.83,87.26,87.26,15.77,21.95,,
Tunisia,Northern Africa,100,91.97,88.76,45.01,33.59,8.39,41.7,40.3,41.4,,10.59,15.69,26.87,26.87,95.81,94.74,98.39,98.39,,,,
Uganda,Eastern Africa,100,91.97,24.31,45.01,3.94,8.39,42.02,43.15,41.69,41.6,1.47,2.13,3.39,3.39,,,,,,13.69,15.55,15.55
Tanzania,Eastern Africa,100,91.97,32.55,45.01,2.49,8.39,46.1,34.6,35,34.33,0.39,0.61,1.01,1.01,49.77,49.77,76.97,76.97,,,,
Zambia,Eastern Africa,100,91.97,,45.01,,8.39,58.25,56.76,47.65,,,2.23,,,71.04,65.06,74.91,74.91,,,,
Zimbabwe,Eastern Africa,100,91.97,47.12,45.01,5.87,8.39,72.45,,,,5.51,,,,,82.72,83.61,83.61,,39.93,38.16,38.16
